MAY	MAY	vmb	MAY	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
The	The	dt	The	the	0
Catholic	Catholic	jp	Catholic	catholic	0
Religion	Religion	n1	Religion	religion	0
has	has	vhz	has	have	0
been	been	vbn	been	be	0
twice	twice	av	twice	twice	0
char	char	n1	char	char	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
with	with	p-acp	with	with	0
foul	foul	j	foul	foul	0
crimes	crimes	n2	crimes	crime	0
and	and	cc	and	and	0
errors	errors	n2	errors	error	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
supream	supream	j	supreme	supreme	0
Tribunal	Tribunal	n1	Tribunal	tribunal	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
tinct	tinct	vvb	tinct	tinct	0
books	books	n2	books	book	0
,	,	,	,	,	0
presented	presented	vvn	presented	present	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Antagonist	Antagonist	n1	Antagonist	antagonist	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Excellency	Excellency	n1	Excellency	excellency	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Essex	Essex	np1	Essex	Essex	0
;	;	;	;	;	0
It's	It's	pn31|vbz	It's	it|be	0
just	just	j	just	just	0
I	I	pns11	I	i	0
put	put	vvd	put	put	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
answer	answer	n1	answer	answer	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
same	same	d	same	same	0
Tribunal	Tribunal	n1	Tribunal	tribunal	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
present	present	vvb	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
:	:	:	:	:	0
and	and	cc	and	and	0
tho	tho	cs	though	though	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
expect	expect	vvi	expect	expect	0
a	a	dt	a	a	0
favorable	favorable	j	favourable	favourable	0
doom	doom	n1	doom	doom	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
I	I	pns11	I	i	0
defend	defend	vvb	defend	defend	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
so	so	av	so	so	0
vigorous	vigorous	j	vigorous	vigorous	0
a	a	dt	a	a	0
stickler	stickler	n1	stickler	stickler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
has	has	vhz	has	have	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
appeared	appeared	vvd	appeared	appear	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
expect	expect	vvi	expect	expect	0
a	a	dt	a	a	0
check	check	n1	check	check	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
affront	affront	n1	affront	affront	0
cast	cast	vvd	cast	cast	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Adversarie	Adversarie	n1	Adversary	adversary	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
Predecessor	Predecessor	n1	Predecessor	predecessor	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Essex	Essex	np1	Essex	Essex	0
,	,	,	,	,	0
and	and	cc	and	and	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
Grac's	Grac's	ng1	Grac's	grac	0
own	own	d	own	own	0
Person	Person	n1	Person	person	0
;	;	;	;	;	0
I	I	pns11	I	i	0
accused	accused	vvd	accused	accuse	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
impiety	impiety	n1	impiety	impiety	0
in	in	p-acp	in	in	0
having	having	vhg	having	have	0
passed	passed	vvn	passed	pass	0
his	his	po31	his	his	0
sentence	sentence	n1	sentence	sentence	0
of	of	pp-f	of	of	0
eternal	eternal	j	eternal	eternal	0
damnation	damnation	n1	damnation	damnation	0
