Captain	Captain	n1	Captain	captain	0
General	General	n1	General	general	0
and	and	cc	and	and	0
Chief	Chief	j-jn	Chief	chief	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
of	of	pp-f	of	of	0
Barbados	Barbados	np1	Barbados	Barbados	0
,	,	,	,	,	0
Sanctaluzia	Sanctaluzia	np1	Sanctaluzia	Sanctaluzia	0
,	,	,	,	,	0
St.	St.	n1	St.	saint	0
Vincents	Vincents	n2	Vincents	vincent	0
,	,	,	,	,	0
Dominico	Dominico	np1	Dominico	Dominico	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
Colonies	Colonies	n2	Colonies	colony	0
and	and	cc	and	and	0
Plantations	Plantations	n2	Plantations	plantation	0
in	in	p-acp	in	in	0
America	America	np1	America	America	0
,	,	,	,	,	0
known	known	vvn	known	know	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Charibbee-Islands	Charibbee-Islands	n2	Charibbee-Islands	charibbee-island	0
,	,	,	,	,	0
lying	lying	vvg	lying	lie	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
to	to	p-acp	to	to	0
Windward	Windward	av	Windward	windward	0
of	of	pp-f	of	of	0
Guardaloup	Guardaloup	np1	Guardaloup	Guardaloup	0
;	;	;	;	;	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Members	Members	n2	Members	member	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Council	Council	n1	Council	council	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
The	The	dt	The	the	0
HONOURABLE	HONOURABLE	j	HONOURABLE	honourable	0
Francis	Francis	np1	Francis	Francis	0
Bond	Bond	n1	Bound	bond	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
late	late	j	late	late	0
President	President	n1	President	precedent	0
.	.	.	.	.	1
John	John	np1	John	John	0
Gibbs	Gibbs	np1	Gibbs	Gibbs	0
,	,	,	,	,	0
John	John	np1	John	John	0
Farmer	Farmer	n1	Farmer	farmer	0
,	,	,	,	,	0
George	George	np1	George	George	0
Lillington	Lillington	np1	Lillington	Lillington	0
,	,	,	,	,	0
George	George	np1	George	George	0
Andrews	Andrews	np1	Andrews	Andrews	0
,	,	,	,	,	0
William	William	np1	William	William	0
Sharp	Sharp	j	Sharp	sharp	0
,	,	,	,	,	0
Tobias	Tobias	np1	Tobias	Tobias	0
Frere	Frere	np1	Frere	Frere	0
,	,	,	,	,	0
Michael	Michael	np1	Michael	Michael	0
Terrill	Terrill	np1	Terrill	Terrill	0
,	,	,	,	,	0
David	David	np1	David	David	0
Ramsay	Ramsay	np1	Ramsay	Ramsay	0
,	,	,	,	,	0
Richard	Richard	np1	Richard	Richard	0
Scot	Scot	np1	Scot	Scot	0
,	,	,	,	,	0
Benjamin	Benjamin	np1	Benjamin	Benjamin	0
Cryer	Cryer	np1	Cryer	Cryer	0
,	,	,	,	,	0
Richard	Richard	np1	Richard	Richard	0
Walter	Walter	np1	Walter	Walter	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Merrick	Merrick	np1	Merrick	Merrick	0
.	.	.	.	.	1
AND	AND	cc	AND	and	0
The	The	dt	The	the	0
Honourable	Honourable	j	Honourable	honourable	0
Thomas	Thomas	np1	Thomas	Thomas	0
Maxwell	Maxwell	np1	Maxwell	Maxwell	0
,	,	,	,	,	0
Esq	Esq	np1	Esq	Esq	0
Speaker	Speaker	n1	Speaker	speaker	0
,	,	,	,	,	0
With	With	p-acp	With	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
General	General	j	General	general	0
Assembly	Assembly	n1	Assembly	assembly	0
;	;	;	;	;	0
viz.	viz.	n1	viz.	viz.	0
For	For	p-acp	For	for	0
the	the	dt	the	the	0
PRECINCTS	PRECINCTS	n2	PRECINCTS	precinct	0
of	of	pp-f	of	of	0
St.	St.	n1	St.	saint	0
Michael	Michael	np1	Michael	Michael	0
,	,	,	,	,	0
Major	Major	j	Major	major	0
George	George	np1	George	George	0
Peers	Peers	n2	Peers	peer	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
William	William	np1	William	William	0
Wheeler	Wheeler	np1	Wheeler	Wheeler	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
PRECINCTS	PRECINCTS	n2	PRECINCTS	precinct	0
of	of	pp-f	of	of	0
Christ-church	Christ-church	n1	Christchurch	christchurch	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Maxwell	Maxwell	np1	Maxwell	Maxwell	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Daniel	Daniel	np1	Daniel	Daniel	0
Hooper	Hooper	np1	Hooper	Hooper	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Philips	Philips	np1	Philips	Philips	0
,	,	,	,	,	0
William	William	np1	William	William	0
Fortescue	Fortescue	np1	Fortescue	Fortescue	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Henry	Henry	np1	Henry	Henry	0
Markland	Markland	np1	Markland	Markland	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
John	John	np1	John	John	0
,	,	,	,	,	0
John	John	np1	John	John	0
Lesslie	Lesslie	np1	Lesslie	Lesslie	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
James	James	np1	James	James	0
Colleton	Colleton	np1	Colleton	Colleton	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
George	George	np1	George	George	0
,	,	,	,	,	0
Peter	Peter	np1	Peter	Peter	0
Flewellin	Flewellin	np1	Flewellin	Flewellin	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Miles	Miles	n2	Miles	mile	0
Toppin	Toppin	np1	Toppin	Toppin	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Joseph	Joseph	np1	Joseph	Joseph	0
,	,	,	,	,	0
John	John	np1	John	John	0
Holder	Holder	np1	Holder	Holder	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
Henry	Henry	np1	Henry	Henry	0
Gallop	Gallop	n1	Gallop	gallop	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Andrews	Andrews	np1	Andrews	Andrews	0
,	,	,	,	,	0
William	William	np1	William	William	0
Cleeland	Cleeland	np1	Cleeland	Cleeland	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
William	William	np1	William	William	0
Doten	Doten	np1	Doten	Doten	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
James	James	np1	James	James	0
,	,	,	,	,	0
Abel	Abel	np1	Abel	Abel	0
Alleyne	Alleyne	np1	Alleyne	Alleyne	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
William	William	np1	William	William	0
Holder	Holder	np1	Holder	Holder	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Thomas	Thomas	np1	Thomas	Thomas	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Sadleir	Sadleir	np1	Sadleir	Sadleir	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Jonathan	Jonathan	np1	Jonathan	Jonathan	0
Downes	Downes	np1	Downes	Downes	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Peters	Peters	npg1	Peters	Peter	0
,	,	,	,	,	0
Samuel	Samuel	np1	Samuel	Samuel	0
Maynard	Maynard	np1	Maynard	Maynard	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Robert	Robert	np1	Robert	Robert	0
Harrison	Harrison	np1	Harrison	Harrison	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
St.	St.	n1	St.	saint	0
Lucyes	Lucyes	npg1	Lucyes	lucyes	0
,	,	,	,	,	0
John	John	np1	John	John	0
Gibbs	Gibbs	np1	Gibbs	Gibbs	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	0
Thomas	Thomas	np1	Thomas	Thomas	0
English	English	jp	English	english	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
