Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
the	the	dt	the	the	0
time	time	n1	time	time	0
,	,	,	,	,	0
allowed	allowed	vvd	allowed	allow	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
bearing	bearing	vvg	bearing	bear	0
that	that	d	that	that	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
sustained	sustained	vvd	sustained	sustain	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Funeral	Funeral	n1	Funeral	funeral	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honoured	Honoured	j-vvn	Honoured	honour	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
was	was	vbds	was	be	0
but	but	p-acp	but	but	0
short	short	j	short	short	0
(	(	(	(	(	0
that	that	cst	that	that	0
worthy	worthy	j	worthy	worthy	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
that	that	d	that	that	0
Province	Province	n1	Province	province	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
falling	falling	vvg	falling	fall	0
sick	sick	j	sick	sick	0
some	some	d	some	some	0
days	days	n2	days	day	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
solemnizing	solemnizing	n-vvg	solemnizing	solemnize	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
Defe	Defe	n1	Defe	defe	0
∣	∣	sy	∣	∣	0
rence	rence	vvi	rence	rinse	0
I	I	pns11	I	i	0
bare	bare	vvd	bore	bear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Memory	Memory	n1	Memory	memory	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Great	Great	j	Great	great	0
Good	Good	j	Good	good	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hopes	hopes	n2	hope's	hope	0
of	of	pp-f	of	of	0
being	being	vbg	being	be	0
serviceable	serviceable	j	serviceable	serviceable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Good	Good	j	Good	good	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
who	who	r-crq	who	who	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
present	present	j	present	present	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
numerous	numerous	j	numerous	numerous	0
an	an	dt	and	a	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
ditory	ditory	j	ditory	ditory	0
,	,	,	,	,	0
prevailed	prevailed	vvn	prevailed	prevail	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
attempt	attempt	vvi	attempt	attempt	0
the	the	dt	the	the	0
Discharge	Discharge	n1	Discharge	discharge	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
seems	seems	vvz	seems	seem	0
,	,	,	,	,	0
some	some	d	some	some	0
favourable	favourable	j	favourable	favourable	0
Auditors	Auditors	n2	Auditors	auditor	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
plain	plain	j	plain	plain	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
then	then	av	then	then	0
preached	preached	vvd	preached	preach	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
own	own	d	own	own	0
Retirement	Retirement	n1	Retirement	retirement	0
through	through	p-acp	through	through	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
,	,	,	,	,	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
permit	permit	vvi	permit	permit	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
)	)	)	)	)	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
you	you	pn22	you	you	0
that	that	d	that	that	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
judges	judges	vvz	judges	judge	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
use	use	n1	use	use	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
excite	excite	vvi	excite	excite	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
also	also	av	also	also	0
may	may	vmb	may	may	0
dye	dye	vvi	die	dye	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
eter	eter	wd	eater	eter	0
∣	∣	sy	∣	∣	0
nally	nally	av-j	nally	nal	0
happy	happy	j	happy	happy	0
.	.	.	.	.	1
If	If	cs	If	if	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
read	read	vvn	read	read	0
this	this	d	this	this	0
Dis	Dis	zf	Dis	this	0
∣	∣	sy	∣	∣	0
course	course	n1	course	course	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
appear	appear	vvi	appear	appear	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
pious	pious	j	pious	pious	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
like	like	av-j	like	like	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
further	further	jc	further	further	0
useful	useful	j	useful	useful	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
good	good	j	good	good	0
end	end	n1	end	end	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
preached	preached	vvd	preached	preach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
now	now	av	now	now	0
desires	desires	vvz	desires	desire	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hum	hum	uh	hum	humh	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
submit	submit	vvb	submit	submit	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
pleasure	pleasure	n1	pleasure	pleasure	0
and	and	cc	and	and	0
disposal	disposal	n1	disposal	disposal	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
follow	follow	vvi	follow	follow	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
Prayers	Prayers	n2	Prayers	prayer	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
prosper	prosper	vvi	prosper	prosper	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
encouragement	encouragement	n1	encouragement	encouragement	0
of	of	pp-f	of	of	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
