Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
AMongst	AMongst	p-acp	among	among	0
the	the	dt	the	the	0
many	many	d	many	many	0
sad	sad	j	sad	sad	0
objects	objects	n2	objects	object	0
of	of	pp-f	of	of	0
pitty	pitty	n1	pity	pity	0
and	and	cc	and	and	0
commise	commise	n1	commise	commise	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
which	which	q-crq	which	which	0
these	these	d	these	these	0
dayes	dayes	n2	days	day	0
afford	afford	vvi	afford	afford	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
here	here	av	here	here	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
thou	thou	pns21	thou	thou	0
may	may	vmb	may	may	0
behold	behold	vvi	behold	behold	0
the	the	dt	the	the	0
sad	sad	j	sad	sad	0
and	and	cc	and	and	0
woful	woful	j	woeful	woeful	0
sufferings	sufferings	n2	sufferings	suffering	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dear	dear	j-jn	dear	dear	0
and	and	cc	and	and	0
preci	preci	fw-la	preci	preci	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
servants	servants	n1	servants	servant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
denied	denied	vvn	denied	deny	0
themselves	themselves	px32	themselves	themselves	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
World	World	n1	World	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
followers	followers	n2	followers	follower	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
doers	doers	n2	doers	doer	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Will	Will	n1	Will	will	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
receive	receive	vvi	receive	receive	0
peace	peace	n1	peace	peace	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
through	through	p-acp	through	through	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Names	Names	n2	Names	name	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
conformable	conformable	j	conformable	conformable	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Will	Will	n1	Will	will	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
laid	laid	vvn	laid	lay	0
up	up	a-acp	up	up	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
keep	keep	vvb	keep	keep	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
deny	deny	vvi	deny	deny	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
whom-they	whom-they	j	whom-they	whom-they	0
have	have	vhb	have	have	0
believed	believed	vvn	believed	believe	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
Cloud	Cloud	n1	Cloud	cloud	0
of	of	pp-f	of	of	0
Witnesses	Witnesses	n2	Witnesses	witness	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
suffererers	suffererers	n2	suffererers	suffererer	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
kept	kept	vvn	kept	keep	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
confessed	confessed	vvd	confessed	confess	0
