Noble	Noble	j	Noble	noble	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
and	and	cc	and	and	0
generous	generous	j	generous	generous	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
:	:	:	:	:	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
bound	bound	vvn	bound	bind	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bonds	bonds	n2	bonds	bond	0
of	of	pp-f	of	of	0
affinity	affinity	n1	affinity	affinity	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
affection	affection	n1	affection	affection	0
but	but	cc-acp	but	but	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
;	;	;	;	;	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
hold	hold	vvi	hold	hold	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
proffer	proffer	vvi	proffer	proffer	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
endeavours	endeavours	n2	endeavours	endeavour	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
worthy	worthy	j	worthy	worthy	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
here	here	av	here	here	0
persent	persent	j	persent	persent	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
good	good	j	good	good	0
will	will	n1	will	will	0
.	.	.	.	.	1
I	I	pns11	I	i	0
presume	presume	vvb	presume	presume	0
not	not	xx	not	not	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
only	only	av-j	only	only	0
beg	beg	vvb	beg	beg	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
;	;	;	;	;	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
if	if	cs	if	if	0
these	these	d	these	these	0
my	my	po11	my	my	0
endeavours	endeavours	n2	endeavours	endeavour	0
be	be	vbb	be	be	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
accepting	accepting	vvg	accepting	accept	0
,	,	,	,	,	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
need	need	vvi	need	need	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
assi	assi	fw-fr	assi	assi	0
∣	∣	sy	∣	∣	0
stance	stance	n1	stance	stance	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
here	here	av	here	here	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
be	be	vbb	be	be	0
defor	defor	j	defor	defor	0
∣	∣	sy	∣	∣	0
med	med	fw-mi	med	med	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
sure	sure	j	sure	sure	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
that	that	cst	that	that	0
