Dearly	Dearly	av-jn	Dearly	dear	0
Beloved	Beloved	vvn	Beloved	belove	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Am	Am	vbm	Am	be	0
not	not	xx	not	not	0
Insensible	Insensible	j	Insensible	insensible	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
many	many	d	many	many	0
who	who	r-crq	who	who	0
Sympathize	Sympathize	vvb	Sympathise	sympathize	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
pour	pour	vvi	pour	pour	0
in	in	p-acp	in	in	0
Balm	Balm	n1	Balm	balm	0
into	into	p-acp	into	into	0
Bleeding	Bleeding	j-vvg	Bleeding	bleed	0
Wounds	Wounds	n2	Wounds	wound	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
comfort	comfort	vvi	comfort	comfort	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
sorrows	sorrows	n2	sorrows	sorrow	0
;	;	;	;	;	0
and	and	cc	and	and	0
blessed	blessed	vvn	blessed	bless	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Consolation	Consolation	n1	Consolation	consolation	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
stirred	stirred	vvn	stirred	stir	0
up	up	a-acp	up	up	0
any	any	d	any	any	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
wonder	wonder	n1	wonder	wonder	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
many	many	d	many	many	0
Tracts	Tracts	n2	Tracts	tract	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Afflicted	Afflicted	j-vvn	Afflicted	afflict	0
,	,	,	,	,	0
so	so	av	so	so	0
little	little	av-j	little	little	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
done	done	vdn	done	do	0
to	to	pc-acp	to	to	0
Obviate	Obviate	vvi	Obviate	obviate	0
that	that	d	that	that	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
most	most	ds	most	most	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
condition	condition	n1	condition	condition	0
fall	fall	vvi	fallen	fall	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
and	and	cc	and	and	0
few	few	d	few	few	0
lament	lament	vvb	lament	lament	0
.	.	.	.	.	1
It	It	pn31	It	it	0
being	being	vbg	being	be	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
granted	granted	vvn	granted	grant	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
,	,	,	,	,	0
that	that	cst	that	that	0
Streights	Streights	n2	Straights	strait	0
and	and	cc	and	and	0
Troubles	Troubles	vvz	Troubles	trouble	0
,	,	,	,	,	0
will	will	vmb	will	will	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
justi	justi	fw-la	justi	justi	0
∣	∣	sy	∣	∣	0
fie	fie	uh	fie	fie	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
greatly	greatly	av-j	greatly	great	0
extenuate	extenuate	vvi	extenuate	extenuate	0
the	the	dt	the	the	0
evil	evil	n-jn	evil	evil	0
of	of	pp-f	of	of	0
Di	Di	fw-it	Di	di	0
∣	∣	sy	∣	∣	0
strust	strust	n1	strust	strust	0
.	.	.	.	.	1
Having	Having	vhg	Having	have	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
serious	serious	j	serious	serious	0
and	and	cc	and	and	0
narrow	narrow	j	narrow	narrow	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
quiry	quiry	n1	quiry	quiry	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
I	I	pns11	I	i	0
find	find	vvb	find	find	0
that	that	cst	that	that	0
this	this	d	this	this	0
Sin	Sin	n1	since	sin	0
is	is	vbz	is	be	0
otherwise	otherwise	av	otherwise	otherwise	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
(	(	(	(	(	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
fear	fear	vvb	fear	fear	0
the	the	dt	the	the	0
best	best	js	best	best	0
)	)	)	)	)	0
think	think	vvi	think	think	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
We	We	pns12	We	we	0
deem	deem	vvb	deem	deem	0
it	it	pn31	it	it	0
such	such	d	such	such	0
a	a	dt	a	a	0
failing	failing	vvg	failing	fail	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
easily	easily	av-j	easily	easy	0
wink	wink	vvi	wink	wink	0
at	at	p-acp	at	at	0
and	and	cc	and	and	0
pass	pass	vvi	pass	pass	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
after	after	p-acp	after	after	0
due	due	j-jn	due	due	0
search	search	n1	search	search	0
,	,	,	,	,	0
I	I	pns11	I	i	0
perceive	perceive	vvb	perceive	perceive	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
that	that	cst	that	that	0
God	God	np1	God	God	0
sticks	sticks	vvz	sticks	stick	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
then	then	av	then	then	0
this	this	d	this	this	0
.	.	.	.	.	1
We	We	pns12	We	we	0
reckon	reckon	vvb	reckon	reckon	0
it	it	pn31	it	it	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
common	common	j	common	common	0
infirmities	infirmities	n2	infirmities	infirmity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
sets	sets	vvz	sets	set	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
ranck	ranck	n1	rank	rank	0
of	of	pp-f	of	of	0
Provocations	Provocations	n2	Provocations	provocation	0
.	.	.	.	.	1
Considering	Considering	vvg	Considering	consider	0
how	how	c-crq	how	how	0
prone	prone	j	prove	prone	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
run	run	vvi	run	run	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
evil	evil	n-jn	evil	evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
greatly	greatly	av-j	greatly	great	0
provoking	provoking	vvg	provoking	provoke	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
dangerous	dangerous	j	dangerous	dangerous	0
consequences	consequences	n2	consequences	consequence	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
are	are	vbr	are	be	0
;	;	;	;	;	0
I	I	pns11	I	i	0
judged	judged	vvd	judged	judge	0
a	a	dt	a	a	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
Caution	Caution	n1	Caution	caution	0
,	,	,	,	,	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
seasonable	seasonable	j	seasonable	seasonable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
needful	needful	j	needful	needful	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
few	few	d	few	few	0
things	things	n2	things	thing	0
suggested	suggested	vvn	suggested	suggest	0
,	,	,	,	,	0
might	might	vmd	might	may	0
through	through	p-acp	through	through	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
prove	prove	vvb	prove	prove	0
an	an	dt	and	a	0
Antidote	Antidote	n1	Antidote	antidote	0
against	against	p-acp	against	against	0
this	this	d	this	this	0
Contagi	Contagi	fw-la	Contagi	contagi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
.	.	.	.	.	1
And	And	cc	And	and	0
until	until	c-acp	until	until	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
be	be	vbi	be	be	0
awakned	awakned	vvn	awakened	awake	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
more	more	av-dc	more	more	0
fully	fully	av-j	fully	full	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
useful	useful	j	useful	useful	0
a	a	dt	a	a	0
Sub	Sub	np1	Sub	Sub	0
∣	∣	sy	∣	∣	0
ject	ject	n1	ject	ject	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
a	a	dt	a	a	0
plain	plain	j	plain	plain	0
Proposal	Proposal	n1	Proposal	proposal	0
and	and	cc	and	and	0
serious	serious	j	serious	serious	0
Consideration	Consideration	n1	Consideration	consideration	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
here	here	av	here	here	0
offered	offered	vvn	offered	offer	0
,	,	,	,	,	0
may	may	vmb	may	may	0
prevent	prevent	vvi	prevent	prevent	0
much	much	d	much	much	0
sin	sin	n1	since	sin	0
and	and	cc	and	and	0
sorrow	sorrow	n1	sorrow	sorrow	0
.	.	.	.	.	1
I	I	pns11	I	i	0
judge	judge	vvb	judge	judge	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
noble	noble	j	noble	noble	0
task	task	n1	task	task	0
to	to	p-acp	to	to	0
indea	indea	n1	indea	indea	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
the	the	dt	the	the	0
preventing	preventing	vvg	preventing	prevent	0
of	of	pp-f	of	of	0
trouble	trouble	n1	trouble	trouble	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
come	come	vvb	come	come	0
not	not	xx	not	not	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
it	it	pn31	it	it	0
