JAcobus	JAcobus	fw-la	JAcobus	jacobus	0
Acontius	Acontius	np1	Acontius	Acontius	0
,	,	,	,	,	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	np1	lent	Lent	0
man	man	n1	man	man	0
,	,	,	,	,	0
offended	offended	vvn	offended	offend	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
vill	vill	vmb	will	will	0
disposition	disposition	n1	disposition	disposition	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
scrib	scrib	n1	scrib	scrib	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
age	age	n1	age	age	0
wished	wished	vvd	wished	wish	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
,	,	,	,	,	0
that	that	cst	that	that	0
none	none	pix	none	none	0
should	should	vmd	should	shall	0
write	write	vvi	write	write	0
and	and	cc	and	and	0
publish	publish	vvi	publish	publish	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
some	some	d	some	some	0
new	new	j	new	new	0
thing	thing	n1	thing	thing	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
both	both	d	both	both	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
observation	observation	n1	observation	observation	0
,	,	,	,	,	0
and	and	cc	and	and	0
might	might	vmd	might	may	0
make	make	vvi	make	make	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
aedification	aedification	n1	edification	edification	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
so	so	av	so	so	0
much	much	d	much	much	0
fruit	fruit	n1	fruit	fruit	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
hoped	hoped	vvn	hoped	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
time	time	n1	time	time	0
is	is	vbz	is	be	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stowed	stowed	vvn	stowed	stow	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
readers	readers	n2	readers	reader	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
bestow	bestow	vvi	bestow	bestow	0
it	it	pn31	it	it	0
better	better	av-jc	better	better	0
elswhere	elswhere	av	elsewhere	elsewhere	0
:	:	:	:	:	0
that	that	cst	that	that	0
so	so	av	so	so	0
nothing	nothing	pix	nothing	nothing	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ready	ready	j	ready	ready	0
done	done	vdn	done	do	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
was	was	vbds	was	be	0
yet	yet	av	yet	yet	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
few	few	d	few	few	0
Writers	Writers	n2	Writers	writer	0
(	(	(	(	(	0
says	says	vvz	says	say	0
hee	hee	pns31	he	he	0
)	)	)	)	)	0
bring	bring	vvb	bring	bring	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
steal	steal	vvi	steal	steal	0
,	,	,	,	,	0
things	things	n2	things	thing	0
and	and	cc	and	and	0
words	words	n2	words	word	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
Books	Books	n2	Books	book	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Which	Which	r-crq	Which	which	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
tru	tru	j	true	true	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
that	that	cst	that	that	0
far	far	av-j	far	far	0
∣	∣	sy	∣	∣	0
rago	rago	n1	rago	rago	0
of	of	pp-f	of	of	0
Books	Books	n2	Books	book	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
year	year	n1	year	year	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
little	little	av-j	little	little	0
less	less	av-dc	less	less	0
then	then	cs	then	than	0
overwhelmed	overwhelmed	vvn	overwhelmed	overwhelm	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
look	look	vvb	look	look	0
