To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
NOBLE	NOBLE	j	NOBLE	noble	0
,	,	,	,	,	0
HO	HO	uh	HO	ho	0
∣	∣	sy	∣	∣	0
NOURABLE	NOURABLE	np1	NOURABLE	NOURABLE	0
,	,	,	,	,	0
RE	RE	fw-it	RE	re	0
∣	∣	sy	∣	∣	0
VEREND	VEREND	j-jn	VEREND	verend	0
:	:	:	:	:	0
WILLIAM	WILLIAM	np1	WILLIAM	William	0
Lord	Lord	n1	Lord	lord	0
Arch-Bishop	Arch-Bishop	n1	Arch-Bishop	archbishop	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
,	,	,	,	,	0
FRANCIS	FRANCIS	np1	FRANCIS	Francis	0
Lord	Lord	n1	Lord	lord	0
Guilford	Guilford	np1	Guilford	Guilford	0
,	,	,	,	,	0
C.	C.	np1	C.	C.	0
S.	S.	np1	S.	S.	0
LAWRENCE	LAWRENCE	np1	LAWRENCE	Laurence	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Rochester	Rochester	np1	Rochester	Rochester	0
,	,	,	,	,	0
P.	P.	np1	P.	P.	0
GEORGE	GEORGE	np1	GEORGE	George	0
Marquess	Marquess	n1	Marquis	marquis	0
of	of	pp-f	of	of	0
Halifax	Halifax	np1	Halifax	Halifax	0
,	,	,	,	,	0
C.	C.	np1	C.	C.	0
P.	P.	np1	P.	P.	0
S.	S.	np1	S.	S.	0
JAMES	JAMES	np1	JAMES	James	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	0
R.	R.	np1	R.	R.	0
D.	D.	np1	D.	D.	0
CHRISTOPHER	CHRISTOPHER	np1	CHRISTOPHER	Christopher	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Albemarle	Albemarle	np1	Albemarle	Albemarle	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
New-Castle	New-Castle	np1	New-Castle	Newcastle	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Beaufort	Beaufort	np1	Beaufort	Beaufort	0
,	,	,	,	,	0
CHARLES	CHARLES	np1	CHARLES	Charles	0
Marquess	Marquess	n1	Marquis	marquis	0
of	of	pp-f	of	of	0
Winchester	Winchester	np1	Winchester	Winchester	0
,	,	,	,	,	0
ROBERT	ROBERT	np1	ROBERT	Robert	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Lindsey	Lindsey	np1	Lindsey	Lindsey	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	0
A.	A.	np1	A.	A.	0
C.	C.	np1	C.	C.	0
HENRY	HENRY	np1	HENRY	Henry	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Arlington	Arlington	np1	Arlington	Arlington	0
,	,	,	,	,	0
C.	C.	np1	C.	C.	0
R.	R.	np1	R.	R.	0
D.	D.	np1	D.	D.	0
AUBERY	AUBERY	np1	AUBERY	Aubrey	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Oxford	Oxford	np1	Oxford	Oxford	0
,	,	,	,	,	0
THEOPHILUS	THEOPHILUS	np1	THEOPHILUS	Theophilus	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Hun	Hun	np1	Hun	Hun	0
∣	∣	sy	∣	∣	0
tington	tington	n1	tington	tington	0
,	,	,	,	,	0
JOHN	JOHN	np1	JOHN	John	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Bridg	Bridg	np1	Bridg	Bridg	0
∣	∣	sy	∣	∣	0
water	water	n1	water	water	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Peter	Peter	np1	Peter	Peter	0
∣	∣	sy	∣	∣	0
borough	borough	n1	borough	borough	0
,	,	,	,	,	0
PHILIP	PHILIP	n1	PHILIP	fillip	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Che	Che	pns11	I	i	0
∣	∣	sy	∣	∣	0
sterfield	sterfield	j	sterfield	sterfield	0
,	,	,	,	,	0
Robert	Robert	np1	Robert	Robert	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Sunder	Sunder	np1	Sunder	Sunder	0
∣	∣	sy	∣	∣	0
land	land	n1	land	land	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Clarendon	Clarendon	np1	Clarendon	Clarendon	0
,	,	,	,	,	0
JOHN	JOHN	np1	JOHN	John	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Bath	Bath	n1	Bath	bath	0
,	,	,	,	,	0
WILLIAM	WILLIAM	np1	WILLIAM	William	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Craven	Craven	np1	Craven	Craven	0
,	,	,	,	,	0
ROBERT	ROBERT	np1	ROBERT	Robert	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ailesbury	Ailesbury	np1	Ailesbury	Ailesbury	0
,	,	,	,	,	0
JOHN	JOHN	np1	JOHN	John	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Rad	Rad	np1	Rad	Rad	0
∣	∣	sy	∣	∣	0
nor	nor	ccx	nor	nor	0
,	,	,	,	,	0
DANIEL	DANIEL	np1	DANIEL	Daniel	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Notting	Notting	vvg	Noting	note	0
∣	∣	sy	∣	∣	0
ham	ham	n1	ham	ham	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Middleton	Middleton	np1	Middleton	Middleton	0
,	,	,	,	,	0
THOMAS	THOMAS	np1	THOMAS	Thomas	0
Vicount	Vicount	n1	Viscount	viscount	0
Falconberg	Falconberg	np1	Falconberg	Falconberg	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
GEORGE	GEORGE	np1	GEORGE	George	0
Lord	Lord	n1	Lord	lord	0
Dartmouth	Dartmouth	np1	Dartmouth	Dartmouth	0
,	,	,	,	,	0
SID	SID	np1	SID	Sid	0
∣	∣	sy	∣	∣	0
NEY	NEY	zz	NEY	ney	0
Lord	Lord	n1	Lord	lord	0
Godolphin	Godolphin	np1	Godolphin	Godolphin	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
JOHN	JOHN	np1	JOHN	John	0
ERNLY	ERNLY	av-j	ERNLY	ern	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
THOMAS	THOMAS	np1	THOMAS	Thomas	0
CHI	CHI	fw-mi	CHI	chi	0
∣	∣	sy	∣	∣	0
CHELEY	CHELEY	np1	CHELEY	CHELEY	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
GEORGE	GEORGE	np1	GEORGE	George	0
JEFFE	JEFFE	np1	JEFFE	JEFFE	0
∣	∣	sy	∣	∣	0
RIES	RIES	zz	RIES	ries	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sir	Sir	n1	Sir	sir	0
LEOLINE	LEOLINE	np1	LEOLINE	LEOLINE	0
JEN	JEN	np1	JEN	JEN	0
∣	∣	sy	∣	∣	0
KINS	KINS	np1	KINS	KINS	0
:	:	:	:	:	0
The	The	dt	The	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
late	late	j	late	late	0
Majesties	Majesties	ng1	Majesties	majesty	0
Privy-Council	Privy-Council	n1	Privy-Council	privy-council	0
.	.	.	.	.	1
