FRiends	FRiends	ng1	FRiends	friend	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
friendship	friendship	n1	friendship	friendship	0
and	and	cc	and	and	0
brother-hood	brother-hood	n1	brotherhood	brotherhood	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spiritual	spiritual	j	spiritual	spiritual	0
union	union	n1	union	union	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
cru	cru	fw-fr	cru	cru	0
∣	∣	sy	∣	∣	0
cified	cified	vvd	cified	cify	0
,	,	,	,	,	0
have	have	vhb	have	have	0
suffered	suffered	vvn	suffered	suffer	0
together	together	av	together	together	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
witness	witness	n1	witness	witness	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
taught	taught	vvn	taught	teach	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
joy	joy	n1	joy	joy	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
:	:	:	:	:	0
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
know	know	vvb	know	know	0
ye,1	ye,1	n1	ye,1	ye,1	0
Cor.	Cor.	np1	Cor.	Cor.	1
8.6	8.6	crd	8.6	8.6	0
that	that	d	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
ruleth	ruleth	vvz	ruleth	rule	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
,	,	,	,	,	0
one	one	crd	one	one	0
true	true	j	true	true	0
and	and	cc	and	and	0
living	living	j-vvg	living	live	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
of	of	pp-f	of	of	0
whom	whom	r-crq	whom	who	0
are	are	vbr	are	be	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
;	;	;	;	;	0
and	and	cc	and	and	0
one	one	crd	one	one	0
Lord	Lord	n1	Lord	lord	0
Je	Je	fw-fr	Je	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
are	are	vbr	are	be	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	0
.5	.5	crd	.5	.5	0
.	.	.	.	.	1
Ephes	Ephes	np1	Ephes	Ephes	0
4.6.7	4.6.7	crd	4.6.7	4.6.7	0
.	.	.	.	.	0
and	and	cc	and	and	0
who	who	q-crq	who	who	0
is	is	vbz	is	be	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
God	God	np1	God	God	0
blessed	blessed	vvn	blessed	bless	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
one	one	crd	one	one	0
