CƲrteous	CƲrteous	j	CƲrteous	cʋrteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
too	too	av	too	too	0
cen	cen	j	cen	cen	0
∣	∣	sy	∣	∣	0
sorious	sorious	j	sorious	sorious	0
concerning	concerning	vvg	concerning	concern	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Publisher	Publisher	n1	Publisher	publisher	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
little	little	j	little	little	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
stiled	stiled	vvd	styled	stile	0
,	,	,	,	,	0
The	The	dt	The	the	0
difference	difference	n1	difference	difference	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
and	and	cc	and	and	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
hee	hee	pns31	he	he	0
condemned	condemned	vvd	condemned	condemn	0
the	the	dt	the	the	0
Ages	Ages	n2	Ages	age	0
and	and	cc	and	and	0
Generations	Generations	n2	Generations	generation	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
past	past	j	past	past	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
lost	lost	j-vvn	lost	lose	0
condition	condition	n1	condition	condition	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
saith	saith	vvz	says	say	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
built	built	vvn	built	build	0
their	their	po32	their	their	0
house	house	n1	house	house	0
upon	upon	p-acp	upon	upon	0
wood	wood	n1	wood	wood	0
,	,	,	,	,	0
and	and	cc	and	and	0
hay	hay	n1	hay	hay	0
,	,	,	,	,	0
and	and	cc	and	and	0
stub	stub	n1	stub	stub	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sure	sure	j	sure	sure	0
rock	rock	n1	rock	rock	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
Farre	Farre	av-j	Far	far	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
so	so	av	so	so	0
ashly	ashly	av-j	ashly	ash	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ages	Ages	n2	Ages	age	0
and	and	cc	and	and	0
Generations	Generations	n2	Generations	generation	0
past	past	j	past	past	0
,	,	,	,	,	0
or	or	cc	or	or	0
