THese	THese	d	THese	these	0
Animadversions	Animadversions	n2	Animadversions	animadversion	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Bishop's	Bishop's	ng1	Bishop's	bishop	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
are	are	vbr	are	be	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Labours	Labours	n2	Labours	labour	0
being	being	vbg	being	be	0
yours	yours	png22	yours	you	0
by	by	p-acp	by	by	0
Right	Right	n-jn	Right	right	0
;	;	;	;	;	0
Tho'	Tho'	cs	Though	though	0
this	this	d	this	this	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
Service	Service	n1	Service	service	0
be	be	vbb	be	be	0
extorted	extorted	j-vvn	extorted	extort	0
,	,	,	,	,	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
apprehension	apprehension	n1	apprehension	apprehension	0
of	of	pp-f	of	of	0
appearing	appearing	vvg	appearing	appear	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
vindication	vindication	n1	vindication	vindication	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
the	the	dt	the	the	0
undeceiving	undeceiving	n-vvg	undeceiving	undeceive	0
of	of	pp-f	of	of	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
uneasiness	uneasiness	n1	uneasiness	uneasiness	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
our	our	po12	our	our	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
Worship	Worship	n1	Worship	worship	0
exposed	exposed	vvn	exposed	expose	0
,	,	,	,	,	0
vilified	vilified	vvn	vilified	vilify	0
,	,	,	,	,	0
and	and	cc	and	and	0
represented	represented	vvn	represented	represent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
as	as	c-acp	as	as	0
pure	pure	j	pure	pure	0
humane	humane	j	humane	humane	0
Invention	Invention	n1	Invention	invention	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
Will-worship	Will-worship	n1	Will-worship	will-worship	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
worse	worse	av-jc	worse	worse	0
,	,	,	,	,	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
as	as	p-acp	as	as	0
black	black	j-jn	black	black	0
as	as	c-acp	as	as	0
Heathens	Heathens	n2-jn	Heathens	heathens	0
,	,	,	,	,	0
denying	denying	vvg	denying	deny	0
due	due	j-jn	due	due	0
Adoration	Adoration	n1	Adoration	adoration	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
casting	casting	vvg	casting	cast	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Assemblies	Assemblies	n2	Assemblies	assembly	0
:	:	:	:	:	0
a	a	dt	a	a	0
rare	rare	j	rare	rare	0
notion	notion	n1	notion	notion	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
polite	polite	j	polite	polite	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
exuberant	exuberant	j	exuberant	exuberant	0
Invention	Invention	n1	Invention	invention	0
,	,	,	,	,	0
had	had	vhd	had	have	0
never	never	av-x	never	never	0
the	the	dt	the	the	0
brow	brow	n1	brow	brow	0
to	to	pc-acp	to	to	0
brand	brand	vvi	brand	brand	0
our	our	po12	our	our	0
perswasion	perswasion	n1	persuasion	persuasion	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
this	this	d	this	this	0
Author	Author	n1	Author	author	0
appeared	appeared	vvd	appeared	appear	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
singular	singular	j	singular	singular	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	c-acp	since	since	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
now	now	av	now	now	0
set	set	vvn	set	set	0
out	out	av	out	out	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
as	as	p-acp	as	as	0
worse	worse	jc	worse	worse	0
than	than	cs	than	than	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
degenerated	degenerated	vvn	degenerated	degenerate	0
and	and	cc	and	and	0
barbarous	barbarous	j	barbarous	barbarous	0
people	people	n1	people	people	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
called	called	vvn	called	call	0
themselves	themselves	px32	themselves	themselves	0
Christians	Christians	njpg2	Christians	christian	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
a	a	dt	a	a	0
Clothing	Clothing	vvg	Clothing	clothe	0
of	of	pp-f	of	of	0
wild	wild	j	wild	wild	0
Beasts	Beasts	n2	Beasts	beast	0
forced	forced	vvn	forced	force	0
on	on	p-acp	on	on	0
us	us	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
on	on	p-acp	on	on	0
many	many	d	many	many	0
primitive	primitive	j	primitive	primitive	0
Christians	Christians	np1	Christians	Christians	0
to	to	pc-acp	to	to	0
inrage	inrage	vvi	enrage	enrage	0
their	their	po32	their	their	0
Devourers	Devourers	n2	Devourers	devourer	0
;	;	;	;	;	0
its	its	pn31|vbz	its	it|be	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sumed	sumed	vvd	summed	sum	0
none	none	pix	none	none	0
can	can	vmb	can	can	0
offend	offend	vvi	offend	offend	0
,	,	,	,	,	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
just	just	j	just	just	0
Vindication	Vindication	n1	Vindication	vindication	0
we	we	pns12	we	we	0
strip	strip	vvb	strip	strip	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
covering	covering	n-vvg	covering	cover	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
World	World	n1	World	world	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
Savages	Savages	n2-jn	Savages	savage	0
.	.	.	.	.	1
However	However	c-acp	However	however	0
this	this	d	this	this	0
may	may	vmb	may	may	0
appear	appear	vvi	appear	appear	0
impar	impar	n1	impar	impar	0
congressus	congressus	fw-la	congressus	congressus	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
standing	standing	vvg	standing	stand	0
on	on	p-acp	on	on	0
even	even	j	even	even	0
ground	ground	n1	ground	ground	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
Truth	Truth	n1	Truth	truth	0
being	being	vbg	being	be	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Aggressor	Aggressor	n1	Aggressor	aggressor	0
,	,	,	,	,	0
there's	there's	pc-acp|vbz	there's	there|be	0
no	no	dx	no	no	0
fear	fear	n1	fear	fear	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
will	will	vmb	will	will	0
throughly	throughly	av-j	thoroughly	thorough	0
plead	plead	vvi	plead	plead	0
his	his	po31	his	his	0
own	own	d	own	own	0
Cause	Cause	n1	Cause	cause	0
:	:	:	:	:	0
Therefore	Therefore	av	Therefore	therefore	0
lest	lest	cs	lest	lest	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Author's	Author's	ng1	Author's	author	0
bare	bare	j	bore	bare	0
naming	naming	n-vvg	naming	name	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
pertinent	pertinent	j	pertinent	pertinent	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
or	or	cc	or	or	0
not	not	xx	not	not	0
,	,	,	,	,	0
any	any	d	any	any	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
seduced	seduced	vvn	seduced	seduce	0
,	,	,	,	,	0
or	or	cc	or	or	0
vainly	vainly	av-j	vainly	vain	0
think	think	vvi	think	think	0
his	his	po31	his	his	0
Book	Book	n1	Book	book	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
answered	answered	vvn	answered	answer	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
arraigned	arraigned	vvn	arraigned	arraign	0
and	and	cc	and	and	0
provocked	provocked	vvn	provoked	provoke	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
haters	haters	n2	haters	hater	0
of	of	pp-f	of	of	0
Light	Light	n1	Light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
unwilling	unwilling	j	unwilling	unwilling	0
our	our	po12	our	our	0
deeds	deeds	n2	deeds	deed	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
manifest	manifest	j	manifest	manifest	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
wrought	wrought	vvn	wrought	wrought	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
or	or	cc	or	or	0
not	not	xx	not	not	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
ashamed	ashamed	j	ashamed	ashamed	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
the	the	dt	the	the	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
fidence	fidence	n1	fidence	fidence	0
to	to	p-acp	to	to	0
convince	convince	vvi	convince	convince	0
gainsayers	gainsayers	n2	gainsayers	gainsayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
suffer	suffer	vvb	suffer	suffer	0
Truth	Truth	n1	Truth	truth	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
betrayed	betrayed	vvn	betrayed	betray	0
by	by	p-acp	by	by	0
unreasonable	unreasonable	j	unreasonable	unreasonable	0
silence	silence	n1	silence	silence	0
,	,	,	,	,	0
and	and	cc	and	and	0
lest	lest	cs	lest	lest	0
that	that	d	that	that	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
or	or	cc	or	or	0
our	our	po12	our	our	0
succeeding	succeeding	j-vvg	succeeding	succeed	0
Posterity	Posterity	n1	Posterity	posterity	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
impressed	impressed	vvn	impressed	impress	0
with	with	p-acp	with	with	0
Calumnies	Calumnies	n2	Calumnies	calumny	0
for	for	p-acp	for	for	0
Truths	Truths	n2	Truths	truth	0
;	;	;	;	;	0
tho	tho	av	though	tho	0
▪	▪	▪	▪	▪	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
very	very	av	very	very	0
weakest	weakest	js	weakest	weak	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
special	special	j	special	special	0
manner	manner	n1	manner	manner	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Book	Book	n1	Book	book	0
sent	sent	vvd	sent	send	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thor	thor	n1	thor	thor	0
,	,	,	,	,	0
am	am	vbm	am	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
try	try	vvi	try	try	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
