CUstom	CUstom	n1	CUstom	custom	0
,	,	,	,	,	0
not	not	xx	not	not	0
Necessity	Necessity	n1	Necessity	necessity	0
(	(	(	(	(	0
Most	Most	av-ds	Most	most	0
Dread	Dread	j	Dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
)	)	)	)	)	0
seems	seems	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Cause	Cause	n1	Cause	cause	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
Dedications	Dedications	n2	Dedications	dedication	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
otherwise	otherwise	av	otherwise	otherwise	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
;	;	;	;	;	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
and	and	cc	and	and	0
Matter	Matter	n1	Matter	matter	0
hereof	hereof	av	hereof	hereof	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
publique	publique	j	public	public	0
Utility	Utility	n1	Utility	utility	0
,	,	,	,	,	0
requires	requires	vvz	requires	require	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
publique	publique	j	public	public	0
Authority	Authority	n1	Authority	authority	0
to	to	pc-acp	to	to	0
patronize	patronize	vvi	patronise	patronize	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Leaving	Leaving	vvg	Leaving	leave	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
Subordinate	Subordinate	j	Subordinate	subordinate	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
dress	dress	n1	dress	dress	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
as	as	c-acp	as	as	0
Supreme	Supreme	j	Supreme	supreme	0
;	;	;	;	;	0
humbly	humbly	av-j	humbly	humble	0
presen	presen	fw-mi	presen	presen	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
this	this	d	this	this	0
my	my	po11	my	my	0
weak	weak	j	weak	weak	0
Endeavour	Endeavour	n1	Endeavour	endeavour	0
,	,	,	,	,	0
this	this	d	this	this	0
New	New	j	New	new	0
Plantation	Plantation	n1	Plantation	plantation	0
,	,	,	,	,	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
profitable	profitable	j	profitable	profitable	0
Invention	Invention	n1	Invention	invention	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
View	View	n1	View	view	0
and	and	cc	and	and	0
Consideration	Consideration	n1	Consideration	consideration	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
SaCRed	SaCRed	j	SaCRed	sacred	0
Majesty	Majesty	n1	Majesty	majesty	0
;	;	;	;	;	0
a	a	dt	a	a	0
meaner	meaner	jc	meaner	mean	0
Patron	Patron	n1	Patron	patron	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
fitting	fitting	vvg	fitting	fit	0
,	,	,	,	,	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
