Honoured	Honoured	j-vvn	Honoured	honour	0
Sirs	Sirs	n2	Sirs	sir	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
Heathen	Heathen	j-jn	Heathen	heathen	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
discoursed	discoursed	vvd	discoursed	discourse	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
blessedness	blessedness	n1	blessedness	blessedness	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
never	never	av-x	never	never	0
knew	knew	vvd	knew	know	0
they	they	pns32	they	they	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
meant	meant	vvd	meant	mean	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
wherein	wherein	c-crq	wherein	wherein	0
it	it	pn31	it	it	0
consisted	consisted	vvd	consisted	consist	0
.	.	.	.	.	1
Varro	Varro	np1	Varro	Varro	0
,	,	,	,	,	0
Varro	Varro	np1	Varro	Varro	0
,	,	,	,	,	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
19.	19.	crd	19.	19	1
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
gust	gust	n1	gust	gust	0
.	.	.	.	.	0
de	de	dt	the	the	0
Civ	Civ	crd	Civ	civ	0
.	.	.	.	.	1
Dei	Dei	fw-la	Dei	dei	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
Cicer.	Cicer.	np1	Cicer.	Cicer.	0
de	de	fw-fr	de	de	0
finib	finib	n1	finib	finib	0
.	.	.	.	.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
S.	S.	n1	S.	saint	1
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
gustine	gustine	fw-fr	gustine	gustine	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
divided	divided	vvn	divided	divide	0
into	into	p-acp	into	into	0
288	288	crd	288	288	0
opi	opi	n2	opi	opi	0
∣	∣	sy	∣	∣	0
nions	nions	n2	nions	nion	0
about	about	p-acp	about	about	0
this	this	d	this	this	0
one	one	crd	one	one	0
point	point	n1	point	point	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
one	one	pi	one	one	0
true	true	j	true	true	0
mong	mong	p-acp	mong	among	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
They	They	pns32	They	they	0
ran	ran	vvd	ran	run	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
toward	toward	p-acp	towards	towards	0
his	his	po31	his	his	0
mark	mark	n1	mark	mark	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
run	run	vvb	run	run	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
race	race	n1	raze	race	0
;	;	;	;	;	0
hey	hey	uh	heigh	hey	0
had	had	vhd	had	have	0
several	several	j	several	several	0
Goals	Goals	n2	Goals	goal	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
obtained	obtained	vvd	obtained	obtain	0
he	he	pns31	he	he	0
Crown	Crown	n1	Crown	crown	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
consist	consist	vvi	consist	consist	0
a	a	dt	a	a	0
pleasure	pleasure	n1	pleasure	pleasure	0
;	;	;	;	;	0
so	so	av	so	so	0
Epicurus	Epicurus	np1	Epicurus	Epicurus	0
thought	thought	vvd	thought	think	0
variety	variety	n1	variety	variety	0
of	of	pp-f	of	of	0
leasure	leasure	n1	leisure	leisure	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
summum	summum	fw-la	summum	summum	0
bonum	bonum	fw-la	bonum	bonum	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
hief	hief	n1	hief	hief	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Orator	Orator	n1	Orator	orator	0
said	said	vvd	said	say	0
well	well	av	well	well	0
f	f	zz	f	f	0
him	him	pno31	him	he	0
;	;	;	;	;	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
vox	vox	fw-la	vox	vox	0
pecudis	pecudis	fw-la	pecudis	pecudis	0
,	,	,	,	,	0
non	non	fw-la	non	non	0
hominis	hominis	fw-la	hominis	hominis	0
,	,	,	,	,	0
the	the	dt	the	the	0
oice	oice	n1	oice	oice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
man	man	n1	man	man	0
:	:	:	:	:	0
that	that	cst	that	that	0
this	this	d	this	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Epicureans	Epicureans	njp2	Epicureans	epicureans	0
,	,	,	,	,	0
