THE	THE	dt	THE	the	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
plain	plain	j	plain	plain	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
minister	minister	vvi	minister	minister	0
a	a	dt	a	a	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
Counsel	Counsel	n1	Counsel	counsel	0
(	(	(	(	(	0
and	and	cc	and	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
would	would	vmd	would	will	0
bless	bless	vvi	bless	bless	0
it	it	pn31	it	it	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
Comfort	Comfort	n1	Comfort	comfort	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
that	that	cst	that	that	0
awful	awful	j	awful	awful	0
and	and	cc	and	and	0
afflicting	afflicting	vvg	afflicting	afflict	0
Providence	Providence	n1	Providence	providence	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
befallen	befallen	vvn	befallen	befall	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
tho'	tho'	cs	though	though	0
very	very	av	very	very	0
surpriz	surpriz	vvi	surprise	surprise	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
good	good	j	good	good	0
and	and	cc	and	and	0
bad	bad	j	bad	bad	0
:	:	:	:	:	0
And	And	cc	And	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
principally	principally	av-j	principally	principal	0
delivered	delivered	vvn	delivered	deliver	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
account	account	n1	account	account	0
,	,	,	,	,	0
so	so	av	so	so	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
request	request	n1	request	request	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Transcribed	Transcribed	vvn	Transcribed	transcribe	0
the	the	dt	the	the	0
Copy	Copy	n1	Copy	copy	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
disposed	disposed	vvn	disposed	dispose	0
of	of	pp-f	of	of	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
pleasure	pleasure	n1	pleasure	pleasure	0
.	.	.	.	.	1
The	The	dt	The	the	0
Publishing	Publishing	vvg	Publishing	publish	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Thoughts	Thoughts	n2	Thoughts	thought	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
preached	preached	vvd	preached	preach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
altogether	altogether	av	altogether	altogether	0
averse	averse	j	averse	averse	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Inclination	Inclination	n1	Inclination	inclination	0
,	,	,	,	,	0
tho'	tho'	cs	though	though	0
to	to	p-acp	to	to	0
grati	grati	fw-la	grati	grati	0
∣	∣	sy	∣	∣	0
fie	fie	uh	fie	fie	0
you	you	pn22	you	you	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
well	well	av	well	well	0
with-stand	with-stand	vvi	withstand	withstand	0
)	)	)	)	)	0
I	I	pns11	I	i	0
gave	gave	vvd	gave	give	0
my	my	po11	my	my	0
self	self	n1	self	self	0
the	the	dt	the	the	0
trouble	trouble	n1	trouble	trouble	0
of	of	pp-f	of	of	0
writing	writing	vvg	writing	write	0
it	it	pn31	it	it	0
over	over	a-acp	over	over	0
.	.	.	.	.	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
,	,	,	,	,	0
my	my	po11	my	my	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
no	no	dx	no	no	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
too	too	av	too	too	0
much	much	av-d	much	much	0
vent	vent	vvi	vent	vent	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
upon	upon	p-acp	upon	upon	0
very	very	av	very	very	0
good	good	j	good	good	0
grounds	grounds	n2	grounds	ground	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
hope	hope	vvi	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
love	love	vvb	love	love	0
,	,	,	,	,	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
Him	Him	pno31	Him	he	0
that	that	cst	that	that	0
loves	loves	vvz	loves	love	0
him	him	pno31	him	he	0
better	better	jc	better	better	0
than	than	cs	than	than	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
safely	safely	av-j	safely	safe	0
arriv'd	arriv'd	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Ha	Ha	uh	Would	ha	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
of	of	pp-f	of	of	0
Rest	Rest	n1	Rest	rest	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
desirous	desirous	j	desirous	desirous	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
tho'	tho'	cs	though	though	0
his	his	po31	his	his	0
Race	Race	n1	Raze	race	0
was	was	vbds	was	be	0
short	short	j	short	short	0
,	,	,	,	,	0
his	his	po31	his	his	0
Rest	Rest	n1	Rest	rest	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
longer	longer	av-jc	longer	long	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
gone	gone	vvn	gone	go	0
a	a	dt	a	a	0
little	little	j	little	little	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
follow	follow	vvb	follow	follow	0
after	after	a-acp	after	after	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
prepared	prepared	vvn	prepared	prepare	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
meet	meet	vvi	meet	meet	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
unspeakable	unspeakable	j	unspeakable	unspeakable	0
,	,	,	,	,	0
unconceivable	unconceivable	j	unconceivable	unconceivable	0
,	,	,	,	,	0
far	far	av-j	far	far	0
