SEeing	SEeing	vvg	SEeing	see	0
Dedications	Dedications	n2	Dedications	dedication	0
are	are	vbr	are	be	0
become	become	vvn	become	become	0
Customary	Customary	j	Customary	customary	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
choose	choose	vvi	choose	choose	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
Patron	Patron	n1	Patron	patron	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Papist	Papist	njp	Papist	papist	0
chooses	chooses	vvz	chooses	choose	0
his	his	po31	his	his	0
Saint	Saint	n1	Saint	saint	0
.	.	.	.	.	1
He	He	pns31	He	he	0
fancies	fancies	vvz	fancies	fancy	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
Propitious	Propitious	j	Propitious	propitious	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Affairs	Affairs	n2	Affairs	affair	0
,	,	,	,	,	0
and	and	cc	and	and	0
addresses	addresses	vvz	addresses	address	0
himself	himself	px31	himself	himself	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
knows	knows	vvz	knows	know	0
not	not	xx	not	not	0
whether	whether	cs	whither	whether	0
he	he	pns31	he	he	0
hears	hears	vvz	hears	hear	0
him	him	pno31	him	he	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
.	.	.	.	.	1
The	The	dt	The	the	0
Person	Person	n1	Person	person	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
choose	choose	vvb	choose	choose	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
Dedication	Dedication	n1	Dedication	dedication	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Mr.	Mr.	n1	Mr.	mr.	1
Speaker	Speaker	n1	Speaker	speaker	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
he	he	pns31	he	he	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
least	least	ds	least	least	0
.	.	.	.	.	1
If	If	cs	If	if	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
,	,	,	,	,	0
this	this	d	this	this	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
Flattery	Flattery	n1	Flattery	flattery	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
is	is	vbz	is	be	0
Adventure	Adventure	n1	Adventure	adventure	0
;	;	;	;	;	0
and	and	cc	and	and	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
Blurr	Blurr	n1	Blurr	blurr	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
is	is	vbz	is	be	0
Honour	Honour	n1	Honour	honour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
fancy	fancy	vvi	fancy	fancy	0
that	that	d	that	that	0
Person	Person	n1	Person	person	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
impartial	impartial	j	impartial	impartial	0
perspicacious	perspicacious	j	perspicacious	perspicacious	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
therefore	therefore	av	therefore	therefore	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Honesty	Honesty	n1	Honesty	honesty	0
and	and	cc	and	and	0
Innocency	Innocency	n1	Innocency	innocency	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Sheets	Sheets	n2	Sheets	sheet	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
Fancy	Fancy	n1	Fancy	fancy	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
