To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Worship-the	Worship-the	j	Worship-the	worship-the	0
MAjOR	MAjOR	j	MAjOR	major	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Brethren	Brethren	n2	Brothers	brethren	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
town	town	n1	town	town	0
of	of	pp-f	of	of	0
Plimpton	Plimpton	np1	Plimpton	Plimpton	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
loving	loving	j-vvg	loving	love	0
hearers	hearers	n2	hearers	hearer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gentrie	Gentrie	n1	Gentry	gentry	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
who	who	r-crq	who	who	0
dwel	dwel	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
adjacent	adjacent	j	adjacent	adjacent	0
Countrie	Countrie	n1	Country	country	0
.	.	.	.	.	1
Grace	Grace	n1	Grace	grace	0
bee	bee	vbb	be	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
IT	IT	pn31	IT	it	0
was	was	vbds	was	be	0
meet	meet	j	meet	meet	0
that	that	cst	that	that	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
should	should	vmd	should	shall	0
first	first	ord	first	first	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
publick	publick	j	public	public	0
view	view	n1	view	view	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
dedicated	dedicated	vvn	dedicated	dedicate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
first	first	ord	first	first	0
prea	prea	vvb	prea	pray	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
that	that	cst	that	that	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
hearing	hearing	n-vvg	hearing	hear	0
,	,	,	,	,	0
or	or	cc	or	or	0
reading	reading	vvg	reading	read	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
to	to	p-acp	to	to	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
.	.	.	.	.	1
Heaven	Heaven	n1	Heaven	heaven	0
must	must	vmb	must	must	0
bee	bee	vbi	be	be	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
suffer	suffer	vvi	suffer	suffer	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
olent	olent	av-j	olent	olent	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
11.12	11.12	crd	11.12	11.12	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	c-acp	before	fore	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
offer	offer	vvi	offer	offer	0
an	an	dt	and	a	0
holy	holy	j	holy	holy	0
violence	violence	n1	violence	violence	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
own	own	d	own	own	0
na	na	fw-fr	na	na	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
,	,	,	,	,	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
must	must	vmb	must	must	0
Isa.	Isa.	np1	Isa.	Isa.	0
64	64	crd	64	64	0
stir	stir	n1	stir	stir	0
up	up	a-acp	up	up	0
your	your	po22	your	your	0
selvs	selvs	n2	selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
lay	lay	vvd	lay	lie	0
hold	hold	n1	hold	hold	0
on	on	p-acp	on	on	0
God	God	np1	God	God	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
self	self	n1	self	self	0
,	,	,	,	,	0
must	must	vmb	must	must	0
labour	labour	vvi	labour	labour	0
hard	hard	av-j	hard	hard	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
force	force	vvi	force	force	0
heaven	heaven	n1	heaven	heaven	0
.	.	.	.	.	1
Heaven	Heaven	n1	Heaven	heaven	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
new	new	j	new	new	0
title	title	n1	title	title	0
,	,	,	,	,	0
Mat	Mat	n1	Mat	mat	0
▪	▪	▪	▪	▪	0
7	7	crd	7	7	0
14.	14.	crd	14.	14.	0
and	and	cc	and	and	0
streight	streight	j	straight	strait	0
gate	gate	n1	gate	gate	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
streight	streight	av	straight	straight	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
gate	gate	n1	gate	gate	0
which	which	r-crq	which	which	0
leads	leads	vvz	leads	lead	0
to	to	p-acp	to	to	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
strive	strive	vvi	strive	strive	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
as	as	a-acp	as	as	0
wise	wise	j	wise	wise	0
as	as	c-acp	as	as	0
Serpents	Serpents	n2	Serpents	serpent	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
10.16	10.16	crd	10.16	10.16	0
.	.	.	.	.	1
Serpents	Serpents	ng1	Serpents	serpent	0
will	will	vmb	will	will	0
go	go	vvi	go	go	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
rock	rock	n1	rock	rock	0
,	,	,	,	,	0
&	&	cc	&	and	0
creep	creep	vvi	creep	creep	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
nar	nar	n1	nar	nar	0
∣	∣	sy	∣	∣	0
row	row	n1	row	row	0
clefts	clefts	n2	clefts	cleft	0
or	or	cc	or	or	0
holes	holes	n2	holes	hole	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
strip	strip	vvi	strip	strip	0
off	off	a-acp	off	off	0
their	their	po32	their	their	0
old	old	j	old	old	0
skins	skins	n2	skins	skin	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
old	old	j	old	old	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
becom	becom	vvi	become	become	0
young	young	j	young	young	0
again	again	av	again	again	0
;	;	;	;	;	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
wisdoms	wisdoms	ng1	wisdoms	wisdom	0
match	match	n1	match	match	0
theirs	theirs	png32	theirs	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
strictness	strictness	n1	strictness	strictness	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
streight	streight	j	straight	strait	0
gate	gate	n1	gate	gate	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
bee	bee	vbi	be	be	0
your	your	po22	your	your	0
rock	rock	n1	rock	rock	0
,	,	,	,	,	0
&	&	cc	&	and	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
at	at	p-acp	at	at	0
exercise	exercise	vvi	exercise	exercise	0
your	your	po22	your	your	0
selvs	selvs	n2	selves	self	0
,	,	,	,	,	0
strip	strip	vvb	strip	strip	0
your	your	po22	your	your	0
