Highly	Highly	av-j	Highly	high	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
MAy	MAy	vmb	MAy	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
to	to	p-acp	to	to	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
mit	mit	fw-ge	mit	mit	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
Servant	Servant	n1	Servant	servant	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
Address	Address	vvi	Address	address	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
.	.	.	.	.	1
And	And	cc	And	and	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
boldness	boldness	n1	boldness	boldness	0
therein	therein	av	therein	therein	0
shown	shown	vvn	shown	show	0
;	;	;	;	;	0
Your	Your	po22	Your	your	0
Honour	Honour	n1	Honour	honour	0
knows	knows	vvz	knows	know	0
how	how	c-crq	how	how	0
long	long	av-j	long	long	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
Tenant	Tenant	n1	Tenant	tenant	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Self	Self	n1	Self	self	0
also	also	av	also	also	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
remember	remember	vvb	remember	remember	0
how	how	c-crq	how	how	0
ready	ready	j	ready	ready	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Living	Living	n-vvg	Living	live	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Preferment	Preferment	n1	Preferment	preferment	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
reflect	reflect	vvi	reflect	reflect	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
vours	vours	n2	vours	vour	0
with	with	p-acp	with	with	0
Thankfulness	Thankfulness	n1	Thankfulness	thankfulness	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
erect	erect	vvi	erect	erect	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
a	a	dt	a	a	0
Monument	Monument	n1	Monument	monument	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Gratitude	Gratitude	n1	Gratitude	gratitude	0
by	by	p-acp	by	by	0
dedicating	dedicating	j-vvg	dedicating	dedicate	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
