Heroïck	Heroïck	j	Heroïck	heroïck	0
Sir	Sir	n1	Sir	sir	0
!	!	!	!	!	1
LOng	LOng	j	LOng	long	0
and	and	cc	and	and	0
earnest	earnest	j	earnest	earnest	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
sires	sires	ng1	sire's	sire	0
and	and	cc	and	and	0
prayers	prayers	n2	prayers	prayer	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
thousands	thousands	crd	thousands	thousand	0
of	of	pp-f	of	of	0
faithfull	faithfull	j	faithful	faithful	0
hearts	hearts	n2	hearts	heart	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
safe	safe	j	safe	safe	0
and	and	cc	and	and	0
happy	happy	j	happy	happy	0
return	return	n1	return	return	0
into	into	p-acp	into	into	0
England	England	np1	England	England	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
own	own	d	own	own	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
comforts	comforts	n2	comforts	comfort	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
now	now	av	now	now	0
opportunely	opportunely	av-j	opportunely	opportune	0
brought	brought	vvn	brought	bring	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
testi	testi	n1	testi	testi	0
∣	∣	sy	∣	∣	0
monies	monies	n2	moneys	money	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
blessings	blessings	n2	blessings	blessing	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
nifested	nifested	vvn	nifested	nifest	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
succes	succes	n1	success	success	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
battails	battails	n2	battles	battle	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
justly	justly	av-j	justly	just	0
terrible	terrible	j	terrible	terrible	0
to	to	pc-acp	to	to	0
all	all	av-d	all	all	0
his	his	png31	his	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Ene	Ene	fw-mi	Ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
;	;	;	;	;	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
joyfull	joyfull	j	joyful	joyful	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
his	his	po31	his	his	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
friends	friends	n2	friends	friend	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
feared	feared	vvn	feared	fear	0
,	,	,	,	,	0
that	that	cst	that	that	0
asGod	asGod	n1	asGod	asgod	0
hath	hath	vhz	hath	have	0
but	but	p-acp	but	but	0
few	few	d	few	few	0
firm	firm	j	firm	firm	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
election	election	n1	election	election	0
,	,	,	,	,	0
so	so	av	so	so	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
but	but	p-acp	but	but	0
few	few	d	few	few	0
faithull	faithull	vmb	faithull	faithull	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
assistance	assistance	n1	assistance	assistance	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
inquired	inquired	vvn	inquired	inquire	0
in	in	p-acp	in	in	0
the	the	pno32	thee	they	0
As	As	c-acp	As	as	0
∣	∣	sy	∣	∣	0
sembly	sembly	n1	sembly	sembly	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
promises	promises	n2	promises	promise	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
pendants	pendants	n2	pendants	pendant	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Votes	Votes	n2	Votes	vote	0
in	in	p-acp	in	in	0
publick	publick	j	public	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
Vowes	Vowes	n2	Vows	vow	0
in	in	p-acp	in	in	0
private	private	j	private	private	0
have	have	vhi	have	have	0
most	most	av-ds	most	most	0
wilfully	wilfully	av-j	wilfully	wilful	0
failed	failed	vvn	failed	fail	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
:	:	:	:	:	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sume	sume	n1	fume	fume	0
to	to	p-acp	to	to	0
inquire	inquire	vvi	inquire	inquire	0
what	what	r-crq	what	what	0
breaches	breaches	n2	breaches	breach	0
have	have	vhb	have	have	0
bin	bin	vbn	been	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
performances	performances	n2	performances	performance	0
in	in	p-acp	in	in	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	fw-mi	ters	ters	0
most	most	av-ds	most	most	0
nearly	nearly	av-j	nearly	near	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
ning	ning	n-vvg	ning	ning	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Ar	Ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
mie	mie	po11	my	my	0
,	,	,	,	,	0
best	best	av-js	best	best	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
performed	performed	vvn	performed	perform	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
promises	promises	n2	promises	promise	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
relieving	relieving	vvg	relieving	relieve	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
dai	dai	n1	day	day	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
Orators	Orators	n2	Orators	orator	0
,	,	,	,	,	0
Prisoners	Prisoners	n2	Prisoners	prisoner	0
for	for	p-acp	for	for	0
Debt	Debt	n1	Debt	debt	0
,	,	,	,	,	0
wrongfully	wrongfully	av-j	wrongfully	wrongful	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
streined	streined	vvn	strained	strain	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
Magna	Magna	fw-la	Magna	magna	0
Charta	Charta	fw-la	Charta	charta	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
true	true	j	true	true	0
Laws	Laws	n2	Laws	law	0
