Et	Et	fw-la	Et	et	0
vestrae	vestrae	fw-la	vestrae	vestrae	0
dignitatis	dignitatis	fw-la	dignitatis	dignitatis	0
Cultores	Cultores	fw-la	Cultores	cultores	0
Devotissimi	Devotissimi	fw-la	Devotissimi	devotissimi	0
,	,	,	,	,	0
CANDIDATI	CANDIDATI	np1	CANDIDATI	CANDIDATI	0
.	.	.	.	.	1
Abraham	Abraham	np1	Abraham	Abraham	0
Davidson	Davidson	np1	Davidson	Davidson	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Arbuthnott	Arbuthnott	np1	Arbuthnott	Arbuthnott	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Christie	Christie	np1	Christie	Christie	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Jameson	Jameson	np1	Jameson	Jameson	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Youngson	Youngson	np1	Youngson	Youngson	0
,	,	,	,	,	0
Andreas	Andreas	np1	Andreas	Andreas	0
Fraser	Fraser	np1	Fraser	Fraser	0
,	,	,	,	,	0
Andreas	Andreas	np1	Andreas	Andreas	0
Lawson	Lawson	np1	Lawson	Lawson	0
,	,	,	,	,	0
Andreas	Andreas	np1	Andreas	Andreas	0
Milne	Milne	np1	Milne	Milne	0
,	,	,	,	,	0
Arthurus	Arthurus	np1	Arthurus	Arthurus	0
Birnie	Birnie	np1	Birnie	Birnie	0
,	,	,	,	,	0
Arthurus	Arthurus	np1	Arthurus	Arthurus	0
Sympson	Sympson	np1	Sympson	Sympson	0
,	,	,	,	,	0
Carolus	Carolus	np1	Carolus	Carolus	0
Irvine	Irvine	np1	Irvine	Irvine	0
,	,	,	,	,	0
Carolus	Carolus	np1	Carolus	Carolus	0
Lergo	Lergo	vvb	Lergo	lergo	0
,	,	,	,	,	0
Carolus	Carolus	np1	Carolus	Carolus	0
Maitland	Maitland	np1	Maitland	Maitland	0
,	,	,	,	,	0
David	David	np1	David	David	0
Hendrie	Hendrie	np1	Hendrie	Hendrie	0
,	,	,	,	,	0
D.	D.	np1	D.	D.	0
David	David	np1	David	David	0
Ogilvie	Ogilvie	np1	Ogilvie	Ogilvie	0
de	de	fw-fr	de	de	0
Barras	Barras	np1	Barras	Barras	0
,	,	,	,	,	0
David	David	np1	David	David	0
Shivez	Shivez	np1	Shivez	Shivez	0
,	,	,	,	,	0
Georgius	Georgius	np1	Georgius	Georgius	0
Iohnston	Iohnston	np1	Iohnston	Iohnston	0
,	,	,	,	,	0
Georgius	Georgius	np1	Georgius	Georgius	0
Leith	Leith	np1	Leith	Leith	0
D.	D.	np1	D.	D.	0
Georgius	Georgius	np1	Georgius	Georgius	0
Monroe	Monroe	np1	Monroe	Monroe	0
de	de	dt	the	the	0
New	New	j	New	new	0
∣	∣	sy	∣	∣	0
more	more	n1	more	moor	0
,	,	,	,	,	0
Gulielmus	Gulielmus	fw-la	Gulielmus	gulielmus	0
Cheapland	Cheapland	np1	Cheapland	Cheapland	0
,	,	,	,	,	0
Gulielmus	Gulielmus	np1	Gulielmus	Gulielmus	0
Cumming	Cumming	np1	Cumming	Cumming	0
,	,	,	,	,	0
Gulielmus	Gulielmus	np1	Gulielmus	Gulielmus	0
Dingwall	Dingwall	np1	Dingwall	Dingwall	0
,	,	,	,	,	0
Gulielmus	Gulielmus	np1	Gulielmus	Gulielmus	0
Falconar	Falconar	np1	Falconar	Falconar	0
,	,	,	,	,	0
Gulielmus	Gulielmus	np1	Gulielmus	Gulielmus	0
Innes	Innes	np1	Innes	Innes	0
,	,	,	,	,	0
Guliemus	Guliemus	np1	Guliemus	Guliemus	0
Iohnston	Iohnston	np1	Iohnston	Iohnston	0
,	,	,	,	,	0
Gulielmus	Gulielmus	np1	Gulielmus	Gulielmus	0
