THO'	THO'	cs	THOUGH	though	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
your	your	po22	your	your	0
Ladyships	Ladyships	ng1	Ladyships	ladyship	0
Favour	Favour	n1	Favour	favour	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
give	give	vvi	give	give	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Birth	Birth	n1	Birth	birth	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
contain'd	contain'd	vvn	contained	contain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
listing	listing	vvg	listing	list	0
me	me	pno11	me	i	0
amongst	amongst	p-acp	among	among	0
your	your	po22	your	your	0
Ser	Ser	n1	Sir	sir	0
∣	∣	sy	∣	∣	0
vants	vants	vvz	vaunts	vaunt	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
raise	raise	vvi	raise	raise	0
my	my	po11	my	my	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
so	so	av	so	so	0
did	did	vdd	did	do	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
Envy	Envy	n1	Envy	envy	0
and	and	cc	and	and	0
Malice	Malice	n1	Malice	malice	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Persecuters	Persecuters	n2	Persecuters	persecuter	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
satisfied	satisfied	vvn	satisfied	satisfy	0
my	my	po11	my	my	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
humble	humble	j	humble	humble	0
Content	Content	n1	Content	content	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
lower	lower	jc	lower	low	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
ambitious	ambitious	j	ambitious	ambitious	0
of	of	pp-f	of	of	0
giving	giving	vvg	giving	give	0
some	some	d	some	some	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
You	You	pn22	You	you	0
,	,	,	,	,	0
than	than	cs	than	than	0
deriving	deriving	vvg	deriving	derive	0
Honour	Honour	n1	Honour	honour	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
self	self	n1	self	self	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Protection	Protection	n1	Protection	protection	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
tho'	tho'	cs	though	though	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
acted	acted	vvn	acted	act	0
by	by	p-acp	by	by	0
Ambition	Ambition	n1	Ambition	ambition	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
Greatness	Greatness	n1	Greatness	greatness	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Quality	Quality	n1	Quality	quality	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Excellency	Excellency	n1	Excellency	excellency	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
personal	personal	j	personal	personal	0
Accomplishments	Accomplishments	n2	Accomplishments	accomplishment	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
entertainment	entertainment	n1	entertainment	entertainment	0
such	such	d	such	such	0
Addresses	Addresses	n2	Addresses	address	0
receive	receive	vvb	receive	receive	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Censo	Censo	np1	Censo	Censo	0
∣	∣	sy	∣	∣	0
rious	rious	j	rious	rious	0
World	World	n1	World	world	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
,	,	,	,	,	0
men	men	n2	men	man	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
I	I	pns11	I	i	0
design	design	vvb	design	design	0
