Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
BEing	BEing	vbg	BEing	be	0
put	put	vvn	put	put	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Vin	Vin	fw-fr	Vin	vin	0
∣	∣	sy	∣	∣	0
dication	dication	n1	dication	dication	0
of	of	pp-f	of	of	0
Set-Forms	Set-Forms	n2	Set-Forms	set-form	0
of	of	pp-f	of	of	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Liturgy	Liturgy	n1	Liturgy	liturgy	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honour's	Honour's	ng1	Honour's	honour	0
resolution	resolution	n1	resolution	resolution	0
,	,	,	,	,	0
and	and	cc	and	and	0
begin	begin	vvb	begin	begin	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
thereto	thereto	av	thereto	thereto	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
coming	coming	n-vvg	coming	come	0
one	one	pi	one	one	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
Service	Service	n1	Service	service	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
and	and	cc	and	and	0
Devout	Devout	j	Devout	devout	0
Consort	Consort	n1	Consort	consort	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
become	become	vvn	become	become	0
one	one	pi	one	one	0
by	by	p-acp	by	by	0
Wedlock	Wedlock	n1	Wedlock	wedlock	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Opportunity	Opportunity	n1	Opportunity	opportunity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
religious	religious	j	religious	religious	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
joy	joy	n1	joy	joy	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
testants	testants	n2	testants	testant	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
coming	coming	n-vvg	coming	come	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
throw	throw	vvi	throw	throw	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Mite	Mite	n1	Mite	mite	0
and	and	cc	and	and	0
small	small	j	small	small	0
help	help	n1	help	help	0
to	to	pc-acp	to	to	0
settle	settle	vvi	settle	settle	0
and	and	cc	and	and	0
continue	continue	vvb	continue	continue	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
you	you	pn22	you	you	0
profess	profess	vvb	profess	profess	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
no	no	dx	no	no	0
way	way	n1	way	way	0
better	better	av-jc	better	better	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
commend	commend	vvi	commend	commend	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
God	God	n1	God	god	0
and	and	cc	and	and	0
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
viour	viour	n1	viour	viour	0
,	,	,	,	,	0
the	the	dt	the	the	0
daily	daily	j	daily	daily	0
reading	reading	n-vvg	reading	read	0
and	and	cc	and	and	0
searching	searching	vvg	searching	search	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
perusing	perusing	vvg	perusing	peruse	0
of	of	pp-f	of	of	0
Books	Books	n2	Books	book	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Preacher	Preacher	n1	Preacher	preacher	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
prediction	prediction	n1	prediction	prediction	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
Ecclesiastes	Ecclesiastes	n2	Ecclesiastes	ecclesiaste	0
,	,	,	,	,	0
12.12	12.12	crd	12.12	12.12	0
.	.	.	.	.	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
end	end	n1	end	end	0
:	:	:	:	:	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
presume	presume	vvi	presume	presume	0
to	to	pc-acp	to	to	0
recommend	recommend	vvi	recommend	recommend	0
the	the	dt	the	the	0
same	same	d	same	same	0
Method	Method	n1	Method	method	0
my	my	po11	my	my	0
Tutor	Tutor	n1	Tutor	tutor	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Ʋniversity	Ʋniversity	n1	Ʋniversity	ʋniversity	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
settle	settle	vvi	settle	settle	0
me	me	pno11	me	i	0
firm	firm	j	firm	firm	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Protestant	Protestant	n1	Protestant	protestant	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
conver	conver	av	conver	conver	0
∣	∣	sy	∣	∣	0
sant	sant	zz	sant	sant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Homilies	Homilies	n2	Homilies	homily	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
39	39	crd	39	39	0
Articles	Articles	n2	Articles	article	0
,	,	,	,	,	0
and	and	cc	and	and	0
Rogers	Rogers	np1	Rogers	Rogers	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
withal	withal	av	withal	withal	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beg	beg	vvb	beg	beg	0
your	your	po22	your	your	0
Lordship's	Lordship's	ng1	Lordship's	lordship	0
favour	favour	n1	favour	favour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
intended	intended	vvd	intended	intend	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
holiness	holiness	n1	holiness	holiness	0
and	and	cc	and	and	0
meekness	meekness	n1	meekness	meekness	0
of	of	pp-f	of	of	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
desired	desired	vvn	desired	desire	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
(	(	(	(	(	0
had	had	vhd	had	have	0
he	he	pns31	he	he	0
not	not	xx	not	not	0
gone	gone	vvn	gone	go	0
beyond	beyond	p-acp	beyond	beyond	0
Sea	Sea	n1	Sea	sea	0
)	)	)	)	)	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
short	short	j	short	short	0
Tra	Tra	np1	Tra	Tra	0
∣	∣	sy	∣	∣	0
ctate	ctate	vvi	ctate	ctate	0
,	,	,	,	,	0
made	made	vvd	made	make	0
publick	publick	j	public	public	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
officiated	officiated	vvn	officiated	officiate	0
sometimes	sometimes	av	sometime	sometime	0
as	as	p-acp	as	as	0
Chap	Chap	n1	Chap	chap	0
∣	∣	sy	∣	∣	0
lain	lain	vvn	lain	lie	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Family	Family	n1	Family	family	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
truly	truly	av-j	truly	true	0
devoted	devoted	vvn	devoted	devote	0
and	and	cc	and	and	0
well-wishing	well-wishing	j	wellwishing	wellwishing	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
vant	vant	n1	vant	vaunt	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
religious	religious	j	religious	religious	0
Consort	Consort	n1	Consort	consort	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
your	your	po22	your	your	0
renouned	renouned	vvn	renowned	renown	0
Relations	Relations	n2	Relations	relation	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	1
