BY	BY	p-acp	BY	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
singular	singular	j	singular	singular	0
observation	observation	n1	observation	observation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
O	O	sy	O	o	0
most	most	av-ds	most	most	0
Christian	Christian	njp	Christian	christian	0
and	and	cc	and	and	0
Victorious	Victorious	j	Victorious	victorious	0
King	King	n1	King	king	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
my	my	po11	my	my	0
Face	Face	n1	Face	face	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
cloudy	cloudy	j	cloudy	cloudy	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	n1	while	while	0
,	,	,	,	,	0
did	did	vdd	did	do	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
immeasurable	immeasurable	j	immeasurable	immeasurable	0
Majesty	Majesty	n1	Majesty	majesty	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
ever	ever	av	ever	ever	0
since	since	c-acp	since	since	0
perpetually	perpetually	av-j	perpetually	perpetual	0
dazled	dazled	vvn	dazzled	dazzle	0
,	,	,	,	,	0
continually	continually	av-j	continually	continual	0
honouring	honouring	vvg	honouring	honour	0
and	and	cc	and	and	0
worshipping	worshipping	vvg	worshipping	worship	0
that	that	d	that	that	0
day	day	n1	day	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
presented	presented	vvd	presented	present	0
my	my	po11	my	my	0
self	self	n1	self	self	0
before	before	p-acp	before	before	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
before	before	p-acp	before	before	0
a	a	dt	a	a	0
singular	singular	j	singular	singular	0
humane	humane	j	humane	humane	0
Majesty	Majesty	n1	Majesty	majesty	0
;	;	;	;	;	0
now	now	av	now	now	0
seeking	seeking	vvg	seeking	seek	0
after	after	p-acp	after	after	0
some	some	d	some	some	0
oc	oc	n1	oc	oc	0
∣	∣	sy	∣	∣	0
casion	casion	n1	casion	casion	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
make	make	vvi	make	make	0
appear	appear	vvi	appear	appear	0
the	the	dt	the	the	0
goodness	goodness	n1	goodness	goodness	0
and	and	cc	and	and	0
sincerity	sincerity	n1	sincerity	sincerity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
extend	extend	vvb	extend	extend	0
