THOMAS	THOMAS	np1	THOMAS	Thomas	0
NEESHAM	NEESHAM	np1	NEESHAM	NEESHAM	0
,	,	,	,	,	0
Clerk	Clerk	n1	Clerk	clerk	0
▪	▪	▪	▪	▪	0
Devoteth	Devoteth	vvz	Devoteth	devote	0
himselfe	himselfe	px31	himself	himself	0
;	;	;	;	;	0
Dedicateth	Dedicateth	vvz	Dedicateth	dedicate	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
wisheth	wisheth	vvz	wishes	wish	0
all	all	d	all	all	0
health	health	n1	health	health	0
and	and	cc	and	and	0
happinesse	happinesse	n1	happiness	happiness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
and	and	cc	and	and	0
the	the	dt	the	the	0
next	next	ord	next	next	0
.	.	.	.	.	1
MADAM	MADAM	n1	MADAM	madam	0
.	.	.	.	.	1
YOur	YOur	po22	YOur	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
hath	hath	vhz	hath	have	0
lost	lost	vvn	lost	lose	0
a	a	dt	a	a	0
Hus	Hus	zz	Hus	hus	0
∣	∣	sy	∣	∣	0
band	band	n1	band	band	0
,	,	,	,	,	0
and	and	cc	and	and	0
laments	laments	vvz	laments	lament	0
him	him	pno31	him	he	0
;	;	;	;	;	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
self	self	n1	self	self	0
likewise	likewise	av	likewise	likewise	0
have	have	vhb	have	have	0
lost	lost	vvn	lost	lose	0
a	a	dt	a	a	0
Pation	Pation	n1	Pation	pation	0
,	,	,	,	,	0
and	and	cc	and	and	0
lament	lament	vvi	lament	lament	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
wish	wish	vvi	wish	wish	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
finde	finde	vvi	find	find	0
ease	ease	n1	ease	ease	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
grief	grief	n1	grief	grief	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhi	have	have	0
your	your	po22	your	your	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
mitigated	mitigated	vvn	mitigated	mitigate	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
bearing	bearing	j-vvg	bearing	bear	0
part	part	n1	part	part	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hapily	hapily	av-j	happily	happy	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
reason	reason	n1	reason	reason	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
else	else	av	else	else	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
lesse	lesse	dc	less	less	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
devided	devided	vvn	divided	divide	0
and	and	cc	and	and	0
shared	shared	vvn	shared	share	0
amongst	amongst	p-acp	among	among	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
not	not	xx	not	not	0
your	your	po22	your	your	0
griefe	griefe	n1	grief	grief	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
my	my	po11	my	my	0
self	self	n1	self	self	0
but	but	p-acp	but	but	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
share	share	vvi	share	share	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
?	?	?	?	?	1
To	To	p-acp	To	to	0
sorrow	sorrow	n1	sorrow	sorrow	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
naturall	naturall	j	natural	natural	0
as	as	c-acp	as	as	0
death	death	n1	death	death	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
wee	wee	pns12	we	we	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
,	,	,	,	,	0
