THere	THere	a-acp	THere	there	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
solemn	solemn	j	solemn	solemn	0
Vow	Vow	vvb	Vow	vow	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
Gods	Gods	npg1	Gods	God	0
holy	holy	j	holy	holy	0
Will	Will	n1	Will	will	0
and	and	cc	and	and	0
Commandments	Commandments	n2	Commandments	commandment	0
;	;	;	;	;	0
it's	it's	pn31|vbz	it's	it|be	0
as	as	p-acp	as	as	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
honest	honest	j	honest	honest	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
falsifie	falsifie	vvi	falsify	falsify	0
or	or	cc	or	or	0
break	break	vvi	break	break	0
your	your	po22	your	your	0
word	word	n1	word	word	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
an	an	dt	and	a	0
help	help	n1	help	help	0
therefore	therefore	av	therefore	therefore	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
capacities	capacities	n2	capacities	capacity	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
bu	bu	zz	bu	bu	0
∣	∣	sy	∣	∣	0
siness	siness	n1	siness	siness	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
drawn	drawn	vvn	drawn	draw	0
up	up	a-acp	up	up	0
an	an	dt	and	a	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
position	position	n1	position	position	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ten	Ten	crd	Ten	ten	0
Commandments	Commandments	n2	Commandments	commandment	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
plain	plain	j	plain	plain	0
and	and	cc	and	and	0
familiar	familiar	j-jn	familiar	familiar	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Questions	Questions	n2	Questions	question	0
and	and	cc	and	and	0
Answers	Answers	n2	Answers	answer	0
:	:	:	:	:	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
what	what	r-crq	what	what	0
other	other	j-jn	other	other	0
course	course	n1	course	course	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
general	general	j	general	general	0
use	use	n1	use	use	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Ignorant	Ignorant	j	Ignorant	ignorant	0
can	can	vmb	can	can	0
reap	reap	vvi	reap	reap	0
little	little	j	little	little	0
benefit	benefit	n1	benefit	benefit	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
purposely	purposely	av	purposely	purposely	0
contrived	contrived	vvn	contrived	contrive	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pitch	pitch	n1	pitch	pitch	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
derstanding	derstanding	n1	derstanding	derstanding	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
serve	serve	vvi	serve	serve	0
himself	himself	px31	himself	himself	0
very	very	av	very	very	0
much	much	av-d	much	much	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
writ	writ	vvn	writ	write	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
people	people	n1	people	people	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
the	the	dt	the	the	0
plainer	plainer	jc	plainer	plain	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
common	common	j	common	common	0
any	any	d	any	any	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
is	is	vbz	is	be	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
weight	weight	n1	weight	weight	0
and	and	cc	and	and	0
moment	moment	n1	moment	moment	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
find	find	vvi	find	find	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
every	every	d	every	every	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
me	me	pno11	me	i	0
