Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Know	Know	vvb	Know	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
but	but	cc-acp	but	but	0
revive	revive	vvi	revive	revive	0
your	your	po22	your	your	0
grief	grief	n1	grief	grief	0
by	by	p-acp	by	by	0
sending	sending	vvg	sending	send	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
trouble	trouble	n1	trouble	trouble	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
drawn	drawn	vvn	drawn	draw	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
desiring	desiring	vvg	desiring	desire	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
heard	heard	vvd	herd	hear	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
meet	meet	j	meet	meet	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
resist	resist	vvi	resist	resist	0
your	your	po22	your	your	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
used	used	vvd	used	use	0
to	to	pc-acp	to	to	0
deny	deny	vvi	deny	deny	0
you	you	pn22	you	you	0
nothing	nothing	pix	nothing	nothing	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
obtained	obtained	vvn	obtained	obtain	0
leisure	leisure	n1	leisure	leisure	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
considered	considered	vvn	considered	consider	0
these	these	d	these	these	0
things	things	n2	things	thing	0
over	over	a-acp	over	over	0
again	again	av	again	again	0
more	more	av-dc	more	more	0
