Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
most	most	av-ds	most	most	0
Humble	Humble	j	Humble	humble	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
Faithful	Faithful	j	Faithful	faithful	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Obedient	Obedient	j	Obedient	obedient	0
Subjects	Subjects	n2-jn	Subject's	subject	0
and	and	cc	and	and	0
Servants	Servants	n2	Servants	servant	0
.	.	.	.	.	1
Signed	Signed	np1	Signed	Signed	0
by	by	p-acp	by	by	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Ar	Ar	vbr	are	be	0
Bp	Bp	j	Bp	bp	0
of	of	pp-f	of	of	0
St.	St.	n1	St.	saint	0
Andrws	Andrws	np1	Andrws	Andrws	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
Glascw	Glascw	n1	Glascw	glascw	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Edinburg	Edinburg	np1	Edinburg	Edinburg	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Galloway	Galloway	np1	Galloway	Galloway	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Aberdeen	Aberdeen	np1	Aberdeen	Aberdeen	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Dunkell	Dunkell	np1	Dunkell	Dunkell	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Brechen	Brechen	fw-ge	Brechen	brechen	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Orkney	Orkney	np1	Orkney	Orkney	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Murray	Murray	np1	Murray	Murray	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Ross.	Ross.	np1	Ross.	Ross.	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Dumblane	Dumblane	np1	Dumblane	Dumblane	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Istes	Istes	n2	Istes	iste	0
.	.	.	.	.	1
