Honored	Honored	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
great	great	j	great	great	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
World	World	n1	World	world	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
man	man	n1	man	man	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
terest	terest	n1	terest	terest	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
glorifie	glorifie	vvi	glorify	glorify	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
provided	provided	vvn	provided	provide	0
the	the	dt	the	the	0
Touch-stone	Touch-stone	n1	Touchstone	touchstone	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
to	to	pc-acp	to	to	0
try	try	vvi	try	try	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Balance	Balance	n1	Balance	balance	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
works	works	n2	works	work	0
to	to	pc-acp	to	to	0
weigh	weigh	vvi	weigh	weigh	0
our	our	po12	our	our	0
Lives	Lives	n2	Lives	life	0
in	in	p-acp	in	in	0
:	:	:	:	:	0
So	So	av	So	so	0
much	much	d	much	much	0
strength	strength	n1	strength	strength	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
temptation	temptation	n1	temptation	temptation	0
,	,	,	,	,	0
so	so	av	so	so	0
strong	strong	j	strong	strong	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
;	;	;	;	;	0
and	and	cc	and	and	0
since	since	c-acp	since	since	0
Temptation	Temptation	n1	Temptation	temptation	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Probation	Probation	n1	Probation	probation	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
bless	bless	vvi	bless	bless	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
support	support	n1	support	support	0
under	under	p-acp	under	under	0
Try	Try	vvb	Try	try	0
∣	∣	sy	∣	∣	0
als	als	av	also	also	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
deliverance	deliverance	n1	deliverance	deliverance	0
from	from	p-acp	from	from	0
try	try	vvi	try	try	0
∣	∣	sy	∣	∣	0
als	als	av	also	also	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
,	,	,	,	,	0
Satan	Satan	np1	Satan	Satan	0
hath	hath	vhz	hath	have	0
his	his	po31	his	his	0
Sieve	Sieve	n1	Sieve	sieve	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
aim	aim	n1	aim	aim	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
seperate	seperate	vvi	separate	separate	0
the	the	dt	the	the	0
Wheat	Wheat	n1	Wheat	wheat	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Chaff	Chaff	n1	Chaff	chaff	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Graces	Graces	n2	Graces	grace	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
his	his	po31	his	his	0
Fan	Fan	vvb	Fan	fan	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
design	design	n1	design	design	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
seperate	seperate	vvi	separate	separate	0
the	the	dt	the	the	0
Chaff	Chaff	n1	Chaff	chaff	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Wheat	Wheat	n1	Wheat	wheat	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Graces	Graces	n2	Graces	grace	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sins	sins	n2	sins	sin	0
.	.	.	.	.	1
I	I	pns11	I	i	0
must	must	vmb	must	must	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
,	,	,	,	,	0
That	That	cst	That	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
lately	lately	av-j	lately	late	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
a	a	dt	a	a	0
bitter	bitter	j	bitter	bitter	0
Cup	Cup	n1	Cup	cup	0
to	to	pc-acp	to	to	0
drink	drink	vvi	drink	drink	0
off	off	a-acp	off	off	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
decease	decease	n1	decease	decease	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Vertuous	Vertuous	j	Virtuous	virtuous	0
and	and	cc	and	and	0
Beloved	Beloved	j-vvn	Beloved	belove	0
Consort	Consort	n1	Consort	consort	0
)	)	)	)	)	0
onely	onely	av-j	only	only	0
this	this	d	this	this	0
I	I	pns11	I	i	0
presume	presume	vvb	presume	presume	0
doth	doth	vdz	does	do	0
support	support	vvi	support	support	0
you	you	pn22	you	you	0
,	,	,	,	,	0
That	That	cst	That	that	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
are	are	vbr	are	be	0
opened	opened	vvn	opened	open	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Fathers	Fathers	ng1	Father's	father	0
mingling	mingling	vvg	mingling	mingle	0
:	:	:	:	:	0
This	This	d	This	this	0
affliction	affliction	n1	affliction	affliction	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sharp	sharp	j	sharp	sharp	0
Arrow	Arrow	n1	Arrow	arrow	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
shot	shot	vvn	shot	shoot	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
ama	ama	fw-la	ama	ama	0
∣	∣	sy	∣	∣	0
ra	ra	uh	ra	ra	0
sagitta	sagitta	uh	sagitta	sagitta	0
,	,	,	,	,	0
ex	ex	fw-la	ex	ex	0
dulci	dulci	fw-la	dulci	dulci	0
manu	manu	fw-la	manu	manu	0
Dei	Dei	fw-la	Dei	dei	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
speaks	speaks	vvz	speaks	speak	0
)	)	)	)	)	0
How	How	q-crq	How	how	0
excellent	excellent	j	excellent	excellent	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
Gods	Gods	npg1	Gods	God	0
Rod	Rod	n1	Rod	rod	0
is	is	vbz	is	be	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
backs	backs	n2	backs	back	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
mouthes	mouthes	n2	mouths	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
mur	mur	vvi	mur	mur	0
∣	∣	sy	∣	∣	0
mur	mur	n1	mur	mur	0
?	?	?	?	?	1
While	While	n1	While	while	0
unbelief	unbelief	n1	unbelief	unbelief	0
commenceth	commenceth	vvz	commenceth	commence	0
an	an	dt	and	a	0
Action	Action	n1	Actium	action	0
against	against	p-acp	against	against	0
,	,	,	,	,	0
and	and	cc	and	and	0
complains	complains	vvz	complains	complain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heavy	heavy	j	heavy	heavy	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
complain	complain	vvi	complain	complain	0
rather	rather	av	rather	rather	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
own	own	d	own	own	0
evil	evil	j-jn	evil	evil	0
hearts	hearts	n2	hearts	heart	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
?	?	?	?	?	1
Your	Your	po22	Your	your	0
experience	experience	n1	experience	experience	0
(	(	(	(	(	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
Gods	Gods	npg1	Gods	God	0
School	School	n1	School	school	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
quainted	quainted	j-vvn-u	quainted	quaint	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Equity	Equity	n1	Equity	equity	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Discipline	Discipline	n1	Discipline	discipline	0
and	and	cc	and	and	0
Pedagogy	Pedagogy	n1	Pedagogy	pedagogy	0
.	.	.	.	.	1
Oh!	Oh!	uh	Oh!	oh	0
What	What	q-crq	What	what	0
an	an	dt	and	a	0
advantage	advantage	n1	advantage	advantage	0
have	have	vhb	have	have	0
we	we	pns12	we	we	0
over	over	p-acp	over	over	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
the	the	dt	the	the	0
intent	intent	n1	intent	intent	0
,	,	,	,	,	0
and	and	cc	and	and	0
and	and	cc	and	and	0
possess	possess	vvi	possess	possess	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
Cross	Cross	n1	Cross	cross	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
see	see	vvi	see	see	0
our	our	po12	our	our	0
Lashes	Lashes	n2	Lashes	lash	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
Lessons	Lessons	n2	Lessons	lesson	0
,	,	,	,	,	0
our	our	po12	our	our	0
Corrections	Corrections	n2	Corrections	correction	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
In	In	n1	In	inn	0
∣	∣	sy	∣	∣	0
structions	structions	n2	structions	struction	0
,	,	,	,	,	0
our	our	po12	our	our	0
Crosses	Crosses	n2	Crosses	cross	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Ex	Ex	fw-la	Ex	ex	0
∣	∣	sy	∣	∣	0
ecutioners	ecutioners	n2	ecutioners	ecutioner	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Corruptions	Corruptions	n2	Corruptions	corruption	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Prayer	Prayer	n1	Prayer	prayer	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
said	said	vvd	said	say	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
desire	desire	vvi	desire	desire	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Burthen	Burthen	n1	Burden	burden	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
strong	strong	j	strong	strong	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
shoulders	shoulders	n2	shoulders	shoulder	0
to	to	pc-acp	to	to	0
bear	bear	vvi	bear	bear	0
it	it	pn31	it	it	0
:	:	:	:	:	0
