As	As	p-acp	As	as	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
Marqss	Marqss	n1	Marqss	marqss	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
Worcester	Worcester	np1	Worcester	Worcester	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Shrewsbury	Shrewsbury	np1	Shrewsbury	Shrewsbury	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Mulgrave	Mulgrave	np1	Mulgrave	Mulgrave	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Berkley	Berkley	np1	Berkley	Berkley	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
,	,	,	,	,	0
and	and	cc	and	and	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
,	,	,	,	,	0
Sr.	Sr.	n1	Sr.	sir	0
Jonathan	Jonathan	np1	Jonathan	Jonathan	0
Raymond	Raymond	np1	Raymond	Raymond	0
,	,	,	,	,	0
Sr.	Sr.	n1	Sr.	sir	0
Simon	Simon	np1	Simon	Simon	0
Lewis	Lewis	np1	Lewis	Lewis	0
,	,	,	,	,	0
Sr.	Sr.	n1	Sr.	sir	0
Benjamin	Benjamin	np1	Benjamin	Benjamin	0
Newland	Newland	np1	Newland	Newland	0
,	,	,	,	,	0
Capt.	Capt.	np1	Capt.	Capt.	1
Benjamin	Benjamin	np1	Benjamin	Benjamin	0
Harvey	Harvey	np1	Harvey	Harvey	0
,	,	,	,	,	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Assistants	Assistants	n2	Assistants	assistant	0
,	,	,	,	,	0
Field-Officers	Field-Officers	n2	Field-Officers	field-officer	0
,	,	,	,	,	0
Captains	Captains	n2	Captains	captain	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
professing	professing	vvg	professing	profess	0
and	and	cc	and	and	0
exercising	exercising	vvg	exercising	exercise	0
Arms	Arms	n2	Arms	arm	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Renowned	Renowned	j-vvn	Renowned	renown	0
and	and	cc	and	and	0
Honourable	Honourable	j	Honourable	honourable	0
Society	Society	n1	Society	society	0
.	.	.	.	.	1
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
THE	THE	dt	THE	the	0
design	design	n1	design	design	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
wipe	wipe	vvi	wipe	wipe	0
off	off	a-acp	off	off	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
