Heroick	Heroick	j	Heroic	heroic	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
present	present	j	present	present	0
affairs	affairs	n2	affairs	affair	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
are	are	vbr	are	be	0
,	,	,	,	,	0
so	so	av	so	so	0
providentially	providentially	av-j	providentially	providential	0
managed	managed	vvn	managed	manage	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
;	;	;	;	;	0
so	so	av	so	so	0
prudentially	prudentially	av-j	prudentially	prudential	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
You	You	pn22	You	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
happily	happily	av-j	happily	happy	0
—	—	—	—	—	0
opportunely	opportunely	av-j	opportunely	opportune	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
building	building	n-vvg	building	build	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ruins	Ruins	n2	Ruins	ruin	0
;	;	;	;	;	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
pairing	pairing	vvg	pairing	pair	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Breaches	Breaches	n2	Breaches	breach	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
State	State	n1	State	state	0
:	:	:	:	:	0
that	that	cst	that	that	0
,	,	,	,	,	0
the	the	dt	the	the	0
Factionist	Factionist	np1	Factionist	Factionist	0
,	,	,	,	,	0
malignes	malignes	n2	malignes	maligne	0
;	;	;	;	;	0
the	the	dt	the	the	0
Temporist	Temporist	n1	Temporist	temporist	0
,	,	,	,	,	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
mires	mires	n2	mires	mire	0
;	;	;	;	;	0
and	and	cc	and	and	0
Royallist	Royallist	n1	Royalist	royalist	0
,	,	,	,	,	0
congratulates	congratulates	vvz	congratulates	congratulate	0
;	;	;	;	;	0
so	so	av	so	so	0
hopeful	hopeful	j	hopeful	hopeful	0
a	a	dt	a	a	0
beginning	beginning	n1	beginning	beginning	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
then	then	av	then	then	0
displease	displease	vvi	displease	displease	0
(	(	(	(	(	0
my	my	po11	my	my	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
if	if	cs	if	if	0
now	now	av	now	now	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
poor	poor	j	poor	poor	0
grateful	grateful	j	grateful	grateful	0
Royallists	Royallists	n2	Royalists	royalist	0
;	;	;	;	;	0
hath	hath	vhz	hath	have	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
spring	spring	n1	spring	spring	0
of	of	pp-f	of	of	0
hope	hope	n1	hope	hope	0
)	)	)	)	)	0
so	so	av	so	so	0
cheerful	cheerful	j	cheerful	cheerful	0
a	a	dt	a	a	0
boldness	boldness	n1	boldness	boldness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Patronize	Patronize	vvi	Patronise	patronize	0
this	this	d	this	this	0
Peece	Peece	n1	Piece	piece	0
.	.	.	.	.	1
This	This	d	This	this	0
Peece	Peece	n1	Piece	piece	0
(	(	(	(	(	0
I	I	pns11	I	i	0
confess	confess	vvb	confess	confess	0
)	)	)	)	)	0
is	is	vbz	is	be	0
Theatrical	Theatrical	j	Theatrical	theatrical	0
,	,	,	,	,	0
New	New	j	New	new	0
,	,	,	,	,	0
and	and	cc	and	and	0
Strange	Strange	j	Strange	strange	0
;	;	;	;	;	0
Strange	Strange	j	Strange	strange	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
Pertinent	Pertinent	j	Pertinent	pertinent	0
;	;	;	;	;	0
New	New	j	New	new	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
Serious	Serious	j	Serious	serious	0
;	;	;	;	;	0
and	and	cc	and	and	0
Theatrical	Theatrical	j	Theatrical	theatrical	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
Sacred	Sacred	j	Sacred	sacred	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
in	in	p-acp	in	in	0
This	This	d	This	this	0
,	,	,	,	,	0
either	either	d	either	either	0
singular	singular	j	singular	singular	0
,	,	,	,	,	0
or	or	cc	or	or	0
affected	affected	vvn	affected	affect	0
;	;	;	;	;	0
while	while	cs	while	while	0
Apollinarius	Apollinarius	np1	Apollinarius	Apollinarius	0
and	and	cc	and	and	0
Nazianzen	Nazianzen	np1	Nazianzen	Nazianzen	0
(	(	(	(	(	0
two	two	crd	two	two	0
antient	antient	n1	ancient	ancient	0
Fathers	Fathers	n2	Father's	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Primitive	Primitive	j	Primitive	primitive	0
Church	Church	n1	Church	church	0
)	)	)	)	)	0
are	are	vbr	are	be	0
known	known	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
exemplary	exemplary	j	exemplary	exemplary	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
very	very	j	very	very	0
way	way	n1	way	way	0
.	.	.	.	.	1
The	The	dt	The	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
well-tun'd	well-tun'd	j	well-tuned	well-tuned	0
Put	Put	vvb	Put	put	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
Palm	Palm	n1	Palm	palm	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Psalm	Psalm	n1	Psalm	psalm	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
chant	chant	vvi	chant	chant	0
an	an	dt	and	a	0
Hosan	Hosan	np1	Hosan	Hosan	0
∣	∣	sy	∣	∣	0
na	na	uh	nam	na	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
Reception	Reception	n1	Reception	reception	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
joyful	joyful	j	joyful	joyful	0
Stage	Stage	n1	Stage	stage	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
play	play	vvi	play	play	0
the	the	dt	the	the	0
devout	devout	j	devout	devout	0
Comaedian	Comaedian	n1	Comedian	comedian	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
new	new	j	new	new	0
Triumphal	Triumphal	j	Triumphal	triumphal	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
court	court	vvi	court	court	0
the	the	dt	the	the	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Disloyall	Disloyall	j	Disloyal	disloyal	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
the	the	dt	the	the	0
Stage	Stage	n1	Stage	stage	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
true	true	j	true	true	0
reflection	reflection	n1	reflection	reflection	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
the	the	dt	the	the	0
radiancy	radiancy	n1	radiancy	radiancy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
divine	divine	j-jn	divine	divine	0
zeal	zeal	n1	zeal	zeal	0
)	)	)	)	)	0
so	so	av	so	so	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
congruous	congruous	j	congruous	congruous	0
Divinity	Divinity	n1	Divinity	divinity	0
)	)	)	)	)	0
render	render	vvb	render	render	0
Corah	Corah	np1	Corah	Corah	0
(	(	(	(	(	0
notwith	notwith	av	notwith	notwith	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
Plea	Plea	n1	Plea	plea	0
)	)	)	)	)	0
Rebellious	Rebellious	j	Rebellious	rebellious	0
:	:	:	:	:	0
and	and	cc	and	and	0
Treason	Treason	n1	Treason	treason	0
(	(	(	(	(	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
Garnet's	Garnet's	npg1	Garnet's	garnet	0
Straw	Straw	n1	Straw	straw	0
,	,	,	,	,	0
and	and	cc	and	and	0
Becket's	Becket's	ng1	Becket's	becket	0
Canonization	Canonization	n1	Canonization	canonization	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Abstract	Abstract	n-jn	Abstract	abstract	0
,	,	,	,	,	0
hateful	hateful	j	hateful	hateful	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
man	man	n1	man	man	0
.	.	.	.	.	1
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
Allegience	Allegience	n1	Allegience	allegience	0
,	,	,	,	,	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
wings	wings	n2	wings	wing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soul	soul	n1	soul	soul	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
mount	mount	vvi	mount	mount	0
her	her	pno31	her	she	0
unto	unto	p-acp	unto	unto	0
Heaven	Heaven	n1	Heaven	heaven	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
present	present	j	present	present	0
Masque	Masque	n1	Masque	masque	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
the	the	dt	the	the	0
Beauty	Beauty	n1	Beauty	beauty	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
fair	fair	j	fair	fair	0
an	an	dt	and	a	0
Allegati	Allegati	n1	Allegati	allegati	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
attest	attest	vvi	attest	attest	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
my	my	po11	my	my	0
utter	utter	j	utter	utter	0
abhor	abhor	vvb	abhor	abhor	0
∣	∣	sy	∣	∣	0
rency	rency	n1	rency	rency	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
least	least	ds	least	least	0
Confederation	Confederation	np1	Confederation	Confederation	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Higher	Higher	jc	Higher	high	0
Powers	Powers	n2	Powers	power	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
Sir	Sir	n1	Sir	sir	0
!	!	!	!	!	0
may	may	vmb	may	may	0
the	the	dt	the	the	0
Higher	Higher	jc	Higher	high	0
Powers	Powers	n2	Powers	power	0
be	be	vbb	be	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
safe	safe	j	safe	safe	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sacred	sacred	j	sacred	sacred	0
:	:	:	:	:	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
That	That	cst	That	that	0
SaCRed	SaCRed	j	SaCRed	sacred	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
whose	whose	rg-crq	whose	who	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
God	God	np1	God	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
;	;	;	;	;	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Descent	Descent	n1	Descent	descent	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Right	Right	n-jn	Right	right	0
;	;	;	;	;	0
have	have	vhb	have	have	0
successively	successively	av-j	successively	successive	0
given	given	vvn	given	give	0
the	the	dt	the	the	0
Globe	Globe	n1	Globe	globe	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Scepter	Scepter	n1	Sceptre	sceptre	0
:	:	:	:	:	0
may	may	vmb	may	may	0
,	,	,	,	,	0
He	He	pns31	He	he	0
,	,	,	,	,	0
—	—	—	—	—	0
ah	ah	uh	ah	ah	0
may	may	vmb	may	may	0
He	He	pns31	He	he	0
