Dedicated	Dedicated	vvn	Dedicated	dedicate	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
worthy	worthy	j	worthy	worthy	0
and	and	cc	and	and	0
valiant	valiant	j	valiant	valiant	0
Souldier	Souldier	n1	Soldier	soldier	0
,	,	,	,	,	0
Captain	Captain	n1	Captain	captain	0
Iames	Iames	np1	Iames	Iames	0
Scot	Scot	np1	Scot	Scot	0
,	,	,	,	,	0
a	a	dt	a	a	0
Brigadier	Brigadier	np1	Brigadier	Brigadier	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Life-guard	Life-guard	n1	Lifeguard	lifeguard	0
,	,	,	,	,	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Wal	Wal	n1	Wall	wall	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Robert	Robert	np1	Robert	Robert	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Walter	Walter	np1	Walter	Walter	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Robert	Robert	np1	Robert	Robert	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Adam	Adam	np1	Adam	Adam	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
.	.	.	.	.	1
