GENTLEMEN	GENTLEMEN	np1	GENTLEMEN	Gentlemen	0
,	,	,	,	,	0
AFter	AFter	p-acp	AFter	after	0
so	so	av	so	so	0
much	much	d	much	much	0
Pains	Pains	n2	Pains	pain	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
much	much	d	much	much	0
Good	Good	j	Good	good	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Blessing	Blessing	n1	Blessing	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
Endeavours	Endeavours	n2	Endeavours	endeavour	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
esteem	esteem	vvb	esteem	esteem	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
happiness	happiness	n1	happiness	happiness	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
a	a	dt	a	a	0
Member	Member	n1	Member	member	0
,	,	,	,	,	0
may	may	vmb	may	may	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
permitted	permitted	vvn	permitted	permit	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
private	private	j	private	private	0
and	and	cc	and	and	0
obscure	obscure	j	obscure	obscure	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
return	return	vvi	return	return	0
you	you	pn22	you	you	0
this	this	d	this	this	0
small	small	j	small	small	0
Tribute	Tribute	n1	Tribute	tribute	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
acknowledgment	acknowledgment	n1	acknowledgment	acknowledgement	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Sense	Sense	n1	Sense	sense	0
which	which	r-crq	which	which	0
not	not	xx	not	not	0
my	my	po11	my	my	0
self	self	n1	self	self	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
say	say	vvb	say	say	0
every	every	d	every	every	0
single	single	j	single	single	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Communion	Communion	n1	Communion	communion	0
has	has	vhz	has	have	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
we	we	pns12	we	we	0
all	all	d	all	all	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Learning	Learning	n1	Learning	learning	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Inte	Inte	n1	Inte	inte	0
∣	∣	sy	∣	∣	0
grity	grity	n1	grity	grity	0
.	.	.	.	.	1
I	I	pns11	I	i	0
