WHen	WHen	c-crq	WHen	when	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Bi	Bi	p-acp	By	by	0
∣	∣	sy	∣	∣	0
shops	shops	n2	shops	shop	0
his	his	po31	his	his	0
Servants	Servants	n2	Servants	servant	0
,	,	,	,	,	0
humbly	humbly	av-j	humbly	humble	0
moved	moved	vvd	moved	move	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
augmentation	augmentation	n1	augmentation	augmentation	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
means	means	n2	means	mean	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
omitted	omitted	vvn	omitted	omit	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
List	List	n1	List	list	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
man	man	n1	man	man	0
that	that	cst	that	that	0
either	either	d	either	either	0
needed	needed	vvd	needed	need	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
,	,	,	,	,	0
or	or	cc	or	or	0
cared	cared	vvd	cared	care	0
not	not	xx	not	not	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
he	he	pns31	he	he	0
never	never	av-x	never	never	0
moved	moved	vvd	moved	move	0
any	any	d	any	any	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
did	did	vdd	did	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
seek	seek	vvi	seek	seek	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
augmentation	augmentation	n1	augmentation	augmentation	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
Advocate	Advocate	n1	Advocate	advocate	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
add	add	vvi	add	add	0
four	four	crd	four	four	0
hundred	hundred	crd	hundred	hundred	0
pounds	pounds	n2	pounds	pound	0
per	per	fw-la	per	per	0
annum	annum	fw-la	annum	annum	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
augmentation	augmentation	n1	augmentation	augmentation	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
perpetual	perpetual	j	perpetual	perpetual	0
Obligation	Obligation	n1	Obligation	obligation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
and	and	cc	and	and	0
