Elect	Elect	j-vvn	Elect	elect	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
YOur	YOur	po22	YOur	your	0
dayly	dayly	j	daily	daily	0
Orator	Orator	n1	Orator	orator	0
,	,	,	,	,	0
that	that	cst	that	that	0
formerly	formerly	av-j	formerly	former	0
hath	hath	vhz	hath	have	0
written	written	vvn	written	write	0
Books	Books	n2	Books	book	0
and	and	cc	and	and	0
Epistles	Epistles	n2	Epistles	epistle	0
to	to	p-acp	to	to	0
mighty	mighty	j	mighty	mighty	0
Kings	Kings	n2	Kings	king	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nourable	nourable	j	nourable	nourable	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
now	now	av	now	now	0
beg	beg	vvi	beg	beg	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
these	these	d	these	these	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
suing	suing	n-vvg	suing	sue	0
Sermons	Sermons	n2	Sermons	sermon	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Gra	Gra	uh	Gram	gra	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
view	view	vvi	view	view	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
many	many	d	many	many	0
Scho	Scho	np1	Scho	Scho	0
∣	∣	sy	∣	∣	0
lers	lers	fw-fr	lers	lers	0
expecting	expecting	vvg	expecting	expect	0
their	their	po32	their	their	0
preferment	preferment	n1	preferment	preferment	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
wanting	wanting	vvg	wanting	want	0
to	to	pc-acp	to	to	0
express	express	vvi	express	express	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
Acts	Acts	n2	Acts	act	0
,	,	,	,	,	0
unparaleld	unparaleld	j	unparaleld	unparalleled	0
Fi	Fi	np1	Fi	Fi	0
∣	∣	sy	∣	∣	0
delity	delity	n1	delity	delity	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
justly	justly	av-j	justly	just	0
deserved	deserved	vvd	deserved	deserve	0
Honours	Honours	ng1	Honours	honour	0
and	and	cc	and	and	0
Praises	Praises	n2	Praises	praise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thrice	thrice	av	thrice	thrice	0
honourable	honourable	j	honourable	honourable	0
your	your	po22	your	your	0
dear	dear	j-jn	dear	dear	0
Hus	Hus	zz	Hus	hus	0
∣	∣	sy	∣	∣	0
band	band	n1	band	band	0
,	,	,	,	,	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Ormond's	Ormond's	npg1	Ormond's	ormond	0
Grace	Grace	n1	Grace	grace	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
age	age	n1	age	age	0
bids	bids	vvz	bids	bid	0
me	me	pno11	me	i	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pect	pect	n1	pect	pect	0
my	my	po11	my	my	0
dissolution	dissolution	n1	dissolution	dissolution	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
worldly	worldly	j	worldly	worldly	0
promotion	promotion	n1	promotion	promotion	0
:	:	:	:	:	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
onely	onely	av-j	only	only	0
challengeth	challengeth	vvz	challengeth	challenge	0
that	that	cst	that	that	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sumption	sumption	n1	sumption	sumption	0
to	to	p-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
these	these	d	these	these	0
few	few	d	few	few	0
Sermons	Sermons	n2	Sermons	sermon	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
view	view	n1	view	view	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
use	use	vvb	use	use	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
beg	beg	vvi	beg	beg	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
patronage	patronage	n1	patronage	patronage	0
or	or	cc	or	or	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
said	said	vvn	said	say	0
therein	therein	av	therein	therein	0
;	;	;	;	;	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
good	good	j	good	good	0
will	will	vmb	will	will	0
justifie	justifie	vvi	justify	justify	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
amiss	amiss	av	amiss	amiss	0
,	,	,	,	,	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
justly	justly	av-j	justly	just	0
blamed	blamed	vvn	blamed	blame	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
protect	protect	vvi	protect	protect	0
it	it	pn31	it	it	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
world	world	n1	world	world	0
how	how	c-crq	how	how	0
high	high	j	high	high	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
honour	honour	vvi	honour	honour	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
would	would	vmd	would	will	0
needs	needs	av	needs	needs	0
