Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
entertained	entertained	vvn	entertained	entertain	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
Contoversies	Contoversies	n2	Contoversies	contoversy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
unpleasing	unpleasing	j	unpleasing	unpleasing	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
good	good	j	good	good	0
and	and	cc	and	and	0
peaceable	peaceable	j	peaceable	peaceable	0
men	men	n2	men	man	0
,	,	,	,	,	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
1.	1.	crd	1.	1.	1
How	How	c-crq	How	how	0
far	far	av-j	far	far	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Ne	Ne	fw-fr	Ne	ne	0
∣	∣	sy	∣	∣	0
cessary	cessary	j-u	cessary	cessary	0
;	;	;	;	;	0
2.	2.	crd	2.	2.	1
And	And	cc	And	and	0
who	who	q-crq	who	who	0
makes	makes	vvz	makes	make	0
them	them	pno32	them	they	0
so	so	av	so	so	0
.	.	.	.	.	1
This	This	d	This	this	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
work	work	n1	work	work	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
costly	costly	j	costly	costly	0
and	and	cc	and	and	0
bitter	bitter	j	bitter	bitter	0
to	to	p-acp	to	to	0
peaceable	peaceable	j	peaceable	peaceable	0
Authors	Authors	n2	Authors	author	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
forced	forced	vvn	forced	force	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
than	than	cs	than	than	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Readers	Readers	n2	Readers	reader	0
.	.	.	.	.	1
And	And	cc	And	and	0
it's	it's	pn31|vbz	it's	it|be	0
pity	pity	n1	pity	pity	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
1500	1500	crd	1500	1500	0
years	years	n2	years	year	0
be	be	vbb	be	be	0
taken	taken	vvn	taken	take	0
up	up	a-acp	up	up	0
so	so	av	so	so	0
much	much	av-d	much	much	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
work	work	n1	work	work	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
so	so	av	so	so	0
unpleasant	unpleasant	j	unpleasant	unpleasant	0
to	to	p-acp	to	to	0
almost	almost	av	almost	almost	0
all	all	d	all	all	0
