TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Chief	Chief	j-jn	Chief	chief	0
Justice	Justice	n1	Justice	justice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Kings-Bench	Kings-Bench	n1	Kings-Bench	kings-bench	0
;	;	;	;	;	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Chief	Chief	j-jn	Chief	chief	0
Justice	Justice	n1	Justice	justice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Common-Pleas	Common-Pleas	n2	Common-Pleas	common-plea	0
;	;	;	;	;	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Chief	Chief	j-jn	Chief	chief	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Exchequer	Exchequer	n1	Exchequer	exchequer	0
;	;	;	;	;	0
And	And	cc	And	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Justices	Justices	n2	Justices	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
several	several	j	several	several	0
COURTS	COURTS	n2	COURTS	court	0
.	.	.	.	.	1
