SAlomon	SAlomon	np1	SAlomon	SAlomon	0
the	the	dt	the	the	0
peaceable	peaceable	j	peaceable	peaceable	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Israell	Israell	np1	Israell	Israel	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
read	read	vvb	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
thirde	thirde	ord	thirde	third	0
of	of	pp-f	of	of	0
Kynges	Kynges	n2	Kings	king	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
finished	finished	vvn	finished	finish	0
the	the	dt	the	the	0
buildyng	buildyng	n-vvg	building	build	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
Temple	Temple	n1	Temple	temple	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
vij	vij	crd	vij	seven	0
.	.	.	.	.	0
yeares	yeares	n2	years	year	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
)	)	)	)	)	0
made	made	vvd	made	make	0
his	his	po31	his	his	0
petition	petition	n1	petition	petition	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
pray	pray	vvi	pray	pray	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Tem	Tem	n1	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
or	or	cc	or	or	0
turne	turne	vvi	turn	turn	0
theyr	theyr	po32	their	their	0
face	face	n1	face	face	0
toward	toward	p-acp	towards	towards	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
his	his	po31	his	his	0
request	request	n1	request	request	0
was	was	vbds	was	be	0
graūted	graūted	vvn	granted	grant	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
aunswering	aunswering	vvg	answering	answer	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
read	read	vvb	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
booke	booke	n1	book	book	0
.	.	.	.	.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
(	(	(	(	(	0
sayth	sayth	vvz	say	say	0
he	he	pns31	he	he	0
)	)	)	)	)	0
thy	thy	po21	thy	thy	0
prayer	prayer	n1	prayer	prayer	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
sanctified	sanctified	vvn	sanctified	sanctify	0
this	this	d	this	this	0
place	place	n1	place	place	0
.	.	.	.	.	1
&c.	&c.	av	etc.	etc	0
Al	Al	d	All	all	0
∣	∣	sy	∣	∣	0
beit	beit	cs	beit	beit	0
the	the	dt	the	the	0
infinite	infinite	j	infinite	infinite	0
Maiesty	Maiesty	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
compassed	compassed	vvn	compassed	compass	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
materiall	materiall	j-jn	material	material	0
walles	walles	n2	walls	wall	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
so	so	av	so	so	0
pleased	pleased	vvd	pleased	please	0
his	his	po31	his	his	0
goodnesse	goodnesse	n1	goodness	goodness	0
to	to	pc-acp	to	to	0
respect	respect	vvi	respect	respect	0
this	this	d	this	this	0
praier	praier	n1	prayer	prayer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
he	he	pns31	he	he	0
promised	promised	vvd	promised	promise	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
thē	thē	pno32	them	they	0
which	which	r-crq	which	which	0
there	there	pc-acp	there	there	0
prayed	prayed	vvd	prayed	pray	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
replenished	replenished	vvn	replenished	replenish	0
the	the	dt	the	the	0
same	same	d	same	same	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
own	own	d	own	own	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
so	so	av	so	so	0
we	we	pns12	we	we	0
read	read	vvb	read	read	0
again	again	av	again	again	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
book	book	n1	book	book	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
:	:	:	:	:	0
Et	Et	fw-fr	Et	et	0
non	non	fw-fr	non	non	0
poterant	poterant	fw-la	poterant	poterant	0
mini	mini	fw-la	mini	mini	0
∣	∣	sy	∣	∣	0
strare	strare	fw-la	strare	strare	0
propter	propter	fw-la	propter	propter	0
nebulā	nebulā	fw-la	nebulā	nebulā	0
,	,	,	,	,	0
quia	quia	fw-la	quia	quia	0
repleuit	repleuit	fw-la	repleuit	repleuit	0
gloria	gloria	fw-la	gloria	gloria	0
domini	domini	fw-la	domini	domini	0
,	,	,	,	,	0
