DEVOVT	DEVOVT	j	DEVOUT	devout	0
sisters	sisters	n2	sisters	sister	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
deer	deer	n1	deer	deer	0
Cosins	Cosins	n2	Cousin's	cousin	0
.	.	.	.	.	1
Many	Many	av-d	Many	many	0
yeares	yeares	n2	years	year	0
haue	haue	vhb	have	have	0
passed	passed	vvn	passed	pass	0
since	since	p-acp	since	since	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
was	was	vbds	was	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
aboue	aboue	a-acp	above	above	0
sayd	sayd	vvd	said	say	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Briget	Briget	np1	Briget	Bridget	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
being	being	vbg	being	be	0
twoe	twoe	crd	twoe	twoe	0
sundry	sundry	j	sundry	sundry	0
tymes	tymes	n2	times	time	0
put	put	vvd	put	put	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
(	(	(	(	(	0
whear	whear	c-crq	where	where	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
Prison	Prison	n1	Prison	prison	0
)	)	)	)	)	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
both	both	d	both	both	0
tymes	tymes	n2	times	time	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wise	wise	j	wise	wise	0
touch	touch	n1	touch	touch	0
either	either	d	either	either	0
Controuersies	Controuersies	n2	Controversies	controversy	0
or	or	cc	or	or	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
Sta	Sta	np1	Sta	Sta	0
∣	∣	sy	∣	∣	0
te	te	fw-la	te	te	0
.	.	.	.	.	1
Since	Since	p-acp	Since	since	0
which	which	r-crq	which	which	0
tyme	tyme	n1	time	time	0
hath	hath	vhz	hath	have	0
bein	bein	zz	bein	bein	0
erected	erected	vvd	erected	erect	0
that	that	d	that	that	0
your	your	po22	your	your	0
Religious	Religious	j	Religious	religious	0
howse	howse	n1	house	house	0
at	at	p-acp	at	at	0
Bruxells	Bruxells	np1	Bruxells	Brussels	0
,	,	,	,	,	0
and	and	cc	and	and	0
aswell	aswell	av	aswell	aswell	0
the	the	dt	the	the	0
same	same	d	same	same	0
as	as	p-acp	as	as	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Louayne	Louayne	n1	Louayne	louayne	0
hath	hath	vhz	hath	have	0
bein	bein	zz	bein	bein	0
better	better	j	better	better	0
knowne	knowne	vvn	known	know	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
entercourse	entercourse	n1	intercourse	intercourse	0
of	of	pp-f	of	of	0
let	let	n1	let	let	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
yow	yow	pn22	you	you	0
and	and	cc	and	and	0
mee	mee	pno11	me	i	0
(	(	(	(	(	0
my	my	po11	my	my	0
louing	louing	n1	loving	love	0
Cosins	Cosins	n2	Cousin's	cousin	0
at	at	p-acp	at	at	0
Louayne	Louayne	n1	Louayne	louayne	0
)	)	)	)	)	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
rendition	rendition	n1	rendition	rendition	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Cosin	Cosin	n1	Cousin	cousin	0
at	at	p-acp	at	at	0
Bruxells	Bruxells	np1	Bruxells	Brussels	0
.	.	.	.	.	0
)	)	)	)	)	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
yow	yow	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
howses	howses	n2	houses	house	0
the	the	dt	the	the	0
like	like	j	like	like	0
office	office	n1	office	office	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
a	a	zz	a	a	0
∣	∣	sy	∣	∣	0
boue	boue	p-acp	above	above	0
sayd	sayd	vvd	said	say	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
kinred	kinred	n1	kindred	kindred	0
and	and	cc	and	and	0
Countrie	Countrie	n1	Country	country	0
)	)	)	)	)	0
and	and	cc	and	and	0
that	that	d	that	that	0
