1.	1.	crd	1.	1.	1
BOOKES	BOOKES	n2	BOOKES	book	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
estima	estima	fw-la	estima	estima	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
and	and	cc	and	and	0
noblest	noblest	js	noblest	noble	0
subiect	subiect	j-jn	subject	subject	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
gratious	gratious	j	gracious	gracious	0
Virgin	Virgin	n1	Virgin	virgin	0
)	)	)	)	)	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
and	and	cc	and	and	0
offred	offred	vvn	offered	offer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
no	no	zz	no	no	0
∣	∣	sy	∣	∣	0
blest	blest	vvn	blessed	bless	0
and	and	cc	and	and	0
eminentste	eminentste	vvz	eminentste	eminentste	0
personages	personages	n2	personages	personage	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
causes	causes	n2	causes	cause	0
;	;	;	;	;	0
th'one	th'one	crd	th'one	one	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
protected	protected	vvn	protected	protect	0
and	and	cc	and	and	0
patronized	patronized	vvn	patronized	patronize	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
against	against	p-acp	against	against	0
malignant	malignant	j	malignant	malignant	0
and	and	cc	and	and	0
malitious	malitious	j	malicious	malicious	0
people	people	n1	people	people	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whome	whome	ro-crq	whom	who	0
the	the	dt	the	the	0
obiect	obiect	n1	object	object	0
or	or	cc	or	or	0
matter	matter	n1	matter	matter	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
offensiue	offensiue	j	offensive	offensive	0
:	:	:	:	:	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
to	to	p-acp	to	to	0
gra	gra	j	gram	great	0
∣	∣	sy	∣	∣	0
tifie	tifie	vvb	tifie	tifie	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefites	benefites	n2	benefits	benefit	0
receaued	receaued	vvn	received	receive	0
of	of	pp-f	of	of	0
thē	thē	pno32	them	they	0
.	.	.	.	.	0
the	the	dt	the	the	0
obiecte	obiecte	n1	object	object	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
thea	thea	n1	thena	thena	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
and	and	cc	and	and	0
true	true	j	true	true	0
representation	representation	n1	representation	representation	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
tholique	tholique	j	tholique	tholique	0
,	,	,	,	,	0
and	and	cc	and	and	0
protestant	protestant	n1	protestant	protestant	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
being	being	vbg	being	be	0
so	so	av	so	so	0
eminent	eminent	j	eminent	eminent	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
excelleth	excelleth	vvz	excels	excel	0
and	and	cc	and	and	0
exceedeth	exceedeth	vvz	exceeds	exceed	0
all	all	d	all	all	0
obiects	obiects	n2	objects	object	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
and	and	cc	and	and	0
consecrated	consecrated	vvn	consecrated	consecrate	0
vnto	vnto	p-acp	unto	unto	0
thee	thee	pno21	thee	thou	0
most	most	av-ds	most	most	0
sacred	sacred	j	sacred	sacred	0
Vir	Vir	fw-la	Vir	vir	0
∣	∣	sy	∣	∣	0
gin	gin	n1	gin	gin	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
worthiest	worthiest	js	worthiest	worthy	0
creature	creature	n1	creature	creature	0
amongest	amongest	p-acp	amongst	amongst	0
all	all	d	all	all	0
meere	meere	j	mere	mere	0
Creatures	Creatures	n2	Creatures	creature	0
that	that	cst	that	that	0
euer	euer	av	ever	ever	0
were	were	vbdr	were	be	0
.	.	.	.	.	1
Contraria	Contraria	fw-la	Contraria	contraria	0
se	se	fw-la	se	se	0
posita	posita	fw-la	posita	posita	0
magis	magis	fw-la	magis	magis	0
ilu	ilu	fw-la	ilu	ilu	0
∣	∣	sy	∣	∣	0
cessit	cessit	fw-la	cessit	cessit	0
.	.	.	.	.	1
2	2	crd	2	2	0
.	.	.	.	.	1
The	The	dt	The	the	0
opposition	opposition	n1	opposition	opposition	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
extremities	extremities	n2	extremities	extremity	0
can	can	vmb	can	can	0
neuer	neuer	av-x	never	never	0
be	be	vbi	be	be	0
better	better	jc	better	better	0
declared	declared	vvn	declared	declare	0
or	or	cc	or	or	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
to	to	pc-acp	to	to	0
oppose	oppose	vvi	oppose	oppose	0
the	the	dt	the	the	0
one	one	crd	one	one	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
things	things	n2	things	thing	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
sitiue	sitiue	j	sitiue	sitiue	0
,	,	,	,	,	0
and	and	cc	and	and	0
thinges	thinges	n2	things	thing	0
priuatiue	priuatiue	j	privative	privative	0
,	,	,	,	,	0
light	light	j	light	light	0
and	and	cc	and	and	0
dark	dark	j	dark	dark	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
thinges	thinges	n2	things	thing	0
contrarie	contrarie	j-jn	contrary	contrary	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
heate	heate	n1	heat	heat	0
and	and	cc	and	and	0
