PErusing	PErusing	vvg	PErusing	peruse	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
uerend	uerend	j	verend	verend	0
Father	Father	n1	Father	father	0
)	)	)	)	)	0
the	the	dt	the	the	0
worthie	worthie	j	worthy	worthy	0
soundnes	soundnes	n1	soundness	soundness	0
of	of	pp-f	of	of	0
godly	godly	j	godly	godly	0
doctrine	doctrine	n1	doctrine	doctrine	0
and	and	cc	and	and	0
instruction	instruction	n1	instruction	instruction	0
,	,	,	,	,	0
conteined	conteined	vvn	contained	contain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
short	short	j	short	short	0
,	,	,	,	,	0
fruitfull	fruitfull	j	fruitful	fruitful	0
,	,	,	,	,	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
Compen	Compen	j	Compen	compen	0
∣	∣	sy	∣	∣	0
dium	dium	crd	dium	dium	0
,	,	,	,	,	0
drawne	drawne	vvn	drawn	draw	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Caluins	Caluins	npg1	Caluins	caluins	0
Insti	Insti	n1	Insti	insti	0
∣	∣	sy	∣	∣	0
tutions	tutions	n2	tutions	tution	0
:	:	:	:	:	0
I	I	pns11	I	i	0
supposed	supposed	vvd	supposed	suppose	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
euill	euill	j-jn	evil	evil	0
bestowed	bestowed	vvn	bestowed	bestow	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
fruit	fruit	n1	fruit	fruit	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
imploied	imploied	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
englishing	englishing	n-vvg	englishing	english	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
aswell	aswell	av	aswell	aswell	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
doing	doing	vdg	doing	do	0
thereof	thereof	av	thereof	thereof	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
those	those	d	those	those	0
voide	voide	j	void	void	0
times	times	n2	times	time	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
out	out	av	out	out	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
translate	translate	vvi	translate	translate	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
expel	expel	vvi	expel	expel	0
idle	idle	j	idle	idle	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
wherein	wherein	q-crq	wherein	wherein	0
homines	homines	fw-la	homines	homines	0
male	male	j-jn	male	male	0
agere	agere	fw-la	agere	agere	0
di	di	fw-it	di	di	0
∣	∣	sy	∣	∣	0
scunt	scunt	fw-la	scunt	scunt	0
,	,	,	,	,	0
