Reuerend	Reuerend	j-jn	Reverend	reverend	0
and	and	cc	and	and	0
Right	Right	j-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
HAuing	HAuing	vhg	Having	have	0
within	within	p-acp	within	within	0
these	these	d	these	these	0
few	few	d	few	few	0
daies	daies	n2	days	day	0
lighted	lighted	vvn	lighted	light	0
vpon	vpon	p-acp	upon	upon	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
familiar	familiar	j-jn	familiar	familiar	0
friend	friend	n1	friend	friend	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
lately	lately	av-j	lately	late	0
had	had	vhd	had	have	0
receiued	receiued	vvn	received	receive	0
it	it	pn31	it	it	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
subiect	subiect	n-jn	subject	subject	0
and	and	cc	and	and	0
methodicall	methodicall	j	methodical	methodical	0
composure	composure	n1	composure	composure	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
amisse	amisse	av	amiss	amiss	0
(	(	(	(	(	0
nay	nay	uh-x	nay	nay	0
rather	rather	av-c	rather	rather	0
a	a	dt	a	a	0
very	very	j	very	very	0
profitable	profitable	j	profitable	profitable	0
worke	worke	n1	work	work	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
bringing	bringing	vvg	bringing	bring	0
home	home	av-an	home	home	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
good	good	j	good	good	0
hope	hope	n1	hope	hope	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
reclai	reclai	n1	reclai	reclai	0
∣	∣	sy	∣	∣	0
med	med	j	med	med	0
)	)	)	)	)	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
set	set	vvi	set	set	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
few	few	d	few	few	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
vacation	vacation	n1	vacation	vacation	0
houres	houres	n2	hours	hour	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
translating	translating	n-vvg	translating	translate	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
induced	induced	vvn	induced	induce	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
particular	particular	j	particular	particular	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
perfor	perfor	j	perfor	perfor	0
∣	∣	sy	∣	∣	0
ming	ming	n1	ming	ming	0
whereof	whereof	c-crq	whereof	whereof	0
this	this	d	this	this	0
might	might	n1	might	might	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
Gods	Gods	npg1	Gods	God	0
helpe	helpe	n1	help	help	0
)	)	)	)	)	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
auaile	auaile	n1	avail	avail	0
.	.	.	.	.	1
The	The	dt	The	the	0
points	points	n2	points	point	0
perhaps	perhaps	av	perhaps	perhaps	0
that	that	d	that	that	0
are	are	vbr	are	be	0
handled	handled	vvn	handled	handle	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
most	most	av-ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
formerly	formerly	av-j	formerly	former	0
and	and	cc	and	and	0
often	often	av	often	often	0
discus	discus	fw-la	discus	discus	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
full	full	j	full	full	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
