MY	MY	po11	MY	my	0
LORD	LORD	n1	LORD	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
puties	puties	n2	puties	puty	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Suffolk	Suffolk	np1	Suffolk	Suffolk	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
will	will	vmb	will	will	0
admit	admit	vvi	admit	admit	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
freedome	freedome	n1	freedom	freedom	0
of	of	pp-f	of	of	0
placing	placing	vvg	placing	place	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Front	Front	n1	Front	front	0
of	of	pp-f	of	of	0
Two	Two	crd	Two	two	0
Reports	Reports	n2	Reports	report	0
cull'd	cull'd	vvd	culled	cull	0
out	out	av	out	out	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
Reports	Reports	n2	Reports	report	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
as	as	c-acp	as	as	0
Learned	Learned	j	Learned	learned	0
persons	persons	n2	persons	person	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Laws	Laws	n2	Laws	law	0
as	as	p-acp	as	as	0
that	that	d	that	that	0
Age	Age	n1	Age	age	0
did	did	vdd	did	do	0
afford	afford	vvi	afford	afford	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
perswaded	perswaded	vvn	persuaded	persuade	0
the	the	dt	the	the	0
Stationer	Stationer	n1	Stationer	stationer	0
to	to	pc-acp	to	to	0
reprint	reprint	vvi	reprint	reprint	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
fit	fit	j	fit	fit	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
generally	generally	av-j	generally	general	0
perus'd	perus'd	vvn	perused	peruse	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
Sr.	Sr.	n1	Sr.	sir	0
John	John	np1	John	John	0
Davis	Davis	np1	Davis	Davis	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Report	Report	n1	Report	report	0
of	of	pp-f	of	of	0
Lalor's	Lalor's	ng1	Lalor's	lalor	0
Case	Case	n1	Case	case	0
,	,	,	,	,	0
gives	gives	vvz	gives	give	0
an	an	dt	and	a	0
Historicall	Historicall	j	Historical	historical	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pope's	Pope's	ng1	Pope's	pope	0
Invasions	Invasions	n2	Invasions	invasion	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
Confessor's	Confessor's	ng1	Confessor's	confessor	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
Civil	Civil	j	Civil	civil	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Chief	Chief	j-jn	Chief	chief	0
Justice	Justice	n1	Justice	justice	0
Coke	Coke	np1	Coke	Coke	0
gives	gives	vvz	gives	give	0
also	also	av	also	also	0
a	a	dt	a	a	0
full	full	j	full	full	0
and	and	cc	and	and	0
clear	clear	j	clear	clear	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pope's	Pope's	ng1	Pope's	pope	0
Intrusions	Intrusions	n2	Intrusions	intrusion	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
Ec	Ec	fw-fr	Ec	ec	0
∣	∣	sy	∣	∣	0
clesiasticall	clesiasticall	j	clesiasticall	clesiasticall	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
do	do	vdb	do	do	0
meddle	meddle	vvi	meddle	meddle	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Cavills	Cavills	n2	Cavils	cavil	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
between	between	p-acp	between	between	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Papal	Papal	j	Papal	papal	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
concerns	concerns	vvz	concerns	concern	0
their	their	po32	their	their	0
State	State	n1	State	state	0
and	and	cc	and	and	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
deduced	deduced	vvn	deduced	deduce	0
from	from	p-acp	from	from	0
Antiquity	Antiquity	n1	Antiquity	antiquity	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
our	our	po12	our	our	0
single	single	j	single	single	0
Obedience	Obedience	n1	Obedience	obedience	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Predecessors	Predecessors	n2	Predecessors	predecessor	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
or	or	cc	or	or	0
endeavour'd	endeavour'd	vvd	endeavoured	endeavour	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
many	many	d	many	many	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
respective	respective	j	respective	respective	0
Kings	Kings	n2	Kings	king	0
.	.	.	.	.	0
)	)	)	)	)	1
And	And	cc	And	and	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
many	many	d	many	many	0
Invasions	Invasions	n2	Invasions	invasion	0
or	or	cc	or	or	0
Intrusions	Intrusions	n2	Intrusions	intrusion	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
and	and	cc	and	and	0
Policy	Policy	n1	Policy	policy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
waies	waies	n2	ways	way	0
struggling	struggling	vvg	struggling	struggle	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
out	out	av	out	out	0
:	:	:	:	:	0
Sometimes	Sometimes	av	Sometime	sometime	0
we	we	pns12	we	we	0
mastered	mastered	vvd	mastered	master	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
sometimes	sometimes	av	sometime	sometime	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
maste	maste	n1	mast	mast	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
;	;	;	;	;	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Resolution	Resolution	n1	Resolution	resolution	0
or	or	cc	or	or	0
Weakness	Weakness	n1	Weakness	weakness	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
our	our	po12	our	our	0
former	former	j	former	former	0
Kings	Kings	n2	Kings	king	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
maintain	maintain	vvi	maintain	maintain	0
their	their	po32	their	their	0
inherent	inherent	j	inherent	inherent	0
Interests	Interests	n2	Interests	interest	0
.	.	.	.	.	1
And	And	cc	And	and	0
how	how	q-crq	how	how	0
∣	∣	sy	∣	∣	0
ever	ever	av	ever	ever	0
some	some	d	some	some	0
Papal	Papal	j	Papal	papal	0
Pretences	Pretences	n2	Pretences	pretence	0
seem	seem	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
clearly	clearly	av-j	clearly	clear	0
see	see	vvb	see	see	0
(	(	(	(	(	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
got	got	vvd	god	get	0
the	the	dt	the	the	0
upper	upper	jc	upper	upper	0
hand	hand	n1	hand	hand	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
Subjection	Subjection	n1	Subjection	subjection	0
they	they	pns32	they	they	0
intended	intended	vvd	intended	intend	0
to	to	pc-acp	to	to	0
impose	impose	vvi	impose	impose	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
on	on	p-acp	on	on	0
King	King	n1	King	king	0
John	John	np1	John	John	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
nick'd	nick'd	vvn	nicked	nick	0
the	the	dt	the	the	0
time	time	n1	time	time	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
imbroyl'd	imbroyl'd	vvn	embroiled	embroil	0
and	and	cc	and	and	0
even	even	av	even	even	0
totally	totally	av-j	totally	total	0
immerged	immerged	vvn	immerged	immerge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Distempers	Distempers	n2	Distempers	distemper	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
untruly	untruly	av-j-u	untruly	untrue	0
Sub	Sub	fw-la	Sub	sub	0
∣	∣	sy	∣	∣	0
jects	jects	n2-jn	jects	ject	0
,	,	,	,	,	0
and	and	cc	and	and	0
inraged	inraged	j-vvn	enraged	enrage	0
Forreiners	Forreiners	n2	Foreigners	foreigner	0
:	:	:	:	:	0
and	and	cc	and	and	0
then	then	av	then	then	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
opportunity	opportunity	n1	opportunity	opportunity	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Factions	Factions	n2	Factions	faction	0
and	and	cc	and	and	0
Forrei	Forrei	np1	Forrei	Forrei	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
subjugate	subjugate	vvi	subjugate	subjugate	0
this	this	d	this	this	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Principality	Principality	n1	Principality	principality	0
in	in	p-acp	in	in	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
its	its	vbz	its	be	0
Vassall	Vassall	n1	Vassal	vassal	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
ever	ever	av	ever	ever	0
any	any	d	any	any	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
did	did	vdd	did	do	0
pretend	pretend	vvi	pretend	pretend	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
or	or	cc	or	or	0
could	could	vmd	could	can	0
accomplish	accomplish	vvi	accomplish	accomplish	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
after	after	p-acp	after	after	0
King	King	n1	King	king	0
John	John	np1	John	John	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
various	various	j	various	various	0
Contests	Contests	n2	Contests	contest	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
successive	successive	j	successive	successive	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
none	none	pix	none	none	0
did	did	vdd	did	do	0
so	so	av	so	so	0
effectually	effectually	av-j	effectually	effectual	0
rout	rout	n1	rout	rout	0
the	the	dt	the	the	0
Papal	Papal	j	Papal	papal	0
Interest	Interest	n1	Interest	interest	0
here	here	av	here	here	0
as	as	p-acp	as	as	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
VIII	VIII	np1	VIII	Viii	0
.	.	.	.	.	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Romanists	Romanists	np1	Romanists	Romanists	0
do	do	vdb	do	do	0
rip	rip	vvi	rip	rip	0
up	up	a-acp	up	up	0
all	all	d	all	all	0
his	his	po31	his	his	0
Vices	Vices	n2	Vices	vice	0
,	,	,	,	,	0
