THere	THere	pc-acp	THere	there	0
were	were	vbdr	were	be	0
two	two	crd	two	two	0
pillars	pillars	n2	pillars	pillar	0
before	before	p-acp	before	before	0
Salomons	Salomons	np1	Salomons	Salomons	0
Tem	Tem	vvb	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
1	1	crd	1	1	0
King	King	n1	King	king	0
.	.	.	.	.	1
7.21	7.21	crd	7.21	7.21	0
.	.	.	.	.	1
2	2	crd	2	2	0
Chron.	Chron.	np1	Chron.	Chron.	0
3.17	3.17	crd	3.17	3.17	0
.	.	.	.	.	1
(	(	(	(	(	0
right	right	j-jn	right	right	0
worthy	worthy	j	worthy	worthy	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
Jachin	Jachin	np1	Jachin	Jachin	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
establish	establish	vvi	establish	establish	0
;	;	;	;	;	0
and	and	cc	and	and	0
Bohaz	Bohaz	np1	Bohaz	Bohaz	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
strength	strength	n1	strength	strength	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
two	two	crd	two	two	0
pillars	pillars	n2	pillars	pillar	0
were	were	vbdr	were	be	0
set	set	vvn	set	set	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
uphold	uphold	vvi	uphold	uphold	0
the	the	dt	the	the	0
porch	porch	n1	porch	porch	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
.	.	.	.	.	1
So	So	av	So	so	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
pillars	pillars	n2	pillars	pillar	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
uphold	uphold	vvb	uphold	uphold	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
Justice	Justice	n1	Justice	justice	0
:	:	:	:	:	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
upholds	upholds	vvz	upholds	uphold	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
the	the	dt	the	the	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
these	these	d	these	these	0
two	two	crd	two	two	0
,	,	,	,	,	0
religion	religion	n1	religion	religion	0
stands	stands	vvz	stands	stand	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
uphold	uphold	vvi	uphold	uphold	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Jachin	Jachin	np1	Jachin	Jachin	0
did	did	vdd	did	do	0
,	,	,	,	,	0
)	)	)	)	)	0
and	and	cc	and	and	0
Justice	Justice	n1	Justice	justice	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
left	left	j	left	left	0
hand	hand	n1	hand	hand	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Bohaz	Bohaz	np1	Bohaz	Bohaz	0
did	did	vdd	did	do	0
.	.	.	.	.	0
)	)	)	)	)	1
Religion	Religion	n1	Religion	religion	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
first	first	ord	first	first	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
say	say	vvi	say	say	0
well	well	av	well	well	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
Jerusalems	Jerusalems	npg1	Jerusalems	jerusalems	0
cause	cause	n1	cause	cause	0
the	the	dt	the	the	0
world	world	n1	world	world	0
stands	stands	vvz	stands	stand	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
All	All	av-d	All	all	0
the	the	dt	the	the	0
tents	tents	n2	tents	tent	0
were	were	vbdr	were	be	0
pitched	pitched	vvn	pitched	pitch	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
us	us	pno12	us	we	0
,	,	,	,	,	0
Numb	Numb	j	Numb	numb	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
that	that	d	that	that	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
an	an	dt	and	a	0
Inne	Inne	n1	Inn	inn	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
to	to	pc-acp	to	to	0
lodge	lodge	vvi	lodge	lodge	0
in	in	p-acp	in	in	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
while	while	n1	while	while	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
were	were	vbdr	were	be	0
once	once	a-acp	once	once	0
gathered	gathered	vvn	gathered	gather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
corners	corners	n2	corners	corner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
would	would	vmd	would	will	0
so	so	av	so	so	0
one	one	crd	one	one	0
clap	clap	n1	clap	clap	0
together	together	av	together	together	0
,	,	,	,	,	0
2	2	crd	2	2	0
Pet.	Pet.	np1	Pet.	Pet.	1
3.10	3.10	crd	3.10	3.10	0
.	.	.	.	.	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Heavens	Heavens	n2	Heavens	heaven	0
should	should	vmd	should	shall	0
goe	goe	vvi	go	go	0
away	away	av	away	away	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
noyse	noyse	n1	noise	noise	0
.	.	.	.	.	1
The	The	dt	The	the	0
pillar	pillar	n1	pillar	pillar	0
which	which	r-crq	which	which	0
upholds	upholds	vvz	upholds	uphold	0
the	the	dt	the	the	0
world	world	n1	world	world	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
left	left	j	left	left	0
hand	hand	n1	hand	hand	0
is	is	vbz	is	be	0
Justice	Justice	n1	Justice	justice	0
;	;	;	;	;	0
Prov.	Prov.	np1	Prov.	Prov.	1
16.12	16.12	crd	16.12	16.12	0
.	.	.	.	.	0
it	it	pn31	it	it	0
upholds	upholds	vvz	upholds	uphold	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
throne	throne	n1	throne	throne	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
Habak	Habak	vvb	Habak	habak	0
.	.	.	.	.	1
1.4	1.4	crd	1.4	1.4	0
.	.	.	.	.	1
Iam	Iam	fw-la	Iam	jam	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
fluit	fluit	fw-la	fluit	fluit	0
Lex	Lex	fw-la	Lex	lex	0
;	;	;	;	;	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
failes	failes	vvz	fails	fail	0
:	:	:	:	:	0
This	This	d	This	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
speech	speech	n1	speech	speech	0
bor	bor	uh	bor	bour	0
∣	∣	sy	∣	∣	0
rowed	rowed	vvd	rowed	row	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
pulse	pulse	n1	pulse	pulse	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
man	man	n1	man	man	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
dis	dis	fw-fr	dis	dis	0
∣	∣	sy	∣	∣	0
cerne	cerne	vvi	cerne	cerne	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
man	man	n1	man	man	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
pulse	pulse	n1	pulse	pulse	0
;	;	;	;	;	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
stirre	stirre	vvb	stir	stir	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
stirre	stirre	vvb	stir	stir	0
violently	violently	av-j	violently	violent	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
take	take	vvb	take	take	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Feaver	Feaver	n1	Fever	fever	0
;	;	;	;	;	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
keepe	keepe	vvb	keep	keep	0
an	an	dt	and	a	0
equall	equall	j-jn	equal	equal	0
