When	When	c-crq	When	when	0
I	I	pns11	I	i	0
heare	heare	vvb	hear	hear	0
(	(	(	(	(	0
deare	deare	j-jn	deer	dear	0
Cousins	Cousins	n2	Cousin's	cousin	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pillagins	pillagins	vvz	pillagins	pillagin	0
,	,	,	,	,	0
plun	plun	vvi	plun	plun	0
∣	∣	sy	∣	∣	0
drings	drings	n2-vvg	drings	dring	0
,	,	,	,	,	0
and	and	cc	and	and	0
insolences	insolences	n2	insolences	insolence	0
,	,	,	,	,	0
committed	committed	vvn	committed	commit	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Melitia	Melitia	n1	Melitia	melitia	0
on	on	p-acp	on	on	0
both	both	d	both	both	0
sides	sides	n2	sides	side	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
native	native	j-jn	native	native	0
Countrie	Countrie	n1	Country	country	0
;	;	;	;	;	0
it	it	pn31	it	it	0
grieves	grieves	vvz	grieves	grieve	0
mee	mee	pno11	me	i	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
very	very	j	very	very	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
upon	upon	p-acp	upon	upon	0
yt	yt	pn31	that	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
just	just	j	just	just	0
judgment	judgment	n1	judgement	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
upon	upon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
mercie	mercie	n1	mercy	mercy	0
to	to	pc-acp	to	to	0
divert	divert	vvi	divert	divert	0
his	his	po31	his	his	0
punishments	punishments	n2	punishments	punishment	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
timely	timely	j	timely	timely	0
repentance	repentance	n1	repentance	repentance	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
stay	stay	vvi	stay	stay	0
the	the	dt	the	the	0
violls	violls	n2	viols	viol	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
wrath	wrath	n1	wrath	wrath	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
begins	begins	vvz	begins	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
powred	powred	vvn	poured	pour	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
deare	deare	j-jn	deer	dear	0
Countrie	Countrie	n1	Country	country	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
.	.	.	.	.	1
And	And	cc	And	and	0
thoug	thoug	j	thoug	thoug	0
his	his	po31	his	his	0
sacred	sacred	j	sacred	sacred	0
Majesty	Majesty	n1	Majesty	majesty	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Generalls	Generalls	n2	Generals	general	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
by	by	p-acp	by	by	0
theirs	theirs	png32	theirs	they	0
,	,	,	,	,	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
proclaimed	proclaimed	vvd	proclaimed	proclaim	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
wholesome	wholesome	j	wholesome	wholesome	0
Lawes	Lawes	n2	Laws	law	0
and	and	cc	and	and	0
Articles	Articles	n2	Articles	article	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
keeping	keeping	n-vvg	keeping	keep	0
and	and	cc	and	and	0
observing	observing	vvg	observing	observe	0
of	of	pp-f	of	of	0
Marshall	Marshall	j	Marshal	martial	0
discipline	discipline	n1	discipline	discipline	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
restraint	restraint	n1	restraint	restraint	0
of	of	pp-f	of	of	0
insolences	insolences	n2	insolences	insolence	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Armies	Armies	n2	Armies	army	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
amisse	amisse	av	amiss	amiss	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
transport	transport	vvi	transport	transport	0
into	into	p-acp	into	into	0
England	England	np1	England	England	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Chiefs	Chiefs	n2-jn	Chiefs	chief	0
&	&	cc	&	and	0
Commandeurs	Commandeurs	np1	Commandeurs	Commandeurs	0
