Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
often	often	av	often	often	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
ear	ear	n1	ear	ear	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
now	now	av	now	now	0
the	the	dt	the	the	0
happines	happines	n1	happiness	happiness	0
to	to	p-acp	to	to	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
something	something	pi	something	something	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eye	eye	n1	eye	eye	0
:	:	:	:	:	0
The	The	dt	The	the	0
acceptance	acceptance	n1	acceptance	acceptance	0
my	my	po11	my	my	0
weak	weak	j	weak	weak	0
endeavours	endeavours	n2	endeavours	endeavour	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
the	the	pno32	thee	they	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
mer	mer	uh	mere	mer	0
way	way	n1	way	way	0
,	,	,	,	,	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
encouragement	encouragement	n1	encouragement	encouragement	0
to	to	pc-acp	to	to	0
succeed	succeed	vvi	succeed	succeed	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
later	later	jc	later	late	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
long	long	av-j	long	long	0
thirsted	thirsted	vvd	thirsted	thirst	0
after	after	p-acp	after	after	0
such	such	d	such	such	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
impresse	impresse	vvi	impress	impress	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
deeper	deeper	jc-jn	deeper	deep	0
engravings	engravings	n2-vhg	engravings	engraving	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
breast	breast	n1	breast	breast	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
that	that	cst	that	that	0
perpetuate	perpetuate	vvi	perpetuate	perpetuate	0
my	my	po11	my	my	0
just	just	j	just	just	0
esteems	esteems	vvz	esteems	esteem	0
and	and	cc	and	and	0
valuations	valuations	n2	valuations	valuation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
:	:	:	:	:	0
the	the	dt	the	the	0
hour	hour	n1	hour	hour	0
is	is	vbz	is	be	0
now	now	av	now	now	0
come	come	vvn	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
rejoyce	rejoyce	vvb	rejoice	rejoice	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
now	now	av	now	now	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
strait	strait	n1	strait	strait	0
;	;	;	;	;	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
give	give	vvi	give	give	0
out	out	av	out	out	0
the	the	dt	the	the	0
full	full	j	full	full	0
counterpane	counterpane	n1	counterpane	counterpane	0
