Your	Your	po22	Your	your	0
Townesman	Townesman	n1	Townsman	townsman	0
wisheth	wisheth	vvz	wishes	wish	0
,	,	,	,	,	0
that	that	cst	that	that	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
in	in	p-acp	in	in	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
may	may	vmb	may	may	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
as	as	p-acp	as	as	0
one	one	crd	one	one	0
man	man	n1	man	man	0
.	.	.	.	.	1
GENTLEMEN	GENTLEMEN	np1	GENTLEMEN	Gentlemen	0
,	,	,	,	,	0
WEre	WEre	vbdr	WEre	be	0
it	it	pn31	it	it	0
so	so	av	so	so	0
that	that	cst	that	that	0
Truth	Truth	n1	Truth	truth	0
were	were	vbdr	were	be	0
understood	understood	vvn	understood	understand	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
Center	Center	n1	Centre	centre	0
,	,	,	,	,	0
that	that	cst	that	that	0
Truth	Truth	n1	Truth	truth	0
were	were	vbdr	were	be	0
apprehended	apprehended	vvn	apprehended	apprehend	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
Element	Element	n1	Element	element	0
,	,	,	,	,	0
then	then	av	then	then	0
would	would	vmd	would	will	0
a	a	dt	a	a	0
Truth	Truth	n1	Truth	truth	0
be	be	vbi	be	be	0
received	received	vvn	received	receive	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Truth	Truth	n1	Truth	truth	0
;	;	;	;	;	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
Messenger	Messenger	n1	Messenger	messenger	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
he	he	pns31	he	he	0
you	you	pn22	you	you	0
expected	expected	vvd	expected	expect	0
.	.	.	.	.	1
This	This	d	This	this	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
nothing	nothing	pix	nothing	nothing	0
in	in	p-acp	in	in	0
hinderance	hinderance	n1	hindrance	hindrance	0
,	,	,	,	,	0
that	that	cst	that	that	0
Truth	Truth	n1	Truth	truth	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
embraced	embraced	vvn	embraced	embrace	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
if	if	cs	if	if	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
power	power	n1	power	power	0
thereof	thereof	av	thereof	thereof	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
reduced	reduced	vvn	reduced	reduce	0
your	your	po22	your	your	0
spirits	spirits	n2	spirits	spirit	0
in	in	p-acp	in	in	0
obedience	obedience	n1	obedience	obedience	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
though	though	cs	though	though	0
an	an	dt	and	a	0
Angel	Angel	n1	Angel	angel	0
from	from	p-acp	from	from	0
Heaven	Heaven	n1	Heaven	heaven	0
should	should	vmd	should	shall	0
divulge	divulge	vvi	divulge	divulge	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
believe	believe	vvi	believe	believe	0
it	it	pn31	it	it	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
that	that	d	that	that	0
end	end	n1	end	end	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
Prophet	Prophet	n1	Prophet	prophet	0
in	in	p-acp	in	in	0
hearing	hearing	vvg	hearing	hear	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
heare	heare	vvi	hear	hear	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
derstand	derstand	vvb	derstand	derstand	0
,	,	,	,	,	0
Isa.	Isa.	np1	Isa.	Isa.	1
6.	6.	crd	6.	6.	0
9.	9.	crd	9.	9	0
in	in	p-acp	in	in	0
seeing	seeing	vvg	seeing	see	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
perceive	perceive	vvi	perceive	perceive	0
a	a	dt	a	a	0
truth	truth	n1	truth	truth	0
from	from	p-acp	from	from	0
an	an	dt	and	a	0
error	error	n1	error	error	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
prevention	prevention	n1	prevention	prevention	0
hereof	hereof	av	hereof	hereof	0
,	,	,	,	,	0
observe	observe	vvb	observe	observe	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
exhortation	exhortation	n1	exhortation	exhortation	0
,	,	,	,	,	0
prove	prove	vvb	prove	prove	0
all	all	d	all	all	0
things	things	n2	things	thing	0
