Endeared	Endeared	vvn	Endeared	endear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Present	Present	vvb	Present	present	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
plainly	plainly	av-j	plainly	plain	0
preached	preached	vvn	preached	preach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ears	ears	n2	ears	ear	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
whose	whose	rg-crq	whose	who	0
hearts	hearts	n2	hearts	heart	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
inclined	inclined	vvn	inclined	incline	0
to	to	p-acp	to	to	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tend	tend	vvb	tend	tend	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
publick	publick	j	public	public	0
Ministry	Ministry	n1	Ministry	ministry	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
and	and	cc	and	and	0
plain	plain	j	plain	plain	0
heads	heads	n2	heads	head	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
Sermons	Sermons	n2	Sermons	sermon	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
Pul	Pul	vvb	Pull	pull	0
∣	∣	sy	∣	∣	0
pit-repetitions	pit-repetitions	n2	pit-repetitions	pit-repetition	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
swelled	swelled	vvn	swelled	swell	0
the	the	dt	the	the	0
volume	volume	n1	volume	volume	0
too	too	av	too	too	0
much	much	av-d	much	much	0
;	;	;	;	;	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
flourishes	flourishes	n2	flourishes	flourish	0
of	of	pp-f	of	of	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
sentences	sentences	n2	sentences	sentence	0
and	and	cc	and	and	0
citation	citation	n1	citation	citation	0
of	of	pp-f	of	of	0
Authors	Authors	n2	Authors	author	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
nauseous	nauseous	j	nauseous	nauseous	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mindes	mindes	n2	minds	mind	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
who	who	r-crq	who	who	0
judge	judge	vvb	judge	judge	0
things	things	n2	things	thing	0
goodnesse	goodnesse	n1	goodness	goodness	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
plnnesse	plnnesse	n1	plnnesse	plnnesse	0
:	:	:	:	:	0
the	the	dt	the	the	0
main	main	j	main	main	0
scope	scope	n1	scope	scope	0
and	and	cc	and	and	0
drift	drift	n1	drift	drift	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
the	the	dt	the	the	0
dignity	dignity	n1	dignity	dignity	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
despised	despised	j-vvn	despised	despise	0
,	,	,	,	,	0
and	and	cc	and	and	0
due	due	av-jn	due	due	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thority	thority	n1	thority	thority	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
denied	denied	vvn	denied	deny	0
Ordinance	Ordinance	n1	Ordinance	ordinance	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
revive	revive	vvi	revive	revive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
an	an	dt	and	a	0
anciently	anciently	av-j	anciently	ancient	0
exercised	exercised	vvn	exercised	exercise	0
;	;	;	;	;	0
and	and	cc	and	and	0
too	too	av	too	too	0
too	too	av	too	too	0
long	long	av-j	long	long	0
exil'd	exil'd	vvn	exiled	exile	0
priviledge	priviledge	n1	privilege	privilege	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
excite	excite	vvi	excite	excite	0
and	and	cc	and	and	0
quicken	quicken	vvi	quicken	quicken	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
too	too	av	too	too	0
too	too	av	too	too	0
long	long	av-j	long	long	0
neglected	neglected	vvn	neglected	neglect	0
duty	duty	n1	duty	duty	0
of	of	pp-f	of	of	0
Catechizing	Catechizing	vvg	Catechizing	catechize	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
societies	societies	n2	societies	society	0
.	.	.	.	.	1
This	This	d	This	this	0
work	work	n1	work	work	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
more	more	av-dc	more	more	0
able	able	j	able	able	0
and	and	cc	and	and	0
eminent	eminent	j	eminent	eminent	0
Mini	Mini	np1	Mini	Mini	0
∣	∣	sy	∣	∣	0
sters	sters	n1	sters	sters	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
holy	holy	j	holy	holy	0
Mr.	Mr.	n1	Mr.	mr.	0
Greenham	Greenham	np1	Greenham	Greenham	0
,	,	,	,	,	0
reverend	reverend	j-jn	reverend	reverend	0
Mr.	Mr.	n1	Mr.	mr.	1
Dow	Dow	np1	Dow	Dow	0
∣	∣	sy	∣	∣	0
nam	nam	fw-la	nam	nam	0
,	,	,	,	,	0
acute	acute	j	acute	acute	0
Mr.	Mr.	n1	Mr.	mr.	1
Forde	Forde	np1	Forde	Ford	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
