Most	Most	ds	Most	most	0
dread	dread	j	dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
!	!	!	!	!	1
BEsides	BEsides	p-acp	Beside	beside	0
that	that	d	that	that	0
your	your	po22	your	your	0
try	try	n1	try	try	0
∣	∣	sy	∣	∣	0
alls	alls	d|vbz	alls	all|be	0
have	have	vhb	have	have	0
taught	taught	vvn	taught	teach	0
you	you	pn22	you	you	0
Moderation	Moderation	n1	Moderation	moderation	0
,	,	,	,	,	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
with	with	p-acp	with	with	0
magnanimity	magnanimity	n1	magnanimity	magnanimity	0
;	;	;	;	;	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
learned	learned	j	learned	learned	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
im	im	pno31	im	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
lived	lived	vvn	lived	live	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
(	(	(	(	(	0
oh	oh	uh	o	oh	0
horrour	horrour	n1	horror	horror	0
!	!	!	!	!	0
)	)	)	)	)	0
dyed	dyed	vvd	died	die	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
now	now	av	now	now	0
your	your	po22	your	your	0
Moderation	Moderation	n1	Moderation	moderation	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Magnanimity	Magnanimity	n1	Magnanimity	magnanimity	0
)	)	)	)	)	0
is	is	vbz	is	be	0
become	become	vvn	become	become	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
your	your	po22	your	your	0
erudition	erudition	n1	erudition	erudition	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
even	even	av	even	even	0
your	your	po22	your	your	0
na	na	fw-fr	na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
also	also	av	also	also	0
.	.	.	.	.	1
VVitness	VVitness	n1	VVitness	witness	0
those	those	d	those	those	0
your	your	po22	your	your	0
Gracious	Gracious	j	Gracious	gracious	0
Letters	Letters	n2	Letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
clamations	clamations	n2	clamations	clamation	0
;	;	;	;	;	0
the	the	dt	the	the	0
perfect	perfect	j	perfect	perfect	0
model	model	n1	model	model	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
mind	mind	n1	mind	mind	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
truly	truly	av-j	truly	true	0
mode	mode	n1	mode	mode	0
∣	∣	sy	∣	∣	0
rated	rated	vvn	rated	rate	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
graces	graces	n2	graces	grace	0
and	and	cc	and	and	0
ver	ver	fw-la	ver	ver	0
∣	∣	sy	∣	∣	0
tues	tues	n2	tues	tue	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
the	the	dt	the	the	0
abler	abler	jc	abler	able	0
to	to	pc-acp	to	to	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
derate	derate	n-jn	derate	derate	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
VVhich	VVhich	r-crq	Which	which	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
affraid	affraid	j	afraid	afraid	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
presumption	presumption	n1	presumption	presumption	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
casting	casting	vvg	casting	cast	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
Dropp	Dropp	n1	Drop	drop	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
that	that	cst	that	that	0
immense	immense	j	immense	immense	0
Sea	Sea	n1	Sea	sea	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
:	:	:	:	:	0
(	(	(	(	(	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
beit	beit	cs	beit	beit	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
quenching	quenching	vvg	quenching	quench	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
intestine	intestine	j	intestine	intestine	0
conflagrations	conflagrations	n2	conflagrations	conflagration	0
)	)	)	)	)	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
so	so	av	so	so	0
dimme	dimme	j	dim	dim	0
a	a	dt	a	a	0
Candle	Candle	n1	Candle	candle	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
so	so	av	so	so	0
bright	bright	j	bright	bright	0
and	and	cc	and	and	0
glorious	glorious	j	glorious	glorious	0
a	a	dt	a	a	0
Sun.	Sun.	n1	Sun.	sun	1
But	But	cc-acp	But	but	0
(	(	(	(	(	0
Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
!	!	!	!	!	0
)	)	)	)	)	1
I	I	pns11	I	i	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
,	,	,	,	,	0
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
(	(	(	(	(	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
Birth	Birth	n1	Birth	birth	0
day	day	n1	day	day	0
)	)	)	)	)	0
a	a	dt	a	a	0
Starre	Starre	n1	Star	star	0
at	at	p-acp	at	at	0
noon-day	noon-day	n1	noonday	noonday	0
,	,	,	,	,	0
look	look	vvb	look	look	0
out	out	av	out	out	0
with	with	p-acp	with	with	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
stant	stant	j	stant	stant	0
lustre	lustre	n1	lustre	lustre	0
,	,	,	,	,	0
though	though	cs	though	though	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
and	and	cc	and	and	0
near	near	av-j	near	near	0
the	the	dt	the	the	0
then	then	av	then	then	0
shineing	shineing	vvg	shining	shine	0
Sun.	Sun.	n1	Sun.	sun	1
Our	Our	po12	Our	our	0
Nativity-spel	Nativity-spel	n1	Nativity-spel	nativity-spel	0
∣	∣	sy	∣	∣	0
lers	lers	fw-fr	lers	lers	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
guilty	guilty	j	guilty	guilty	0
in	in	p-acp	in	in	0
promoting	promoting	j-vvg	promoting	promote	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
portentous	portentous	j	portentous	portentous	0
shame	shame	n1	shame	shame	0
