Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
Worthy	Worthy	j	Worthy	worthy	0
and	and	cc	and	and	0
beloved	beloved	vvn	beloved	belove	0
;	;	;	;	;	0
SInce	SInce	p-acp	SInce	since	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
providence	providence	n1	providence	providence	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
usefull	usefull	j	useful	useful	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
therein	therein	av	therein	therein	0
:	:	:	:	:	0
an	an	dt	and	a	0
instrument	instrument	n1	instrument	instrument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
happiness	happiness	n1	happiness	happiness	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
require	require	vvi	require	require	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
if	if	cs	if	if	0
through	through	p-acp	through	through	0
my	my	po11	my	my	0
default	default	n1	default	default	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
miscarry	miscarry	vvi	miscarry	miscarry	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
cause	cause	n1	cause	cause	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
gladly	gladly	av-j	gladly	glad	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
further	further	av-j	further	further	0
your	your	po22	your	your	0
good	good	j	good	good	0
)	)	)	)	)	0
I	I	pns11	I	i	0
prepared	prepared	vvd	prepared	prepare	0
these	these	d	these	these	0
brief	brief	j	brief	brief	0
Instructi	Instructi	n1	Instructi	instructi	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
families	families	n2	families	family	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
part	part	n1	part	part	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
care	care	n1	care	care	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
also	also	av	also	also	0
respectively	respectively	av-j	respectively	respective	0
;	;	;	;	;	0
especially	especially	av-j	especially	especial	0
your	your	po22	your	your	0
children	children	n2	children	child	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
as	as	p-acp	as	as	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
especi	especi	fw-fr	especi	especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
cared	cared	vvn	cared	care	0
for	for	p-acp	for	for	0
by	by	p-acp	by	by	0
