YOu	YOu	pn22	YOu	you	0
have	have	vhb	have	have	0
(	(	(	(	(	0
already	already	av	already	already	0
)	)	)	)	)	0
a	a	dt	a	a	0
double	double	j-jn	double	double	0
right	right	n-jn	right	right	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Dedication	Dedication	n1	Dedication	dedication	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
first	first	ord	first	first	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
preacht	preacht	vvd	preached	preach	0
,	,	,	,	,	0
next	next	ord	next	next	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
publisht	publisht	vvn	published	publish	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
This	This	d	This	this	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
preacht	preacht	vvd	preached	preach	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
so	so	av	so	so	0
concerning	concerning	vvg	concerning	concern	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
was	was	vbds	was	be	0
your	your	po22	your	your	0
worthy	worthy	j	worthy	worthy	0
Pastor	Pastor	n1	Pastor	pastor	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
unworthy	unworthy	j	unworthy	unworthy	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
)	)	)	)	)	0
your	your	po22	your	your	0
Pastor	Pastor	n1	Pastor	pastor	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
This	This	d	This	this	0
Sermon	Sermon	n1	Sermon	sermon	0
is	is	vbz	is	be	0
publisht	publisht	vvn	published	publish	0
,	,	,	,	,	0
though	though	cs	though	though	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
my	my	po11	my	my	0
own	own	d	own	own	0
inclination	inclination	n1	inclination	inclination	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
no	no	uh-x	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
my	my	po11	my	my	0
services	services	n2	services	service	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
more	more	n1	more	moor	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
serves	serves	vvz	serves	serve	0
my	my	po11	my	my	0
blushing	blushing	n-vvg	blushing	blush	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
weaknesse	weaknesse	n1	weakness	weakness	0
,	,	,	,	,	0
then	then	cs	then	than	0
publication	publication	n1	publication	publication	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
worth	worth	n1	worth	worth	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
entreaty	entreaty	n1	entreaty	entreaty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
third	third	ord	third	three	0
and	and	cc	and	and	0
(	(	(	(	(	0
that	that	d	that	that	0
)	)	)	)	)	0
a	a	dt	a	a	0
better	better	jc	better	better	0
right	right	n-jn	right	right	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
suing	suing	vvg	suing	sue	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
practising	practising	vvg	practising	practise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truths	truths	n2	truths	truth	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
imbracing	imbracing	vvg	embracing	embrace	0
the	the	dt	the	the	0
Doctrines	Doctrines	n2	Doctrines	doctrine	0
,	,	,	,	,	0
and	and	cc	and	and	0
imitating	imitating	vvg	imitating	imitate	0
the	the	dt	the	the	0
graces	graces	n2	graces	grace	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
late	late	j	late	late	0
emi	emi	j	emi	emi	0
∣	∣	sy	∣	∣	0
nent	nent	n1	nent	nent	0
Pastor	Pastor	n1	Pastor	pastor	0
commended	commended	vvn	commended	commend	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
following	following	vvg	following	follow	0
Te	Te	pc-acp	To	to	0
∣	∣	sy	∣	∣	0
stimony	stimony	n1	stimony	stimony	0
.	.	.	.	.	1
My	My	po11	My	my	0
Sermon	Sermon	n1	Sermon	sermon	0
slights	slights	vvz	slights	slight	0
not	not	xx	not	not	0
your	your	po22	your	your	0
patronage	patronage	n1	patronage	patronage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
earnestly	earnestly	av-j	earnestly	earnest	0
sues	sues	vvz	sues	sue	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
practise	practise	n1	practice	practice	0
.	.	.	.	.	1
And	And	cc	And	and	0
tis	tis	pn31|vbz	this	it|be	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
unreformed	unreformed	j-vvn	unreformed	unreform	0
who	who	r-crq	who	who	0
shall	shall	vmb	shall	shall	0
reade	reade	vvi	read	read	0
the	the	dt	the	the	0
Relation	Relation	n1	Relation	relation	0
of	of	pp-f	of	of	0
Doctor	Doctor	n1	Doctor	doctor	0
Gouge's	Gouge's	npg1	Gouge's	gouge	0
faithful	faithful	j	faithful	faithful	0
pains	pains	n2	pains	pain	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
may	may	vmb	may	may	0
with	with	p-acp	with	with	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
sorrow	sorrow	n1	sorrow	sorrow	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
unprofitablenesse	unprofitablenesse	n1	unprofitableness	unprofitableness	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
ministry	ministry	n1	ministry	ministry	0
,	,	,	,	,	0
say	say	vvb	say	say	0
what	what	r-crq	what	what	0
Pharaohs	Pharaohs	np1	Pharaohs	Pharaohs	0
Butler	Butler	n1	Butler	butler	0
did	did	vdd	did	do	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
apprehension	apprehension	n1	apprehension	apprehension	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
to	to	p-acp	to	to	0
Jo	Jo	np1	Jo	Jo	0
∣	∣	sy	∣	∣	0
seph	seph	n1	seph	seph	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
41.9	41.9	crd	41.9	41.9	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
remember	remember	vvi	remember	remember	0
my	my	po11	my	my	0
faults	faults	n2	faults	fault	0
this	this	d	this	this	0
day	day	n1	day	day	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
dust	dust	n1	dust	dust	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
living	living	j-vvg	living	live	0
Ministers	Ministers	n2	Ministers	minister	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sweat	sweat	n1	sweat	sweat	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
brows	brows	n2	brows	brow	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
testimo	testimo	fw-la	testimo	testimo	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
gain-saying	gain-saying	j	gainsaying	gainsaying	0
people	people	n1	people	people	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
loudly	loudly	av-j	loudly	loud	0
will	will	vmb	will	will	0
the	the	dt	the	the	0
dust	dust	n1	dust	dust	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
dead	dead	j	dead	dead	0
Ministers	Ministers	n2	Ministers	minister	0
grave	grave	j	grave	grave	0
cry	cry	n1	cry	cry	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
!	!	!	!	!	1
Tis	Tis	pn31|vbz	This	it|be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
sorry	sorry	j	sorry	sorry	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
devotion	devotion	n1	devotion	devotion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Jews	Jews	np2	Jews	Jew	0
to	to	pc-acp	to	to	0
paint	paint	vvi	paint	paint	0
the	the	dt	the	the	0
Sepulchres	Sepulchres	n2	Sepulchres	sepulchre	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mend	mend	vvb	mend	mend	0
them	them	pno32	them	they	0
when	when	c-crq	when	when	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
lips	lips	n2	lips	lip	0
,	,	,	,	,	0
whom	whom	r-crq	whom	who	0
living	living	vvg	living	live	0
,	,	,	,	,	0
we	we	pns12	we	we	0
discommended	discommended	vvd	discommended	discommend	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
practise	practise	n1	practice	practice	0
