Madams	Madams	ng1	Madams	madam	0
,	,	,	,	,	0
WEre	WEre	vbdr	WEre	be	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Humility	Humility	n1	Humility	humility	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
publisheth	publisheth	vvz	publisheth	publish	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
graces	graces	n2	graces	grace	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
commands	commands	vvz	commands	command	0
me	me	pno11	me	i	0
silence	silence	n1	silence	silence	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
given	given	vvn	given	give	0
the	the	dt	the	the	0
world	world	n1	world	world	0
a	a	dt	a	a	0
tast	tast	n1	taste	taste	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
holinesse-contemning	holinesse-contemning	j	holinesse-contemning	holinesse-contemning	0
dayes	dayes	n2	days	day	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
relished	relished	vvn	relished	relish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
distast	distast	n1	distaste	distaste	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
look	look	vvi	look	look	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
both	both	d	both	both	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
honour	honour	n1	honour	honour	0
each	each	d	each	each	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
the	the	dt	the	the	0
Mother	Mother	n1	Mother	mother	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Daughter	Daughter	n1	Daughter	daughter	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Daughter	Daughter	n1	Daughter	daughter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
and	and	cc	and	and	0
both	both	d	both	both	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Rachels	Rachels	npg1	Rachels	Rachel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
beautifull	beautifull	j	beautiful	beautiful	0
spouse	spouse	n1	spouse	spouse	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
do	do	vdb	do	do	0
daily	daily	av-j	daily	daily	0
preach	preach	vvi	preach	preach	0
by	by	p-acp	by	by	0
example	example	n1	example	example	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Manuall	Manuall	j	Manual	manual	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
pen	pen	n1	pen	pen	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
if	if	cs	if	if	0
any	any	d	any	any	0
would	would	vmd	would	will	0
know	know	vvi	know	know	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
Christians	Christians	np1	Christians	Christians	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
sick	sick	j	sick	sick	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
season	season	n1	season	season	0
,	,	,	,	,	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
cast	cast	vvi	cast	cast	0
their	their	po32	their	their	0
eyes	eyes	n2	eyes	eye	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
virtues	virtues	n2	virtues	virtue	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
best	best	js	best	best	0
pictures	pictures	n2	pictures	picture	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
draw	draw	vvi	draw	draw	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
out	out	av	out	out	0
my	my	po11	my	my	0
meaning	meaning	n1	meaning	meaning	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
piety	piety	n1	piety	piety	0
,	,	,	,	,	0
mixed	mixed	vvn	mixed	mix	0
with	with	p-acp	with	with	0
prudence	prudence	n1	prudence	prudence	0
and	and	cc	and	and	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
deserve	deserve	vvb	deserve	deserve	0
a	a	dt	a	a	0
never	never	av-x	never	never	0
dying	dying	j-vvg	dying	die	0
name	name	n1	name	name	0
amongst	amongst	p-acp	among	among	0
those	those	d	those	those	0
honorable	honorable	j	honourable	honourable	0
women	women	n2	women	woman	0
,	,	,	,	,	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sacred	sacred	j	sacred	sacred	0
Heraldry	Heraldry	n1	Heraldry	heraldry	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
believed	believed	vvd	believed	believe	0
also	also	av	also	also	0
,	,	,	,	,	0
and	and	cc	and	and	0
received	received	vvd	received	receive	0
the	the	dt	the	the	0
word	word	n1	word	word	0
with	with	p-acp	with	with	0
