VEstrum	VEstrum	np1	VEstrum	VEstrum	0
est	est	zz	est	est	0
imperare	imperare	j	imperare	imperare	0
,	,	,	,	,	0
nostrum	nostrum	fw-la	nostrum	nostrum	0
obsequi	obsequi	fw-la	obsequi	obsequi	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
Commands	Commands	vvz	Commands	command	0
wrap	wrap	vvb	wrap	wrap	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Desires	Desires	n2	Desires	desire	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
sired	sired	vvn	sired	sire	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
,	,	,	,	,	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
tender	tender	vvi	tender	tender	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
ei	ei	vvi	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eares	eares	n2	ears	ear	0
or	or	cc	or	or	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
worth	worth	j	worth	worth	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	cc-acp	but	but	0
most	most	av-ds	most	most	0
readily	readily	av-j	readily	ready	0
tender	tender	j	tender	tender	0
obedience	obedience	n1	obedience	obedience	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mand	mand	vvn	manned	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
