GOD	GOD	np1	GOD	God	0
having	having	vhg	having	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
an	an	dt	and	a	0
object	object	n1	object	object	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
17.31	17.31	crd	17.31	17.31	0
.	.	.	.	.	1
Rom.	Rom.	np1	Rom.	Rom.	0
16.26	16.26	crd	16.26	16.26	0
.	.	.	.	.	1
Mar.	Mar.	np1	Mar.	Mar.	0
16.15	16.15	crd	16.15	16.15	0
.	.	.	.	.	1
Jam.	Jam.	np1	Jam.	Jam.	0
1.18	1.18	crd	1.18	1.18	0
.	.	.	.	.	1
Rom.	Rom.	np1	Rom.	Rom.	0
10.10	10.10	crd	10.10	10.10	0
,	,	,	,	,	0
15.	15.	crd	15.	15.	1
&	&	cc	&	and	0
4.5	4.5	crd	4.5	4.5	0
,	,	,	,	,	0
22	22	crd	22	22	0
,	,	,	,	,	0
25.	25.	crd	25.	25.	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
manded	manded	vvd	manded	mand	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
known	known	vvn	known	know	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
&	&	cc	&	and	0
preach	preach	vvi	preach	preach	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
to	to	pc-acp	to	to	0
all	all	d	all	all	0
Nations	Nations	n2	Nations	nation	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
obe	obe	n1	obe	obe	0
∣	∣	sy	∣	∣	0
dience	dience	n1	dience	dience	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
lieving	lieving	vvg	lieving	lieve	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
begot	begot	vvn	begotten	beget	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
and	and	cc	and	and	0
closeth	closeth	vvz	closeth	close	0
therewith	therewith	av	therewith	therewith	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
rest	rest	vvi	rest	rest	0
thereon	thereon	av	thereon	thereon	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mised	mised	vvn	mised	miss	0
,	,	,	,	,	0
being	being	vbg	being	be	0
therefore	therefore	av	therefore	therefore	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
called	called	vvd	called	call	0
Faith	Faith	n1	Faith	faith	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
Believers	Believers	n2	Believers	believer	0
,	,	,	,	,	0
Faith	Faith	n1	Faith	faith	0
imputed	imputed	vvn	imputed	impute	0
for	for	p-acp	for	for	0
Righteousness	Righteousness	n1	Righteousness	righteousness	0
:	:	:	:	:	0
So	So	av	So	so	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
verily	verily	av-j	verily	very	0
true	true	j	true	true	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
11.6	11.6	crd	11.6	11.6	0
.	.	.	.	.	1
Eph.	Eph.	np1	Eph.	Eph.	0
2.17	2.17	crd	2.17	2.17	0
,	,	,	,	,	0
18.	18.	crd	18.	18.	1
Act.	Act.	n1	Act.	act	0
10.43	10.43	crd	10.43	10.43	0
.	.	.	.	.	1
&	&	cc	&	and	0
13.38	13.38	crd	13.38	13.38	0
,	,	,	,	,	0
39.	39.	crd	39.	39	1
Rom.	Rom.	np1	Rom.	Rom.	0
5.1	5.1	crd	5.1	5.1	0
,	,	,	,	,	0
2	2	crd	2	2	0
,	,	,	,	,	0
3	3	crd	3	3	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	1
Heb.	Heb.	np1	Heb.	Heb.	0
11.2	11.2	crd	11.2	11.2	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
18.26	18.26	crd	18.26	18.26	0
.	.	.	.	.	1
&	&	cc	&	and	0
9.15	9.15	crd	9.15	9.15	0
.	.	.	.	.	1
Rom.	Rom.	np1	Rom.	Rom.	0
11.20	11.20	crd	11.20	11.20	0
.	.	.	.	.	1
Eph.	Eph.	np1	Eph.	Eph.	0
2.8	2.8	crd	2.8	2.8	0
.	.	.	.	.	1
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
15.1	15.1	crd	15.1	15.1	0
,	,	,	,	,	0
4.	4.	crd	4.	4.	0
2	2	crd	2	2	1
Thess.	Thess.	np1	Thess.	Thess.	0
1.10	1.10	crd	1.10	1.10	0
.	.	.	.	.	1
1	1	crd	1	1	0
Job	Job	np1	Job	Job	0
.	.	.	.	.	1
5.10	5.10	crd	5.10	5.10	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
come	come	vvb	come	come	0
and	and	cc	and	and	0
approach	approach	vvi	approach	approach	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
receive	receive	vvb	receive	receive	0
remission	remission	n1	remission	remission	0
of	of	pp-f	of	of	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
justified	justified	vvn	justified	justify	0
and	and	cc	and	and	0
approved	approved	vvn	approved	approve	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
receive	receive	vvb	receive	receive	0
the	the	dt	the	the	0
vertues	vertues	n2	virtues	virtue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
and	and	cc	and	and	0
Blood	Blood	n1	Blood	blood	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
sanctified	sanctified	vvn	sanctified	sanctify	0
and	and	cc	and	and	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
formed	formed	vvn	formed	form	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
stand	stand	vvb	stand	stand	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
receive	receive	vvb	receive	receive	0
the	the	dt	the	the	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
that	that	d	that	that	0
Testimony	Testimony	n1	Testimony	testimony	0
,	,	,	,	,	0
and	and	cc	and	and	0
therein	therein	av	therein	therein	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Spirit	Spirit	n1	Spirit	spirit	0
testifying	testifying	vvg	testifying	testify	0
,	,	,	,	,	0
and	and	cc	and	and	0
Christ	Christ	np1	Christ	Christ	0
testified	testified	vvd	testified	testify	0
of	of	pp-f	of	of	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
heart	heart	n1	heart	heart	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
:	:	:	:	:	0
Eph.	Eph.	np1	Eph.	Eph.	1
3.17	3.17	crd	3.17	3.17	0
.	.	.	.	.	1
Gal.	Gal.	np1	Gal.	Gal.	0
3.26	3.26	crd	3.26	3.26	0
.	.	.	.	.	1
Hab.	Hab.	np1	Hab.	Hab.	0
2.4	2.4	crd	2.4	2.4	0
.	.	.	.	.	1
Rom.	Rom.	np1	Rom.	Rom.	0
1.17	1.17	crd	1.17	1.17	0
.	.	.	.	.	1
Gal.	Gal.	np1	Gal.	Gal.	0
1.13	1.13	crd	1.13	1.13	0
.	.	.	.	.	1
1	1	crd	1	1	0
Joh.	Joh.	np1	Joh.	Joh.	1
5.4	5.4	crd	5.4	5.4	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	1
Heb.	Heb.	np1	Heb.	Heb.	0
11.	11.	crd	11.	11.	0
all	all	d	all	all	0
.	.	.	.	.	1
1	1	crd	1	1	0
Pet.	Pet.	np1	Pet.	Pet.	1
1.5	1.5	crd	1.5	1.5	0
.	.	.	.	.	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
trials	trials	n2	trials	trial	0
and	and	cc	and	and	0
temptations	temptations	n2	temptations	temptation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
live	live	vvb	live	live	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
ctory	ctory	n1	ctory	ctory	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
the	the	dt	the	the	0
world	world	n1	world	world	0
and	and	cc	and	and	0
the	the	dt	the	the	0
devil	devil	n1	devil	devil	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
enabled	enabled	vvn	enabled	enable	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
worthily	worthily	av-j	worthily	worthy	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
generations	generations	n2	generations	generation	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
constant	constant	j	constant	constant	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
vices	vices	n2	vices	vice	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
,	,	,	,	,	0
enduring	enduring	vvg	enduring	endure	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
sufferings	sufferings	n2	sufferings	suffering	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
we	we	pns12	we	we	0
die	die	vvb	die	die	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Resur	Resur	n1	Resur	resur	0
∣	∣	sy	∣	∣	0
rection	rection	n1	rection	rection	0
shall	shall	vmb	shall	shall	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
kept	kept	vvn	kept	keep	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
through	through	p-acp	through	through	0
Faith	Faith	n1	Faith	faith	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
salvation	salvation	n1	salvation	salvation	0
:	:	:	:	:	0
I	I	pns11	I	i	0
therefore	therefore	av	therefore	therefore	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
best	best	js	best	best	0
service	service	n1	service	service	0
and	and	cc	and	and	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
,	,	,	,	,	0
Jude	Jude	np1	Jude	Judas	0
20.3	20.3	crd	20.3	20.3	0
.	.	.	.	.	1
2	2	crd	2	2	0
Tim.	Tim.	np1	Tim.	Tim.	0
4.7	4.7	crd	4.7	4.7	0
,	,	,	,	,	0
8.	8.	crd	8.	8.	1
Eph.	Eph.	np1	Eph.	Eph.	0
4.4	4.4	crd	4.4	4.4	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	0
to	to	p-acp	to	to	0
edifie	edifie	vvi	edify	edify	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
holy	holy	j	holy	holy	0
Faith	Faith	n1	Faith	faith	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
contend	contend	vvi	contend	contend	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
also	also	av	also	also	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
opposers	opposers	n2	opposers	opposer	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
know	know	vvb	know	know	0
this	this	d	this	this	0
Faith	Faith	n1	Faith	faith	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
one	one	pi	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
one	one	crd	one	one	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Faith	Faith	n1	Faith	faith	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
past	past	vvd	passed	pass	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
conceited	conceited	vvn	conceited	conceit	0
divers	divers	j	diverse	diverse	0
kindes	kindes	n2	kinds	kind	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
:	:	:	:	:	0
and	and	cc	and	and	0
now	now	av	now	now	0
lately	lately	av-j	lately	late	0
meeting	meeting	vvg	meeting	meet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Que	Que	fw-fr	Que	que	0
∣	∣	sy	∣	∣	0
stion	stion	n1	scion	scion	0
stated	stated	j-vvn	stated	state	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
asserted	asserted	vvn	asserted	assert	0
two	two	crd	two	two	0
kindes	kindes	n2	kinds	kind	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
each	each	d	each	each	0
true	true	j	true	true	0
and	and	cc	and	and	0
real	real	j	real	real	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Owen	Owen	np1	Owen	Owen	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Book	Book	n1	Book	book	0
entituled	entituled	vvn	entitled	entitle	0
,	,	,	,	,	0
The	The	dt	The	the	0
Do	Do	vdb	Do	do	0
∣	∣	sy	∣	∣	0
ctrine	ctrine	n1	ctrine	ctrine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	ng1	Saints	saint	0
perseverance	perseverance	n1	perseverance	perseverance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
mov'd	mov'd	vvn	moved	move	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
some	some	d	some	some	0
Expressions	Expressions	n2	Expressions	expression	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
leaving	leaving	vvg	leaving	leave	0
the	the	dt	the	the	0
handling	handling	n-vvg	handling	handle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Controversie	Controversie	n1	Controversy	controversy	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
more	more	dc	more	more	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
appertain	appertain	vvi	appertain	appertain	0
;	;	;	;	;	0
acknowledg	acknowledg	vvb	acknowledge	acknowledge	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
all	all	d	all	all	0
for	for	p-acp	for	for	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
that	that	cst	that	that	0
