BEhold	BEhold	vvi	BEhold	behold	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
Christ	Christ	np1	Christ	Christ	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
sum	sum	n1	sum	sum	0
and	and	cc	and	and	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
spel	spel	n1	spell	spell	0
:	:	:	:	:	0
The	The	dt	The	the	0
Priesthood	Priesthood	n1	Priesthood	priesthood	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
main	main	j	main	main	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
contend	contend	vvb	contend	contend	0
for	for	p-acp	for	for	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Papists	Papists	njp2	Papists	papist	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
say	say	vvb	say	say	0
,	,	,	,	,	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
sufficient	sufficient	j	sufficient	sufficient	0
without	without	p-acp	without	without	0
their	their	po32	their	their	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
;	;	;	;	;	0
Charity	Charity	n1	Charity	charity	0
saves	saves	vvz	saves	save	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
one	one	crd	one	one	0
;	;	;	;	;	0
without	without	p-acp	without	without	0
good	good	j	good	good	0
workes	workes	n2	works	work	0
,	,	,	,	,	0
no	no	dx	no	no	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
another	another	j-jn	another	another	0
;	;	;	;	;	0
a	a	dt	a	a	0
third	third	ord	third	three	0
saith	saith	vvz	says	say	0
;	;	;	;	;	0
that	that	d	that	that	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
sufficient	sufficient	j	sufficient	sufficient	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Salvation	Salvation	n1	Salvation	salvation	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
beleeving	beleeving	j-vvg	believing	believe	0
;	;	;	;	;	0
that	that	d	that	that	0
beleeving	beleeving	j-vvg	believing	believe	0
saves	saves	vvz	saves	save	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
beleeving	beleeving	vvg	believing	believe	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
:	:	:	:	:	0
Yee	Yee	pn22	Ye	you	0
see	see	vvb	see	see	0
,	,	,	,	,	0
they	they	pns32	they	they	0
all	all	d	all	all	0
urge	urge	vvb	urge	urge	0
a	a	dt	a	a	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
something	something	pi	something	something	0
for	for	p-acp	for	for	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
Christs	Christs	npg1	Christs	Christ	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
something	something	pi	something	something	0
,	,	,	,	,	0
they	they	pns32	they	they	0
say	say	vvb	say	say	0
,	,	,	,	,	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
dey	dey	n1	day	day	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
deny	deny	vvb	deny	deny	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
doth	doth	vdz	does	do	0
save	save	vvi	save	save	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
saves	saves	vvz	saves	save	0
,	,	,	,	,	0
he	he	pns31	he	he	0
saves	saves	vvz	saves	save	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
:	:	:	:	:	0
Also	Also	av	Also	also	0
if	if	cs	if	if	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
something	something	pi	something	something	0
else	else	av	else	else	0
saves	saves	vvz	saves	save	0
us	us	pno12	us	we	0
,	,	,	,	,	0
Christ	Christ	np1	Christ	Christ	0
saves	saves	vvz	saves	save	0
us	us	pno12	us	we	0
not	not	xx	not	not	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Saviour	Saviour	n1	Saviour	saviour	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
in	in	p-acp	in	in	0
adding	adding	vvg	adding	add	0
something	something	pi	something	something	0
to	to	p-acp	to	to	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
,	,	,	,	,	0
they	they	pns32	they	they	0
deny	deny	vvb	deny	deny	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
their	their	po32	their	their	0
opinions	opinions	n2	opinions	opinion	0
are	are	vbr	are	be	0
dishonourable	dishonourable	j	dishonourable	dishonourable	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
tender	tender	vvb	tender	tender	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
hate	hate	vvi	hate	hate	0
and	and	cc	and	and	0
abhorre	abhorre	vvi	abhor	abhor	0
them	them	pno32	them	they	0
,	,	,	,	,	0
being	being	vbg	being	be	0
enemies	enemies	n2	enemies	enemy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
abominable	abominable	j	abominable	abominable	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
consider	consider	vvb	consider	consider	0
how	how	c-crq	how	how	0
generally	generally	av-j	generally	general	0
these	these	d	these	these	0
are	are	vbr	are	be	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
and	and	cc	and	and	0
scarce	scarce	av-j	scarce	scarce	0
contradicted	contradicted	vvd	contradicted	contradict	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
,	,	,	,	,	0
that	that	cst	that	that	0
beleeving	beleeving	vvg	believing	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
beleeving	beleeving	vvg	believing	believe	0
together	together	av	together	together	0
saves	saves	vvz	saves	save	0
us	us	pno12	us	we	0
:	:	:	:	:	0
sure	sure	j	sure	sure	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
greatly	greatly	av-j	greatly	great	0
stirre	stirre	vvi	stir	stir	0
us	us	pno12	us	we	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
provoke	provoke	vvb	provoke	provoke	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
contend	contend	vvi	contend	contend	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
,	,	,	,	,	0
though	though	cs	though	though	0
our	our	po12	our	our	0
contending	contending	vvg	contending	contend	0
should	should	vmd	should	shall	0
cost	cost	vvi	cost	cost	0
us	us	pno12	us	we	0
our	our	po12	our	our	0
lives	lives	n2	lives	life	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
truth	truth	n1	truth	truth	0
