Length	Length	n1	Length	length	0
of	of	pp-f	of	of	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
Dayes	Dayes	n2	Days	day	0
of	of	pp-f	of	of	0
gladness	gladness	n1	gladness	gladness	0
,	,	,	,	,	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Cal	Cal	vvb	Call	call	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
,	,	,	,	,	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Annointing	Annointing	vvg	Anointing	anoint	0
,	,	,	,	,	0
Light	Light	j	Light	light	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Light	Light	n1	Light	light	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
countenance	countenance	n1	countenance	countenance	0
,	,	,	,	,	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fear	fear	n1	fear	fear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
eternity	eternity	n1	eternity	eternity	0
of	of	pp-f	of	of	0
Bliss	Bliss	n1	Bliss	bliss	0
.	.	.	.	.	1
