Sheweth	Sheweth	vvz	Shows	show	0
.	.	.	.	.	1
THat	THat	cst	THat	that	0
no	no	dx	no	no	0
Government	Government	n1	Government	government	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
just	just	j	just	just	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Constitution	Constitution	n1	Constitution	constitution	0
,	,	,	,	,	0
then	then	cs	then	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
,	,	,	,	,	0
having	having	vhg	having	have	0
its	its	po31	its	its	0
foundation	foundation	n1	foundation	foundation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
free	free	j	free	free	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
govern	govern	vvb	govern	govern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
safety	safety	n1	safety	safety	0
and	and	cc	and	and	0
freedme	freedme	n2	freedme	freedme	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
governed	governed	vvn	governed	govern	0
,	,	,	,	,	0
even	even	av	even	even	0
so	so	av	so	so	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
times	times	n2	times	time	0
have	have	vhb	have	have	0
manife	manife	n1	manife	manife	0
∣	∣	sy	∣	∣	0
sted	sted	n1	stead	stead	0
most	most	av-ds	most	most	0
hearty	hearty	j	hearty	hearty	0
affections	affections	n2	affections	affection	0
unto	unto	p-acp	unto	unto	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
proper	proper	j	proper	proper	0
remedies	remedies	n2	remedies	remedy	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
grievances	grievances	n2	grievances	grievance	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
such	such	d	such	such	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
pollicy	pollicy	n1	policy	policy	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
have	have	vhb	have	have	0
indeavoured	indeavoured	vvn	endeavoured	endeavour	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
bondage	bondage	n1	bondage	bondage	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
an	an	dt	and	a	0
all	all	d	all	all	0
times	times	n2	times	time	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
dsuse	dsuse	n1	dsuse	dsuse	0
or	or	cc	or	or	0
abuse	abuse	n1	abuse	abuse	0
of	of	pp-f	of	of	0
Par	Par	np1	Par	Par	0
∣	∣	sy	∣	∣	0
liaments	liaments	n2	liaments	liament	0
,	,	,	,	,	0
deprived	deprived	vvd	deprived	deprive	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
hopes	hopes	n2	hope's	hope	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
testimony	testimony	n1	testimony	testimony	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
the	the	dt	the	the	0
late	late	j	late	late	0
times	times	n2	times	time	0
foregoing	foregoing	vvg	foregoing	forego	0
this	this	d	this	this	0
Parliament	Parliament	n1	Parliament	parliament	0
will	will	vmb	will	will	0
sadly	sadly	av-j	sadly	sad	0
witnesse	witnesse	vvi	witness	witness	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
'twas	'twas	pn31|vbds	'twas	it|be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
crime	crime	n1	crime	crime	0
to	to	pc-acp	to	to	0
mention	mention	vvi	mention	mention	0
a	a	dt	a	a	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
either	either	d	either	either	0
the	the	dt	the	the	0
pretended	pretended	vvn	pretended	pretend	0
Ne	Ne	ccx	Ne	ne	0
∣	∣	sy	∣	∣	0
gative	gative	n1	gative	gative	0
voice	voice	n1	voice	voice	0
(	(	(	(	(	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
destructive	destructive	j	destructive	destructive	0
to	to	p-acp	to	to	0
freedome	freedome	n1	freedom	freedom	0
)	)	)	)	)	0
or	or	cc	or	or	0
a	a	dt	a	a	0
speedy	speedy	j	speedy	speedy	0
dissolution	dissolution	n1	dissolution	dissolution	0
blasted	blasted	vvn	blasted	blast	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Land	Land	n1	Land	land	0
was	was	vbds	was	be	0
over	over	a-acp	over	over	0
∣	∣	sy	∣	∣	0
spread	spread	vvn	spread	spread	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
oppression	oppression	n1	oppression	oppression	0
and	and	cc	and	and	0
tyranny	tyranny	n1	tyranny	tyranny	0
,	,	,	,	,	0
extending	extending	vvg	extending	extend	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
soule	soule	n1	soul	soul	0
and	and	cc	and	and	0
body	body	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
rooted	rooted	vvn	rooted	root	0
and	and	cc	and	and	0
setled	setled	vvn	settled	settle	0
a	a	dt	a	a	0
way	way	n1	way	way	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
complaint	complaint	n1	complaint	complaint	0
of	of	pp-f	of	of	0
