Renowned	Renowned	j-vvn	Renowned	renown	0
Worthies	Worthies	n2-j	Worthies	worthy	0
,	,	,	,	,	0
WHat	WHat	q-crq	WHat	what	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
eares	eares	n2	ears	ear	0
,	,	,	,	,	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
now	now	av	now	now	0
sends	sends	vvz	sends	send	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
;	;	;	;	;	0
the	the	dt	the	the	0
good	good	j	good	good	0
God	God	np1	God	God	0
send	send	vvi	send	send	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
lives	lives	n2	lives	life	0
;	;	;	;	;	0
the	the	dt	the	the	0
Argument	Argument	n1	Argument	argument	0
is	is	vbz	is	be	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
eares	eares	n2	ears	ear	0
,	,	,	,	,	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
,	,	,	,	,	0
God	God	np1	God	God	0
and	and	cc	and	and	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sweetest	sweetest	js	sweetest	sweet	0
,	,	,	,	,	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
thoughts	thoughts	n2	thoughts	thought	0
have	have	vhb	have	have	0
need	need	n1	need	need	0
enough	enough	av-d	enough	enough	0
of	of	pp-f	of	of	0
high	high	j	high	high	0
and	and	cc	and	and	0
heart	heart	n1	heart	heart	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
work	work	n1	work	work	0
that	that	cst	that	that	0
a	a	dt	a	a	0
gracious	gracious	j	gracious	gracious	0
Providence	Providence	n1	Providence	providence	0
hath	hath	vhz	hath	have	0
ingaged	ingaged	vvn	engaged	engage	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
high	high	j	high	high	0
concernment	concernment	n1	concernment	concernment	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
oppositions	oppositions	n2	oppositions	opposition	0
you	you	pn22	you	you	0
meet	meet	vvb	meet	meet	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
are	are	vbr	are	be	0
high	high	j	high	high	0
also	also	av	also	also	0
:	:	:	:	:	0
The	The	dt	The	the	0
buil	buil	n1	buil	buil	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Temple	Temple	n1	Temple	temple	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
,	,	,	,	,	0
