DEarly	DEarly	av-jn	DEarly	dear	0
Beloved	Beloved	vvn	Beloved	belove	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
Select	Select	j	Select	select	0
Jewes	Jewes	np2	Jewes	Jew	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
rising	rising	j-vvg	rising	rise	0
glory	glory	n1	glory	glory	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Arorau	Arorau	np1	Arorau	Arorau	0
in	in	p-acp	in	in	0
his-beautiest	his-beautiest	j	his-beautiest	his-beauty	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
this	this	d	this	this	0
Epistle	Epistle	n1	Epistle	epistle	0
Dedi	Dedi	fw-la	Dedi	dedi	0
∣	∣	sy	∣	∣	0
catory	catory	j	catory	catory	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
beauty	beauty	n1	beauty	beauty	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
select	select	j	select	select	0
unity	unity	n1	unity	unity	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Evangelical	Evangelical	np1	Evangelical	Evangelical	0
Scene	Scene	n1	Scene	scene	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	av	the	then	0
cre	cre	c-acp	credit	ere	0
∣	∣	sy	∣	∣	0
ated	ated	j	ated	ated	0
voyce	voyce	n1	voice	voice	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Scene	Scene	n1	Scene	scene	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Source	Source	n1	Source	source	0
or	or	cc	or	or	0
Assome	Assome	n1	Assome	assome	0
bottom	bottom	n1	bottom	bottom	0
abbiss	abbiss	vvi	abbiss	abbiss	0
bottomless	bottomless	j	bottomless	bottomless	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Makzims	Makzims	av	Makzims	makzims	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
full	full	j	full	full	0
import	import	n1	import	import	0
weigh'd	weigh'd	vvn	weighed	weigh	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
less	less	dc	less	less	0
then	then	cs	then	than	0
the	the	dt	the	the	0
abbss	abbss	j	abbss	abbss	0
Deity	Deity	n1	Deity	deity	0
.	.	.	.	.	1
So	So	np1	So	So	0
beloved	beloved	vvn	beloved	belove	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
body	body	n1	body	body	0
,	,	,	,	,	0
my	my	po11	my	my	0
eye	eye	n1	eye	eye	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scene	Scene	n1	Scene	scene	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Deity	Deity	n1	Deity	deity	0
;	;	;	;	;	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
I	I	pns11	I	i	0
reflect	reflect	vvb	reflect	reflect	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
dead	dead	j	dead	dead	0
corporality	corporality	n1	corporality	corporality	0
;	;	;	;	;	0
Essiam	Essiam	fw-la	Essiam	essiam	0
quia	quia	fw-la	quia	quia	0
caelum	caelum	fw-la	caelum	caelum	0
non	non	fw-la	non	non	0
terra	terra	fw-la	terra	terra	0
in	in	p-acp	in	in	0
etate	etate	vvi	etate	etate	0
.	.	.	.	.	1
Beloved	Beloved	j-vvn	Beloved	belove	0
,	,	,	,	,	0
these	these	d	these	these	0
confounding	confounding	j-vvg	confounding	confound	0
Makzims	Makzims	n2	Makzims	makzim	0
are	are	vbr	are	be	0
let	let	vvn	let	let	0
down	down	a-acp	down	down	0
to	to	pc-acp	to	to	0
confound	confound	vvi	confound	confound	0
the	the	dt	the	the	0
wisdom	wisdom	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
wise	wise	n1	wise	wise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
simple	simple	j	simple	simple	0
age	age	n1	age	age	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
restoration	restoration	n1	restoration	restoration	0
is	is	vbz	is	be	0
sounded	sounded	vvn	sounded	sound	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
return	return	n1	return	return	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Captivity	Captivity	n1	Captivity	captivity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Jewes	Jewes	np2	Jewes	Jew	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
again	again	av	again	again	0
Building	Building	j-vvg	Building	build	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
so	so	av	so	so	0
impossible	impossible	j	impossible	impossible	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
unto	unto	p-acp	unto	unto	0
men	men	n2	men	man	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
liveth	liveth	vvz	lives	live	0
for	for	p-acp	for	for	0
evermore	evermore	av	evermore	evermore	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
accomplish	accomplish	vvi	accomplish	accomplish	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
;	;	;	;	;	0
unto	unto	p-acp	unto	unto	0
which	which	r-crq	which	which	0
verification	verification	n1	verification	verification	0
I	I	pns11	I	i	0
subscribe	subscribe	vvb	subscribe	subscribe	0
my	my	po11	my	my	0
name	name	n1	name	name	0
Theauraujohn	Theauraujohn	np1	Theauraujohn	Theauraujohn	0
High-Priest	High-Priest	n1	High-Priest	high-priest	0
and	and	cc	and	and	0
RECORDER	RECORDER	n1	RECORDER	recorder	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
thirteen	thirteen	crd	thirteen	thirteen	0
Tribes	Tribes	n2	Tribes	tribe	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Jewes	Jewes	np2	Jewes	Jew	0
.	.	.	.	.	1
Dearly	Dearly	av-jn	Dearly	dear	0
beloved	beloved	j-vvn	beloved	belove	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
both	both	d	both	both	0
Jewes	Jewes	np2	Jewes	Jew	0
and	and	cc	and	and	0
Gentiles	Gentiles	np1	Gentiles	Gentiles	0
,	,	,	,	,	0
the	the	dt	the	the	0
Assome	Assome	n1	Assome	assome	0
Ab	Ab	fw-la	Ab	ab	0
∣	∣	sy	∣	∣	0
biss	biss	fw-ge	biss	biss	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
declarative	declarative	n1	declarative	declarative	0
,	,	,	,	,	0
it	it	pn31	it	it	0
reaches	reaches	vvz	reaches	reach	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
includement	includement	n1	includement	includement	0
the	the	dt	the	the	0
celestial	celestial	j	celestial	celestial	0
center	center	n1	centre	centre	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
voyce	voyce	n1	voice	voice	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
Scene	Scene	n1	Scene	scene	0
of	of	pp-f	of	of	0
Angels	Angels	n2	Angels	angel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
perfectest	perfectest	js	perfectest	perfect	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fection	fection	n1	fection	fection	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scene	Scene	n1	Scene	scene	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Deity	Deity	n1	Deity	deity	0
.	.	.	.	.	1
O	O	sy	O	o	0
Beloved	Beloved	j-vvn	Beloved	belove	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
weighed	weighed	vvn	weighed	weigh	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
ponderous	ponderous	j	ponderous	ponderous	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
behold	behold	vvi	behold	behold	0
my	my	po11	my	my	0
Scene	Scene	n1	Scene	scene	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Phiriattical	Phiriattical	j	Phiriattical	phiriattical	0
expression	expression	n1	expression	expression	0
,	,	,	,	,	0
I	I	pns11	I	i	0
denote	denote	vvb	denote	denote	0
the	the	dt	the	the	0
illusterious	illusterious	j	illusterious	illusterious	0
beauty	beauty	n1	beauty	beauty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Abbiss	Abbiss	n1	Abbiss	abbiss	0
Deitie	Deitie	n1	Deity	deity	0
.	.	.	.	.	1
O	O	sy	O	o	0
Halliluiah	Halliluiah	np1	Halliluiah	Halliluiah	0
ori	ori	fw-la	ori	ori	0
am	am	dt	am	a	0
assi	assi	fw-fr	assi	assi	0
selat	selat	n1	selat	selat	0
oramus	oramus	fw-la	oramus	oramus	0
voce	voce	fw-mi	voce	voce	0
:	:	:	:	:	0
The	The	dt	The	the	0
English	English	jp	English	english	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
dark	dark	j	dark	dark	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
to	to	p-acp	to	to	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
comparison	comparison	n1	comparison	comparison	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
state	state	n1	state	state	0
