GIve	GIve	vvb	GIve	give	0
me	me	pno11	me	i	0
leave	leave	vvi	leave	leave	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
and	and	cc	and	and	0
renowned	renowned	j-vvn	renowned	renown	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
ye	ye	pn22	you	you	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
Major	Major	j	Major	major	0
,	,	,	,	,	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
Aldermen	Aldermen	n2	Aldermen	alderman	0
,	,	,	,	,	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
Common-Councell	Common-Councell	n1	Common-Councell	common-council	0
and	and	cc	and	and	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
moners	moners	n2	moners	moner	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
congratulate	congratulate	vvi	congratulate	congratulate	0
and	and	cc	and	and	0
rejoice	rejoice	vvi	rejoice	rejoice	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
honour	honour	n1	honour	honour	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
laid	laid	vvn	laid	lay	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
daies	daies	n2	days	day	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
confusion	confusion	n1	confusion	confusion	0
.	.	.	.	.	1
You	You	pn22	You	you	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
guard	guard	n1	guard	guard	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
great	great	j	great	great	0
things	things	n2	things	thing	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
safety	safety	n1	safety	safety	0
and	and	cc	and	and	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
three	three	crd	three	three	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
free	free	j	free	free	0
contributions	contributions	n2	contributions	contribution	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
wealth	wealth	n1	wealth	wealth	0
and	and	cc	and	and	0
substance	substance	n1	substance	substance	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
sinews	sinews	n2	sinews	sinew	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
undertaken	undertaken	vvn	undertaken	undertake	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Laws	Laws	n2	Laws	law	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
.	.	.	.	.	1
Few	Few	np1	Few	Few	0
Counties	Counties	np1	Counties	Counties	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
much	much	av-d	much	much	0
lesse	lesse	av-dc	less	less	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
encouraged	encouraged	vvn	encouraged	encourage	0
,	,	,	,	,	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
on	on	p-acp	on	on	0
work	work	n1	work	work	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
example	example	n1	example	example	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
bul	bul	n1	bull	bull	0
∣	∣	sy	∣	∣	0
wark	wark	n1	work	work	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
terrified	terrified	vvn	terrified	terrify	0
from	from	p-acp	from	from	0
invading	invading	vvg	invading	invade	0
them	them	pno32	them	they	0
.	.	.	.	.	1
All	All	av-d	All	all	0
the	the	dt	the	the	0
associated	associated	vvn	associated	associate	0
Counties	Counties	n2	Counties	county	0
have	have	vhb	have	have	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
vicinity	vicinity	n1	vicinity	vicinity	0
and	and	cc	and	and	0
neighbour-hood	neighbour-hood	n1	neighbourhood	neighbourhood	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
And	And	cc	And	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
,	,	,	,	,	0
If	If	cs	If	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
helped	helped	vvn	helped	help	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Forces	Forces	n2	Forces	force	0
,	,	,	,	,	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
supplies	supplies	n2	supplies	supply	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
and	and	cc	and	and	0
money	money	n1	money	money	0
from	from	p-acp	from	from	0
London	London	np1	London	London	0
,	,	,	,	,	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
utterly	utterly	av-j	utterly	utter	0
destroied	destroied	vvn	destroyed	destroy	0
and	and	cc	and	and	0
laid	laid	vvn	laid	lay	0
waste	waste	n1	waste	waste	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
glory	glory	n1	glory	glory	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
stowed	stowed	vvn	stowed	stow	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
,	,	,	,	,	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
courage	courage	n1	courage	courage	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
Christian	Christian	njp	Christian	christian	0
Religion	Religion	n1	Religion	religion	0
;	;	;	;	;	0
your	your	po22	your	your	0
earnest	earnest	j	earnest	earnest	0
study	study	n1	study	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
