WHat	WHat	q-crq	WHat	what	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
the	the	dt	the	the	0
drifte	drifte	n1	drift	drift	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
doctrine	doctrine	n1	doctrine	doctrine	0
sen	sen	fw-la	sen	sen	0
god	god	n1	god	god	0
placed	placed	vvd	placed	place	0
mee	mee	pno11	me	i	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
mong	mong	p-acp	mong	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
wel	wel	av	well	well	0
∣	∣	sy	∣	∣	0
beloued	beloued	vvn	beloved	belove	0
in	in	p-acp	in	in	0
Christe	Christe	np1	Christe	Christe	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
yee	yee	pn22	ye	you	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
seing	seing	vvg	sing	sing	0
with	with	p-acp	with	with	0
out	out	av	out	out	0
excellencie	excellencie	n1	excellency	excellency	0
of	of	pp-f	of	of	0
wordes	wordes	n2	words	word	0
and	and	cc	and	and	0
all	all	d	all	all	0
curiositie	curiositie	n1	curiosity	curiosity	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
moste	moste	ds	most	most	0
plaine	plaine	j	plain	plain	0
sorte	sorte	n1	sort	sort	0
ofter	ofter	jc	ofter	oft	0
my	my	po11	my	my	0
familiar	familiar	j-jn	familiar	familiar	0
maner	maner	n1	manner	manner	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shew	shew	vvb	show	show	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
Testimonie	Testimonie	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
esteeming	esteeming	vvg	esteeming	esteem	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
nye	nye	av	nigh	nigh	0
thinge	thinge	n1	thing	thing	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
A	A	sy	A	a	0
∣	∣	sy	∣	∣	0
postle	postle	n1	postle	postle	0
sayeth	sayeth	vvz	sayeth	say	0
,	,	,	,	,	0
saue	saue	p-acp	save	save	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
crucified	crucified	vvd	crucified	crucify	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
whilk	whilk	n1	whilk	whilk	0
purpose	purpose	vvb	purpose	purpose	0
this	this	d	this	this	0
daye	daye	n1	day	day	0
seauen	seauen	crd	seauen	seven	0
yeare	yeare	n1	year	year	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
;	;	;	;	;	0
the	the	dt	the	the	0
16.	16.	crd	16.	16.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Nouem	Nouem	np1	Nouem	Nouem	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
1595.	1595.	crd	1595.	1595.	0
the	the	dt	the	the	0
firste	firste	ord	firste	first	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
spake	spake	vvd	spoke	speak	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
choise	choise	n1	choice	choice	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
