Honoured	Honoured	j-vvn	Honoured	honour	0
Patriots	Patriots	n2	Patriots	patriot	0
,	,	,	,	,	0
VVHen	VVHen	q-crq	When	when	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
Call	Call	vvi	Call	call	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
Preach	Preach	vvi	Preach	preach	0
this	this	d	this	this	0
publick	publick	j	public	public	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
insufficiency	insufficiency	n1	insufficiency	insufficiency	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
work	work	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
crowd	crowd	n1	crowd	crowd	0
of	of	pp-f	of	of	0
business	business	n1	business	business	0
that	that	cst	that	that	0
then	then	av	then	then	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
looked	looked	vvd	looked	look	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Call	Call	n1	Call	call	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Call	Call	n1	Call	call	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
submitted	submitted	vvd	submitted	submit	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
God	God	np1	God	God	0
doth	doth	vdz	does	do	0
often	often	av	often	often	0
use	use	vvi	use	use	0
weak	weak	j	weak	weak	0
and	and	cc	and	and	0
worthless	worthless	j	worthless	worthless	0
Instruments	Instruments	n2	Instruments	instrument	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
his	his	png31	his	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
ours	ours	png12	ours	we	0
:	:	:	:	:	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
further	further	av-jc	further	further	0
encouraged	encouraged	vvn	encouraged	encourage	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
you	you	pn22	you	you	0
like	like	av-j	like	like	0
Hezekiah	Hezekiah	np1	Hezekiah	Hezekiah	0
,	,	,	,	,	0
speaking	speaking	vvg	speaking	speak	0
comfortably	comfortably	av-j	comfortably	comfortable	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
that	that	cst	that	that	0
teach	teach	vvb	teach	teach	0
the	the	dt	the	the	0
good	good	j	good	good	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
The	The	dt	The	the	0
Printing	Printing	vvg	Printing	print	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Studying	Studying	vvg	Studying	study	0
and	and	cc	and	and	0
Preaching	Preaching	vvg	Preaching	preach	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
is	is	vbz	is	be	0
useless	useless	j	useless	useless	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
the	the	dt	the	the	0
dress	dress	n1	dress	dress	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
too	too	av	too	too	0
uncomely	uncomely	j	uncomely	uncomely	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
liked	liked	vvn	liked	like	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
either	either	d	either	either	0
curious	curious	j	curious	curious	0
or	or	cc	or	or	0
captious	captious	j	captious	captious	0
.	.	.	.	.	1
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
why	why	c-crq	why	why	0
you	you	pn22	you	you	0
ordered	ordered	vvd	ordered	order	0
the	the	dt	the	the	0
Printing	Printing	vvg	Printing	print	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
was	was	vbds	was	be	0
,	,	,	,	,	0
Because	Because	c-acp	Because	because	0
you	you	pn22	you	you	0
judged	judged	vvd	judged	judge	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
seasonable	seasonable	j	seasonable	seasonable	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
profitable	profitable	j	profitable	profitable	0
;	;	;	;	;	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
the	the	dt	the	the	0
timing	timing	vvg	timing	time	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
proper	proper	j	proper	proper	0
season	season	n1	season	season	0
,	,	,	,	,	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
acts	acts	n2	acts	act	0
of	of	pp-f	of	of	0
practicall	practicall	j	practical	practical	0
