WHo	WHo	q-crq	WHo	who	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
dearly	dearly	av-jn	dearly	dear	0
Be	Be	vbb	Be	be	0
∣	∣	sy	∣	∣	0
loued	loued	j-vvn	loved	love	0
,	,	,	,	,	0
Worthy	Worthy	j	Worthy	worthy	0
and	and	cc	and	and	0
Constant	Constant	j	Constant	constant	0
CA	CA	zz	CA	ca	0
∣	∣	sy	∣	∣	0
THOLIKES	THOLIKES	njp2	THOLIKES	tholikes	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
this	this	d	this	this	0
third	third	ord	third	three	0
Part	Part	n1	Part	part	0
,	,	,	,	,	0
or	or	cc	or	or	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Works	Works	vvz	Works	work	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
chiefly	chiefly	av-jn	chiefly	chief	0
,	,	,	,	,	0
and	and	cc	and	and	0
principally	principally	av-j	principally	principal	0
belonge	belonge	vvb	belong	belong	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Catholiks	Catholiks	njp2	Catholics	catholics	0
in	in	p-acp	in	in	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hauing	hauing	vhg	having	have	0
receaued	receaued	vvn	received	receive	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
Religiō	Religiō	n1	Religion	religion	0
vniuersally	vniuersally	av-j	universally	universal	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
(	(	(	(	(	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	j	very	very	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
third	third	ord	third	three	0
Age	Age	n1	Age	age	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
persō	persō	n1	person	person	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Donald	Donald	np1	Donald	Donald	0
▪	▪	▪	▪	▪	0
your	your	po22	your	your	0
first	first	ord	first	first	0
Christian	Christian	np1	Christian	Christian	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Nobility	Nobility	n1	Nobility	nobility	0
,	,	,	,	,	0
you	you	pn22	you	you	0
being	being	vbg	being	be	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
renowned	renowned	j-vvn	renowned	renown	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
Of-spring	Of-spring	n1	Offspring	offspring	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
ancestours	ancestours	n2	ancestors	ancestor	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
glorious	glorious	j	glorious	glorious	0
posterity	posterity	n1	posterity	posterity	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
famous	famous	j	famous	famous	0
antiquity	antiquity	n1	antiquity	antiquity	0
,	,	,	,	,	0
whome	whome	r-crq	whom	who	0
future	future	j-jn	future	future	0
ages	ages	n2	ages	age	0
will	will	vmb	will	will	0
iustly	iustly	av-j	justly	just	0
