SEN	SEN	np1	SEN	Sen	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reformatione	Reformatione	n1	Reformation	reformation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kirk	Kirk	np1	Kirk	Kirk	0
of	of	pp-f	of	of	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
trew	trew	j	true	true	0
Christiane	Christiane	np1	Christiane	Christiane	0
Reli	Reli	fw-la	Reli	reli	0
∣	∣	sy	∣	∣	0
gione	gione	n1	gione	gione	0
,	,	,	,	,	0
amangis	amangis	fw-la	amangis	amangis	0
all	all	d	all	all	0
vther	vther	n-jn	uther	uth	0
thingis	thingis	n2	things	thing	0
that	that	cst	that	that	0
ʒour	ʒour	n1	ʒour	ʒour	0
L.	L.	np1	L.	L.	0
Tauellitan	Tauellitan	jp	Tauellitan	tauellitan	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
furthsetting	furthsetting	n1	furthsetting	furthsetting	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hard	hard	vvd	heard	hear	0
nocht	nocht	pix	nought	nought	0
ʒour	ʒour	n1	ʒour	ʒour	0
Lmair	Lmair	np1	Lmair	Lmair	0
effectiusly	effectiusly	av-j	effectiusly	effectius	0
desyre	desyre	vvi	desire	desire	0
ony	ony	av-j	only	only	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
than	than	cs	than	than	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
wald	wald	vvn	walled	wall	0
make	make	vvi	make	make	0
ane	ane	j	ane	ane	0
Answer	Answer	n1	Answer	answer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lytle	lytle	j	little	little	0
Burk	Burk	np1	Burk	Burk	0
,	,	,	,	,	0
set	set	vvd	set	set	0
furth	furth	av	forth	forth	0
be	be	vbi	be	be	0
Maister	Maister	n1	Master	master	0
Quintine	Quintine	njp	Quintine	quintine	0
Kennedy	Kennedy	np1	Kennedy	Kennedy	0
Commendatare	Commendatare	fw-la	Commendatare	commendatare	0
,	,	,	,	,	0
Abbote	Abbote	n1	Abbot	abbot	0
of	of	pp-f	of	of	0
Crosraguell	Crosraguell	n1	Crosraguell	crosraguell	0
:	:	:	:	:	0
(	(	(	(	(	0
inseriuit	inseriuit	fw-la	inseriuit	inseriuit	0
ane	ane	fw-la	ane	ane	0
Compendius	Compendius	np1	Compendius	Compendius	0
ractiue	ractiue	j	ractiue	ractiue	0
conferme	conferme	vvi	confirm	confirm	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
turs	turs	ng1	turs	turs	0
of	of	pp-f	of	of	0
Alychty	Alychty	np1	Alychty	Alychty	0
God	God	np1	God	God	0
,	,	,	,	,	0
reasone	reasone	n1	reason	reason	0
and	and	cc	and	and	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
declaring	declaring	vvg	declaring	declare	0
the	the	dt	the	the	0
narrest	narrest	vv2	narrest	nar	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
way	way	n1	way	way	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
establische	establische	vvi	establische	establische	0
the	the	dt	the	the	0
conscience	conscience	n1	conscience	conscience	0
of	of	pp-f	of	of	0
ane	ane	j	ane	ane	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stiane	stiane	n1	stiane	stiane	0
man	man	n1	man	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
maters	maters	n2	maters	matter	0
quhilks	quhilks	n2	quhilks	quhilk	0
ar	ar	vbr	are	be	0
in	in	p-acp	in	in	0
debait	debait	n1	debate	debate	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
Faith	Faith	n1	Faith	faith	0
and	and	cc	and	and	0
Religione	Religione	n1	Religion	religion	0
)	)	)	)	)	0
Quhareby	Quhareby	np1	Quhareby	Quhareby	0
thare	thare	zz	thare	thare	0
hes	hes	zz	hes	hes	0
bene	bene	vbi	be	be	0
mony	mony	n1	money	money	0
mouit	mouit	n1	movit	movit	0
to	to	pc-acp	to	to	0
continew	continew	vvi	continue	continue	0
still	still	av	still	still	0
in	in	p-acp	in	in	0
thare	thare	a-acp	there	there	0
auld	auld	j	old	old	0
superstitione	superstitione	n1	superstition	superstition	0
and	and	cc	and	and	0
Idolatrie	Idolatrie	n1	Idolatry	idolatry	0
,	,	,	,	,	0
throw	throw	vvb	throw	throw	0
the	the	dt	the	the	0
reasonis	reasonis	n2	reasons	reason	0
contenit	contenit	fw-la	contenit	contenit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
quha	quha	n1	quha	quha	0
had	had	vhd	had	have	0
imbracit	imbracit	fw-la	imbracit	imbracit	0
the	the	dt	the	the	0
sincere	sincere	j	sincere	sincere	0
,	,	,	,	,	0
and	and	cc	and	and	0
trew	trew	j	true	true	0
Religione	Religione	n1	Religion	religion	0
of	of	pp-f	of	of	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
or	or	cc	or	or	0
thir	thir	po32	their	their	0
davis	davis	n2	davis	davi	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
supprest	supprest	vvn	suppressed	suppress	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
infancie	infancie	n1	infancy	infancy	0
,	,	,	,	,	0
quhilk	quhilk	n1	quhilk	quhilk	0
wald	wald	vvn	walled	wall	0
haue	haue	vhb	have	have	0
brocht	brocht	vvn	brought	bring	0
baith	baith	n1	baith	baith	0
qui	qui	fw-fr	qui	qui	0
∣	∣	sy	∣	∣	0
etnes	etnes	n1	etnes	etnes	0
to	to	p-acp	to	to	0
mony	mony	n1	money	money	0
ane	ane	vvb	ane	ane	0
in	in	p-acp	in	in	0
thare	thare	a-acp	there	there	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
and	and	cc	and	and	0
commone	commone	j	common	common	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
amitie	amitie	n1	amity	amity	0
amangis	amangis	fw-la	amangis	amangis	0
the	the	dt	the	the	0
inhabitantes	inhabitantes	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
countrie	countrie	n1	country	country	0
.	.	.	.	.	1
And	And	cc	And	and	0
quhowbeit	quhowbeit	vvb	quhowbeit	quhowbeit	0
my	my	po11	my	my	0
inhabilitie	inhabilitie	n1	inhability	inhability	0
dissuadit	dissuadit	fw-la	dissuadit	dissuadit	0
me	me	pno11	me	i	0
fra	fra	p-acp	from	from	0
