¶	¶	¶	¶	¶	0
To	To	pc-acp	To	to	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
Wor	Wor	zz	Wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
,	,	,	,	,	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ladie	Ladie	n1	Lady	lady	0
Anne	Anne	np1	Anne	Anne	0
Fleetwood	Fleetwood	np1	Fleetwood	Fleetwood	0
,	,	,	,	,	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
Luke	Luke	np1	Luke	Luke	0
,	,	,	,	,	0
and	and	cc	and	and	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
Dive	Dive	vvb	Dive	dive	0
,	,	,	,	,	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
cōsider	cōsider	vvi	consider	consider	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
and	and	cc	and	and	0
ver	ver	fw-la	ver	ver	0
∣	∣	sy	∣	∣	0
tuous	tuous	j	tuous	tuous	0
Ladies	Ladies	np1	Ladies	Ladies	0
)	)	)	)	)	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
GOD	GOD	np1	GOD	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
vs	vs	pno12	us	we	0
wher	wher	c-crq	where	where	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
proceede	proceede	vvi	proceed	proceed	0
in	in	p-acp	in	in	0
pietie	pietie	n1	piety	piety	0
and	and	cc	and	and	0
godli	godli	j	godly	godly	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
againe	againe	av	again	again	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
∣	∣	sy	∣	∣	0
side	side	n1	side	side	0
,	,	,	,	,	0
I	I	pns11	I	i	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
little	little	j	little	little	0
pietie	pietie	n1	piety	piety	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
a	a	pns31	a	he	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
men	men	n2	men	man	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
bewaile	bewaile	vvi	bewail	bewail	0
the	the	dt	the	the	0
times	times	n2	times	time	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
Tullie	Tullie	np1	Tullie	Tully	0
the	the	dt	the	the	0
heathen	heathen	j-jn	heathen	heathen	0
man	man	n1	man	man	0
said	said	vvd	said	say	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
time	time	n1	time	time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
age	age	n1	age	age	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
ea	ea	fw-la	ea	ea	0
tempora	tempora	fw-la	tempora	tempora	0
incidit	incidit	fw-la	incidit	incidit	0
aetas	aetas	n2	aetas	aeta	0
nostra	nostra	fw-la	nostra	nostra	0
vt	vt	fw-la	vt	ut	0
cum	cum	fw-la	cum	cum	0
maximè	maximè	fw-la	maximè	maximè	0
florere	florere	fw-la	florere	florere	0
nos	nos	fw-la	nos	nos	0
