THough	THough	cs	THough	though	0
the	the	dt	the	the	0
Vo	Vo	crd	Vo	vo	0
∣	∣	sy	∣	∣	0
lume	lume	n1	lume	lume	0
be	be	vbi	be	be	0
little	little	j	little	little	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
leaues	leaues	n2	leaves	leaf	0
but	but	p-acp	but	but	0
fewe	fewe	d	few	few	0
,	,	,	,	,	0
I	I	pns11	I	i	0
here	here	av	here	here	0
offer	offer	vvi	offer	offer	0
,	,	,	,	,	0
either	either	av-d	either	either	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
dutie	dutie	n1	duty	duty	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
vnfolde	vnfolde	vvi	unfold	unfold	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
nie	nie	zz	nie	nie	0
project	project	n1	project	project	0
worthy	worthy	j	worthy	worthy	0
your	your	po22	your	your	0
iu	iu	j-jn	ju	junior	0
∣	∣	sy	∣	∣	0
dicious	dicious	j	dicious	dicious	0
eye	eye	n1	eye	eye	0
and	and	cc	and	and	0
censure	censure	n1	censure	censure	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
subiect	subiect	j-jn	subject	subject	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
is	is	vbz	is	be	0
sutable	sutable	j	suitable	suitable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
calling	calling	vvg	calling	call	0
,	,	,	,	,	0
Pardon	Pardon	vvb	Pardon	pardon	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
patience	patience	n1	patience	patience	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
craue	craue	vvb	crave	crave	0
pa	pa	n1	pa	pa	0
∣	∣	sy	∣	∣	0
tronage	tronage	n1	tronage	tronage	0
.	.	.	.	.	1
The	The	dt	The	the	0
booke	booke	n1	book	book	0
Iohn	Iohn	np1	Iohn	John	0
took	took	vvd	took	take	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Angels	Angels	ng1	Angels	angel	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
was	was	vbds	was	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
one	one	pi	one	one	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
was	was	vbds	was	be	0
it	it	pn31	it	it	0
passionate	passionate	j	passionate	passionate	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eating	eating	n-vvg	eating	eat	0
,	,	,	,	,	0
sweet	sweet	j	sweet	sweet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
bit	bit	vvd	bit	bite	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bellie	bellie	n1	belly	belly	0
;	;	;	;	;	0
voyces	voyces	n2	voices	voice	0
,	,	,	,	,	0
roa	roa	uh	roa	roa	0
∣	∣	sy	∣	∣	0
rings	rings	vvz	rings	ring	0
,	,	,	,	,	0
&	&	cc	&	and	0
thunderings	thunderings	n2-vvg	thunderings	thundering	0
went	went	vvd	went	go	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
powerfull	powerfull	j	powerful	powerful	0
speech	speech	n1	speech	speech	0
bound	bound	vvn	bound	bind	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
sacred	sacred	j	sacred	sacred	0
oath	oath	n1	oath	oath	0
,	,	,	,	,	0
that	that	cst	that	that	0
Time	Time	n1	Time	time	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
;	;	;	;	;	0
The	The	dt	The	the	0
vision	vision	n1	vision	vision	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
appointed	appointed	j-vvn	appointed	appoint	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
time	time	n1	time	time	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
iudge	iudge	vvi	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
doores	doores	n2	doors	door	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
deuoureth	deuoureth	vvz	devoureth	devour	0
all	all	d	all	all	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
mortalitie	mortalitie	n1	mortality	mortality	0
,	,	,	,	,	0
is	is	vbz	is	be	0
euē	euē	av	even	even	0
now	now	av	now	now	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
swallowed	swallowed	vvn	swallowed	swallow	0
vp	vp	p-acp	up	up	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
Aeternitie	Aeternitie	np1-n	Eternity	eternity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
:	:	:	:	:	0
Est	Est	fw-la	Est	est	0
dies	dies	fw-la	dies	dies	0
,	,	,	,	,	0
&	&	cc	&	and	0
Deus	Deus	fw-la	Deus	deus	0
vltionis	vltionis	fw-la	vltionis	vltionis	0
;	;	;	;	;	0
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
reuenge	reuenge	n1	revenge	revenge	0
.	.	.	.	.	1
A	A	dt	A	a	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
doome	doome	n1	doom	doom	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Iudgement	Iudgement	n1	Judgement	judgement	0
;	;	;	;	;	0
A	A	dt	A	a	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
